Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2023","5212","N176PQ","ATL","10:05","09:55","107","95","-10","10:06","11","0","0","0","0","0"
"9E","12/02/2023","5212","N200PQ","ATL","10:05","10:03","107","113","-2","10:28","25","0","0","0","0","0"
"9E","12/10/2021","5001","N337PQ","ATL","15:55","15:50","112","103","-5","16:01","11","0","0","0","0","0"
"9E","12/16/2023","4804","N232PQ","ATL","17:00","17:08","120","126","8","17:34","26","0","0","0","0","0"
"9E","12/16/2023","5334","N340CA","ATL","12:38","12:32","112","104","-6","12:44","12","0","0","0","0","0"
"9E","12/17/2023","5428","N376CA","ATL","15:45","16:11","120","115","26","16:26","15","2","0","0","0","19"
"9E","12/18/2023","5428","N655CA","ATL","15:45","16:06","120","99","21","16:16","10","0","0","0","0","0"
"9E","12/19/2021","5367","N296PQ","ATL","15:50","15:50","112","103","0","16:06","16","0","0","0","0","0"
"9E","12/19/2023","5428","N390CA","ATL","15:45","15:44","120","107","-1","15:58","14","0","0","0","0","0"
"9E","12/20/2021","5367","N301PQ","ATL","15:50","15:44","112","106","-6","15:58","14","0","0","0","0","0"
"9E","12/20/2023","5428","N354CA","ATL","15:45","15:56","120","102","11","16:09","13","0","0","0","0","0"
"9E","12/21/2021","5367","N678CA","ATL","15:50","15:45","112","113","-5","15:58","13","0","0","0","0","0"
"9E","12/21/2023","5428","N655CA","ATL","15:45","15:35","120","116","-10","15:54","19","0","0","0","0","0"
"9E","12/22/2021","5367","N310PQ","ATL","15:50","15:48","112","110","-2","16:02","14","0","0","0","0","0"
"9E","12/22/2023","5428","N340CA","ATL","15:45","16:02","120","101","17","16:15","13","0","0","0","0","0"
"9E","12/23/2021","5367","N308PQ","ATL","15:50","15:44","112","100","-6","16:00","16","0","0","0","0","0"
"9E","12/23/2023","5428","N368CA","ATL","15:45","15:43","120","104","-2","15:57","14","0","0","0","0","0"
"9E","12/24/2021","5367","N691CA","ATL","15:50","15:47","111","107","-3","16:02","15","0","0","0","0","0"
"9E","12/24/2023","4949","N329PQ","ATL","11:24","11:19","115","107","-5","11:30","11","0","0","0","0","0"
"9E","12/24/2023","5428","N655CA","ATL","15:45","15:55","120","119","10","16:18","23","0","0","0","0","0"
"9E","12/25/2021","5367","N302PQ","ATL","15:50","15:47","111","100","-3","16:03","16","0","0","0","0","0"
"9E","12/25/2023","4949","N295PQ","ATL","11:24","11:12","115","115","-12","11:30","18","0","0","0","0","0"
"9E","12/25/2023","5428","N907XJ","ATL","15:45","15:32","120","118","-13","15:49","17","0","0","0","0","0"
"9E","12/26/2021","5367","N348PQ","ATL","15:50","15:58","112","105","8","16:10","12","0","0","0","0","0"
"9E","12/26/2023","5428","N131EV","ATL","15:45","15:49","120","122","4","16:06","17","0","0","0","0","0"
"9E","12/27/2021","5367","N297PQ","ATL","15:50","15:45","112","103","-5","15:57","12","0","0","0","0","0"
"9E","12/27/2023","5428","N195PQ","ATL","15:45","15:45","120","111","0","16:03","18","0","0","0","0","0"
"9E","12/28/2021","5367","N913XJ","ATL","15:50","15:47","112","109","-3","16:02","15","0","0","0","0","0"
"9E","12/28/2023","5428","N131EV","ATL","15:45","15:44","120","107","-1","15:55","11","0","0","0","0","0"
"9E","12/29/2021","5367","N691CA","ATL","15:50","15:45","112","101","-5","15:53","8","0","0","0","0","0"
"9E","12/29/2023","5428","N295PQ","ATL","15:45","15:41","120","105","-4","15:51","10","0","0","0","0","0"
"9E","12/30/2021","5367","N292PQ","ATL","15:50","15:46","112","110","-4","16:01","15","0","0","0","0","0"
"9E","12/30/2023","5428","N187GJ","ATL","15:45","15:43","120","110","-2","15:58","15","0","0","0","0","0"
"9E","12/31/2021","5367","N138EV","ATL","15:50","15:46","111","100","-4","15:59","13","0","0","0","0","0"
"9E","12/31/2023","4949","N133EV","ATL","11:24","11:56","115","101","32","12:07","11","0","0","0","0","18"
"9E","12/31/2023","5428","N602LR","ATL","15:45","16:50","120","105","65","17:03","13","0","0","0","0","50"

 SOURCE: Bureau of Transportation Statistics
