Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2022","4321","N872RW","LGA","05:50","05:46","190","167","-4","06:01","15","0","0","0","0","0"
"YX","12/01/2023","4268","N421YX","DCA","17:34","17:26","156","129","-8","17:36","10","0","0","0","0","0"
"YX","12/01/2023","4330","N116HQ","LGA","07:22","07:11","183","173","-11","07:30","19","0","0","0","0","0"
"YX","12/02/2022","4321","N114HQ","LGA","05:50","05:44","190","187","-6","05:57","13","0","0","0","0","0"
"YX","12/02/2023","4268","N108HQ","DCA","17:34","17:24","156","139","-10","17:38","14","0","0","0","0","0"
"YX","12/02/2023","4601","N401YX","MIA","07:00","06:55","179","170","-5","07:12","17","0","0","0","0","0"
"YX","12/03/2022","4321","N870RW","LGA","07:14","07:03","190","169","-11","07:18","15","0","0","0","0","0"
"YX","12/03/2022","4775","N113HQ","MIA","07:00","06:50","175","159","-10","07:02","12","0","0","0","0","0"
"YX","12/03/2023","4268","N436YX","DCA","17:34","18:31","156","155","57","18:50","19","0","56","0","0","0"
"YX","12/03/2023","4330","N401YX","LGA","10:56","10:48","183","171","-8","11:11","23","0","0","0","0","0"
"YX","12/04/2021","4864","N431YX","ORD","07:29","07:24","117","119","-5","07:39","15","0","0","0","0","0"
"YX","12/04/2022","4321","N870RW","LGA","07:14","07:04","190","164","-10","07:20","16","0","0","0","0","0"
"YX","12/04/2022","4375","N430YX","DCA","05:37","05:29","160","139","-8","05:43","14","0","0","0","0","0"
"YX","12/04/2023","4268","N443YX","DCA","17:34","17:28","156","166","-6","17:39","11","0","0","0","0","0"
"YX","12/04/2023","4330","N408YX","LGA","07:22","07:22","183","179","0","07:38","16","0","0","0","0","0"
"YX","12/05/2021","4785","N406YX","DCA","05:25","05:20","154","156","-5","05:37","17","0","0","0","0","0"
"YX","12/05/2022","4321","N821MD","LGA","05:50","05:44","190","179","-6","05:59","15","0","0","0","0","0"
"YX","12/05/2023","4276","N118HQ","DCA","17:30","17:18","160","157","-12","17:34","16","0","0","0","0","0"
"YX","12/05/2023","4330","N404YX","LGA","07:26","07:25","184","171","-1","07:40","15","0","0","0","0","0"
"YX","12/06/2022","4321","N826MD","LGA","05:50","05:45","190","163","-5","06:01","16","0","0","0","0","0"
"YX","12/06/2023","4276","N435YX","DCA","17:30","17:25","160","177","-5","17:51","26","0","0","0","0","0"
"YX","12/06/2023","4330","N129HQ","LGA","07:26","07:19","184","194","-7","07:28","9","0","0","0","0","0"
"YX","12/07/2022","4321","N821MD","LGA","05:50","05:46","190","168","-4","05:57","11","0","0","0","0","0"
"YX","12/07/2023","4276","N429YX","DCA","17:30","17:22","160","156","-8","17:42","20","0","0","0","0","0"
"YX","12/07/2023","4330","N122HQ","LGA","07:26","07:20","184","177","-6","07:33","13","0","0","0","0","0"
"YX","12/08/2022","4321","N826MD","LGA","05:50","05:40","190","164","-10","05:53","13","0","0","0","0","0"
"YX","12/08/2023","4276","N117HQ","DCA","17:30","17:21","160","151","-9","17:37","16","0","0","0","0","0"
"YX","12/08/2023","4330","N105HQ","LGA","07:26","07:24","184","170","-2","07:36","12","0","0","0","0","0"
"YX","12/09/2022","4321","N403YX","LGA","05:50","05:42","190","197","-8","05:56","14","0","0","0","0","0"
"YX","12/09/2023","4276","N115HQ","DCA","17:30","17:21","160","140","-9","17:31","10","0","0","0","0","0"
"YX","12/09/2023","4319","N440YX","MIA","06:45","06:40","177","168","-5","06:50","10","0","0","0","0","0"
"YX","12/10/2022","4321","N826MD","LGA","07:14","07:31","190","166","17","07:41","10","0","0","0","0","0"
"YX","12/10/2022","4775","N431YX","MIA","07:00","06:55","175","167","-5","07:06","11","0","0","0","0","0"
"YX","12/10/2023","4276","N122HQ","DCA","17:30","17:39","160","160","9","17:53","14","0","0","0","0","0"
"YX","12/10/2023","4330","N124HQ","LGA","11:16","11:07","184","175","-9","11:16","9","0","0","0","0","0"
"YX","12/11/2021","4864","N112HQ","ORD","07:29","07:21","117","105","-8","07:35","14","0","0","0","0","0"
"YX","12/11/2022","4321","N116HQ","LGA","07:14","07:10","190","172","-4","07:25","15","0","0","0","0","0"
"YX","12/11/2022","4375","N431YX","DCA","05:37","05:28","160","147","-9","05:39","11","0","0","0","0","0"
"YX","12/11/2023","4276","N137HQ","DCA","17:30","17:19","160","161","-11","17:35","16","0","0","0","0","0"
"YX","12/11/2023","4330","N416YX","LGA","07:26","12:22","184","187","296","12:38","16","296","0","3","0","0"
"YX","12/12/2021","4785","N434YX","DCA","05:25","05:21","154","147","-4","05:34","13","0","0","0","0","0"
"YX","12/12/2022","4321","N821MD","LGA","05:50","05:46","190","176","-4","06:01","15","0","0","0","0","0"
"YX","12/12/2023","4276","N123HQ","DCA","17:30","17:25","160","165","-5","17:39","14","0","0","0","0","0"
"YX","12/12/2023","4330","N405YX","LGA","07:26","07:24","184","185","-2","07:50","26","0","0","0","0","0"
"YX","12/13/2022","4321","N806MD","LGA","05:50","05:44","190","174","-6","05:58","14","0","0","0","0","0"
"YX","12/13/2023","4276","N426YX","DCA","17:30","17:24","160","163","-6","17:38","14","0","0","0","0","0"
"YX","12/13/2023","4330","N119HQ","LGA","07:26","07:20","184","188","-6","07:45","25","0","0","0","0","0"
"YX","12/14/2022","4321","N403YX","LGA","05:50","05:43","190","163","-7","05:54","11","0","0","0","0","0"
"YX","12/14/2023","4276","N119HQ","DCA","17:30","17:21","160","186","-9","17:37","16","0","0","17","0","0"
"YX","12/14/2023","4330","N113HQ","LGA","07:26","07:19","184","186","-7","07:35","16","0","0","0","0","0"
"YX","12/15/2022","4321","N806MD","LGA","06:00","05:54","190","178","-6","06:05","11","0","0","0","0","0"
"YX","12/15/2023","4276","N443YX","DCA","17:30","17:20","160","162","-10","17:34","14","0","0","0","0","0"
"YX","12/15/2023","4330","N443YX","LGA","07:26","07:18","184","184","-8","07:33","15","0","0","0","0","0"
"YX","12/16/2022","4321","N869RW","LGA","06:00","06:47","190","210","47","07:14","27","0","47","20","0","0"
"YX","12/16/2023","4276","N422YX","DCA","17:30","17:22","160","148","-8","17:33","11","0","0","0","0","0"
"YX","12/16/2023","4319","N431YX","MIA","06:45","06:34","177","187","-11","06:47","13","0","0","0","0","0"
"YX","12/17/2022","4775","N414YX","MIA","07:26","07:21","174","176","-5","07:34","13","0","0","0","0","0"
"YX","12/17/2023","4276","N122HQ","DCA","17:30","17:20","160","184","-10","17:37","17","0","0","0","0","0"
"YX","12/17/2023","4330","N416YX","LGA","11:26","12:01","184","171","35","12:12","11","22","0","0","0","0"
"YX","12/18/2021","4731","N127HQ","MIA","07:10","07:00","174","197","-10","07:18","18","0","0","0","0","0"
"YX","12/18/2022","4321","N408YX","LGA","08:30","08:25","189","181","-5","08:38","13","0","0","0","0","0"
"YX","12/18/2023","4276","N441YX","DCA","17:30","17:20","160","160","-10","17:31","11","0","0","0","0","0"
"YX","12/18/2023","4330","N441YX","LGA","07:26","07:17","184","189","-9","07:28","11","0","0","0","0","0"
