Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3511","N308SY","SLC","13:35","13:30","175","157","-5","13:41","11","0","0","0","0","0"
"OO","12/01/2021","3979","N272SY","SLC","08:10","08:08","177","161","-2","08:20","12","0","0","0","0","0"
"OO","12/01/2021","5283","N924SW","DEN","13:45","13:38","120","101","-7","13:48","10","0","0","0","0","0"
"OO","12/01/2021","5313","N909EV","IAH","13:30","13:26","108","100","-4","13:45","19","0","0","0","0","0"
"OO","12/01/2021","5494","N131SY","ORD","06:00","05:57","122","125","-3","06:18","21","0","0","0","0","0"
"OO","12/01/2021","5503","N869AS","ORD","14:45","14:49","123","124","4","15:00","11","0","0","0","0","0"
"OO","12/01/2021","5525","N609UX","DEN","09:15","09:17","119","115","2","09:37","20","0","0","0","0","0"
"OO","12/01/2021","5600","N149SY","IAH","15:37","15:30","105","94","-7","15:46","16","0","0","0","0","0"
"OO","12/01/2021","5682","N926SW","DEN","16:55","17:45","120","100","50","18:01","16","30","0","0","0","0"
"OO","12/01/2021","5691","N961SW","IAH","18:50","18:40","108","103","-10","18:56","16","0","0","0","0","0"
"OO","12/01/2021","6316","N506SY","LAX","19:24","19:23","221","189","-1","19:46","23","0","0","0","0","0"
"OO","12/01/2022","3554","N290SY","SLC","18:12","18:02","167","184","-10","18:20","18","0","0","0","0","0"
"OO","12/01/2022","3979","N272SY","SLC","08:15","08:10","173","184","-5","08:37","27","0","0","0","0","0"
"OO","12/01/2022","4718","N615UX","IAH","15:18","16:14","103","89","56","16:23","9","0","42","0","0","0"
"OO","12/01/2022","4870","N508SY","LAX","15:41","15:37","210","227","-4","15:50","13","0","0","0","0","0"
"OO","12/01/2022","5241","N965SW","ORD","11:00","10:53","124","111","-7","11:10","17","0","0","0","0","0"
"OO","12/01/2022","5245","N200SY","ORD","18:24","18:15","121","106","-9","18:27","12","0","0","0","0","0"
"OO","12/01/2022","5276","N909EV","DEN","11:37","11:35","119","116","-2","11:50","15","0","0","0","0","0"
"OO","12/01/2023","3792","N279SY","SLC","08:10","08:06","177","173","-4","08:22","16","0","0","0","0","0"
"OO","12/01/2023","4143","N308SY","SLC","18:16","18:06","165","162","-10","18:18","12","0","0","0","0","0"
"OO","12/01/2023","4813","N613SK","PHX","08:20","08:10","166","188","-10","08:24","14","0","0","0","0","0"
"OO","12/01/2023","4960","N755SK","PHX","14:55","14:43","166","170","-12","15:02","19","0","0","0","0","0"
"OO","12/01/2023","4978","N516SY","LAX","15:35","15:26","220","219","-9","15:43","17","0","0","0","0","0"
"OO","12/01/2023","5288","N134SY","ORD","07:35","07:30","121","113","-5","07:55","25","0","0","0","0","0"
"OO","12/01/2023","5296","N139SY","ORD","14:39","14:31","121","106","-8","14:51","20","0","0","0","0","0"
"OO","12/01/2023","5713","N117SY","IAH","11:55","11:48","105","101","-7","11:57","9","0","0","0","0","0"
"OO","12/02/2021","3511","N293SY","SLC","13:35","13:28","175","167","-7","13:52","24","0","0","0","0","0"
"OO","12/02/2021","3979","N295SY","SLC","08:10","08:05","177","174","-5","08:16","11","0","0","0","0","0"
"OO","12/02/2021","5283","N909EV","DEN","13:45","13:41","120","109","-4","14:00","19","0","0","0","0","0"
"OO","12/02/2021","5313","N982SW","IAH","13:30","13:25","108","97","-5","13:35","10","0","0","0","0","0"
"OO","12/02/2021","5494","N160SY","ORD","06:00","05:54","122","124","-6","06:11","17","0","0","0","0","0"
"OO","12/02/2021","5503","N900EV","ORD","14:45","14:44","123","126","-1","15:02","18","0","0","0","0","0"
"OO","12/02/2021","5525","N615UX","DEN","09:15","09:06","119","124","-9","09:31","25","0","0","0","0","0"
"OO","12/02/2021","5600","N114SY","IAH","15:37","15:47","105","90","10","15:58","11","0","0","0","0","0"
