Detailed Statistics Departures  
Origin Airport: Tulsa, OK: Tulsa International (TUL)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0693","N425LV","STL","08:45","09:02","80","58","17","09:08","6","0","0","0","0","0"
"WN","12/01/2021","0695","N221WN","DAL","07:00","07:02","75","52","2","07:10","8","0","0","0","0","0"
"WN","12/01/2021","3643","N7854B","DAL","12:05","12:00","70","79","-5","12:29","29","0","0","0","0","0"
"WN","12/01/2021","3786","N8566Z","HOU","06:20","06:20","100","92","0","06:35","15","0","0","0","0","0"
"WN","12/01/2021","4383","N8686A","LAS","14:35","14:30","180","151","-5","14:37","7","0","0","0","0","0"
"WN","12/01/2021","4484","N969WN","DEN","06:00","05:59","105","97","-1","06:08","9","0","0","0","0","0"
"WN","12/01/2021","4559","N8639B","DEN","19:35","19:43","105","93","8","19:52","9","0","0","0","0","0"
"WN","12/01/2021","6059","N559WN","PHX","11:15","11:13","165","136","-2","11:22","9","0","0","0","0","0"
"WN","12/01/2022","0179","N273WN","AUS","11:25","11:19","90","80","-6","11:27","8","0","0","0","0","0"
"WN","12/01/2022","0687","N8693A","DEN","19:50","19:43","110","108","-7","19:54","11","0","0","0","0","0"
"WN","12/01/2022","1081","N958WN","DAL","07:05","07:13","75","64","8","07:31","18","0","0","0","0","0"
"WN","12/01/2022","1400","N8655D","STL","16:55","16:55","75","63","0","17:05","10","0","0","0","0","0"
"WN","12/01/2022","1419","N556WN","DAL","18:05","18:00","70","64","-5","18:08","8","0","0","0","0","0"
"WN","12/01/2022","1471","N7866A","PHX","06:10","06:09","170","162","-1","06:21","12","0","0","0","0","0"
"WN","12/01/2022","1687","N418WN","HOU","17:10","17:04","95","88","-6","17:14","10","0","0","0","0","0"
"WN","12/01/2022","1795","N8629A","MDW","15:50","15:47","105","101","-3","16:02","15","0","0","0","0","0"
"WN","12/01/2022","1883","N8539V","LAS","12:55","13:49","175","178","54","13:59","10","0","0","57","0","0"
"WN","12/01/2022","2055","N8811L","DEN","06:35","06:35","110","106","0","06:46","11","0","0","0","0","0"
"WN","12/01/2022","2655","N8627B","DAL","15:20","15:17","70","58","-3","15:27","10","0","0","0","0","0"
