Detailed Statistics Departures  
Origin Airport: Twin Falls, ID: Joslin Field - Magic Valley Regional (TWF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4251","N445SW","SLC","13:20","13:10","53","56","-10","13:23","13","0","0","0","0","0"
"OO","12/01/2022","4231","N447SW","SLC","15:27","15:15","68","52","-12","15:27","12","0","0","0","0","0"
"OO","12/01/2022","4256","N926EV","SLC","06:10","06:03","68","49","-7","06:14","11","0","0","0","0","0"
"OO","12/01/2023","3672","N312SY","SLC","13:35","15:01","64","63","86","15:13","12","85","0","0","0","0"
"OO","12/01/2023","3813","N264SY","SLC","07:30","07:27","65","68","-3","07:59","32","0","0","0","0","0"
"OO","12/02/2021","4251","N441SW","SLC","13:20","13:11","53","52","-9","13:21","10","0","0","0","0","0"
"OO","12/02/2022","4231","N445SW","SLC","15:27","15:10","68","63","-17","15:22","12","0","0","0","0","0"
"OO","12/02/2022","4256","N926EV","SLC","06:10","06:32","68","93","22","07:22","50","0","47","0","0","0"
"OO","12/02/2023","3672","N298SY","SLC","13:35","13:26","64","45","-9","13:36","10","0","0","0","0","0"
"OO","12/02/2023","3813","N610CZ","SLC","07:30","09:34","65","68","124","09:46","12","0","124","3","0","0"
"OO","12/03/2021","4251","N459SW","SLC","13:20","13:11","53","57","-9","13:23","12","0","0","0","0","0"
"OO","12/03/2022","4256","N445SW","SLC","06:10","06:13","68","89","3","07:01","48","24","0","0","0","0"
"OO","12/03/2023","3672","N276SY","SLC","13:35","13:27","64","45","-8","13:37","10","0","0","0","0","0"
"OO","12/03/2023","3813","N295SY","SLC","07:30","07:27","65","67","-3","07:58","31","0","0","0","0","0"
"OO","12/04/2021","4251","N449SW","SLC","13:20","13:13","53","50","-7","13:22","9","0","0","0","0","0"
"OO","12/04/2022","4231","N917EV","SLC","15:27","15:21","68","62","-6","15:46","25","0","0","0","0","0"
