Detailed Statistics Departures  
Origin Airport: Tyler, TX: Tyler Pounds Regional (TYR)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3636","N611AE","DFW","18:33","18:49","51","56","16","19:02","13","0","0","5","0","16"
"MQ","12/01/2021","3800","N923AE","DFW","20:17","19:56","53","51","-21","20:07","11","0","0","0","0","0"
"MQ","12/01/2021","4002","N922AE","DFW","16:23","17:28","51","45","65","17:40","12","5","0","0","0","54"
"MQ","12/01/2021","4063","N928AE","DFW","06:25","06:21","62","61","-4","06:36","15","0","0","0","0","0"
"MQ","12/01/2021","4159","N676AE","DFW","13:08","12:59","50","41","-9","13:08","9","0","0","0","0","0"
"MQ","12/02/2021","3636","N664MS","DFW","18:33","18:38","51","54","5","18:51","13","0","0","0","0","0"
"MQ","12/02/2021","3800","N612AE","DFW","20:17","20:16","53","67","-1","20:42","26","0","0","0","0","0"
"MQ","12/02/2021","4002","N613AE","DFW","16:23","17:25","51","41","62","17:32","7","3","0","0","0","49"
"MQ","12/02/2021","4063","N618AE","DFW","06:25","06:24","62","48","-1","06:36","12","0","0","0","0","0"
"MQ","12/02/2021","4159","N687JS","DFW","13:08","13:11","50","39","3","13:18","7","0","0","0","0","0"
"MQ","12/03/2021","3636","N664MS","DFW","18:33","18:21","51","52","-12","18:29","8","0","0","0","0","0"
"MQ","12/03/2021","3800","N611AE","DFW","20:17","20:17","53","55","0","20:26","9","0","0","0","0","0"
"MQ","12/03/2021","4002","N931AE","DFW","16:23","16:40","51","49","17","16:48","8","2","0","0","0","13"
"MQ","12/03/2021","4063","N932AE","DFW","06:25","06:36","62","64","11","06:54","18","0","0","0","0","0"
"MQ","12/03/2021","4159","N667GB","DFW","13:08","13:03","50","57","-5","13:15","12","0","0","0","0","0"
"MQ","12/04/2021","3636","N684JW","DFW","18:33","18:20","51","51","-13","18:31","11","0","0","0","0","0"
"MQ","12/04/2021","4002","N693AE","DFW","16:23","16:34","51","57","11","16:50","16","0","0","6","0","11"
"MQ","12/04/2021","4063","N606AE","DFW","06:25","06:19","62","54","-6","06:35","16","0","0","0","0","0"
"MQ","12/04/2021","4159","N687JS","DFW","13:08","14:02","50","47","54","14:09","7","8","0","0","0","43"
"MQ","12/05/2021","3636","N680AE","DFW","18:33","18:27","51","57","-6","18:39","12","0","0","0","0","0"
"MQ","12/05/2021","3800","N616AE","DFW","20:17","20:36","53","69","19","20:48","12","4","0","16","0","15"
"MQ","12/05/2021","4002","N619AE","DFW","16:23","16:27","51","60","4","16:46","19","0","0","0","0","0"
"MQ","12/05/2021","4063","N612AE","DFW","06:25","06:41","62","64","16","07:01","20","16","0","2","0","0"
"MQ","12/05/2021","4159","N932AE","DFW","13:08","13:05","50","64","-3","13:15","10","0","0","0","0","0"
"MQ","12/06/2021","3636","N673AE","DFW","18:33","18:24","51","42","-9","18:28","4","0","0","0","0","0"
