Detailed Statistics Departures  
Origin Airport: Tyler, TX: Tyler Pounds Regional (TYR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","3082","N730SK","DFW","11:47","11:40","56","62","-7","11:57","17","0","0","0","0","0"
"OO","12/01/2022","4947","N703SK","DFW","06:30","06:24","56","60","-6","06:36","12","0","0","0","0","0"
"OO","12/01/2022","5001","N756SK","DFW","18:49","18:46","56","75","-3","19:06","20","16","0","0","0","0"
"OO","12/01/2023","3115","N715SK","DFW","06:13","06:09","69","57","-4","06:20","11","0","0","0","0","0"
"OO","12/01/2023","3203","N606SK","DFW","10:22","10:20","67","52","-2","10:28","8","0","0","0","0","0"
"OO","12/01/2023","4934","N715SK","DFW","18:33","18:21","67","54","-12","18:30","9","0","0","0","0","0"
"OO","12/02/2022","3082","N719EV","DFW","11:47","11:44","56","56","-3","11:56","12","0","0","0","0","0"
"OO","12/02/2022","4947","N764SK","DFW","06:30","06:25","56","78","-5","06:40","15","17","0","0","0","0"
"OO","12/02/2022","5001","N719SK","DFW","18:49","18:41","56","67","-8","18:58","17","0","0","0","0","0"
"OO","12/02/2023","3115","N774SK","DFW","06:13","06:12","69","67","-1","06:36","24","0","0","0","0","0"
"OO","12/02/2023","3203","N632SK","DFW","10:22","10:12","67","53","-10","10:21","9","0","0","0","0","0"
"OO","12/02/2023","4934","N772SK","DFW","18:33","19:30","67","55","57","19:45","15","45","0","0","0","0"
"OO","12/03/2022","3082","N612QX","DFW","11:47","11:39","56","52","-8","11:53","14","0","0","0","0","0"
"OO","12/03/2022","4947","N708SK","DFW","06:30","06:20","56","51","-10","06:38","18","0","0","0","0","0"
"OO","12/03/2022","5001","N767SK","DFW","18:49","19:52","56","40","63","20:01","9","47","0","0","0","0"
"OO","12/03/2023","3115","N763SK","DFW","06:13","06:16","69","78","3","06:52","36","0","0","0","0","0"
"OO","12/03/2023","3203","N658CA","DFW","10:22","10:12","67","48","-10","10:23","11","0","0","0","0","0"
"OO","12/03/2023","4934","N720EV","DFW","18:33","18:23","67","53","-10","18:34","11","0","0","0","0","0"
"OO","12/04/2022","3082","N709SK","DFW","11:47","11:39","56","78","-8","11:49","10","0","0","0","0","0"
"OO","12/04/2022","4947","N705SK","DFW","06:30","06:28","56","58","-2","06:43","15","0","0","0","0","0"
"OO","12/04/2022","5001","N614SK","DFW","18:49","18:40","56","76","-9","19:08","28","0","0","0","0","0"
"OO","12/04/2023","3115","N706SK","DFW","06:13","06:05","69","46","-8","06:16","11","0","0","0","0","0"
"OO","12/04/2023","3203","N766SK","DFW","10:22","10:15","67","71","-7","10:42","27","0","0","0","0","0"
"OO","12/04/2023","4934","N607SK","DFW","18:33","18:28","67","50","-5","18:40","12","0","0","0","0","0"
"OO","12/05/2022","3082","N750EV","DFW","11:47","12:14","56","51","27","12:25","11","0","0","0","0","22"
"OO","12/05/2022","4947","N707EV","DFW","06:30","07:30","56","53","60","07:44","14","57","0","0","0","0"
"OO","12/05/2022","5001","N756SK","DFW","18:49","18:33","56","77","-16","18:57","24","0","0","0","0","0"
"OO","12/05/2023","3115","N709SK","DFW","06:11","06:06","68","59","-5","06:19","13","0","0","0","0","0"
"OO","12/05/2023","3203","N606SK","DFW","10:24","10:15","64","56","-9","10:29","14","0","0","0","0","0"
"OO","12/05/2023","4934","N720EV","DFW","18:33","18:23","64","75","-10","18:45","22","0","0","0","0","0"
"OO","12/06/2022","3082","N702SK","DFW","11:47","11:39","56","54","-8","11:54","15","0","0","0","0","0"
"OO","12/06/2022","4947","N765SK","DFW","06:30","06:27","56","49","-3","06:39","12","0","0","0","0","0"
"OO","12/06/2022","5001","N707SK","DFW","18:49","18:40","56","71","-9","19:07","27","0","0","0","0","0"
"OO","12/06/2023","3115","N607SK","DFW","06:11","06:05","68","49","-6","06:15","10","0","0","0","0","0"
"OO","12/06/2023","3203","N726SK","DFW","10:24","10:14","64","56","-10","10:32","18","0","0","0","0","0"
"OO","12/06/2023","4934","N632SK","DFW","18:33","19:40","64","78","67","20:15","35","67","0","14","0","0"
"OO","12/07/2022","4947","N724EV","DFW","06:30","06:30","56","79","0","07:03","33","23","0","0","0","0"
"OO","12/07/2022","5001","N709SK","DFW","18:49","18:40","56","59","-9","18:57","17","0","0","0","0","0"
"OO","12/07/2023","3115","N632SK","DFW","06:11","06:11","68","54","0","06:25","14","0","0","0","0","0"
"OO","12/07/2023","3203","N707SK","DFW","10:24","10:15","64","53","-9","10:29","14","0","0","0","0","0"
"OO","12/07/2023","4934","N706SK","DFW","18:33","18:26","64","63","-7","18:41","15","0","0","0","0","0"
"OO","12/08/2022","3082","N755SK","DFW","11:47","11:38","56","49","-9","11:49","11","0","0","0","0","0"
"OO","12/08/2022","4947","N750EV","DFW","06:30","06:25","56","47","-5","06:33","8","0","0","0","0","0"
"OO","12/08/2022","5001","N719SK","DFW","18:49","18:59","56","67","10","19:18","19","0","0","0","0","21"
"OO","12/08/2023","3115","N658CA","DFW","06:11","06:07","68","88","-4","06:52","45","0","0","16","0","0"
"OO","12/08/2023","3203","N708SK","DFW","10:24","10:28","64","50","4","10:40","12","0","0","0","0","0"
"OO","12/08/2023","4934","N710SK","DFW","18:33","18:24","64","52","-9","18:36","12","0","0","0","0","0"
"OO","12/09/2022","3082","N755SK","DFW","11:47","11:43","56","60","-4","11:55","12","0","0","0","0","0"
"OO","12/09/2022","4947","N703SK","DFW","06:30","06:27","56","49","-3","06:39","12","0","0","0","0","0"
"OO","12/09/2022","5001","N773SK","DFW","18:49","18:41","56","77","-8","19:11","30","0","0","0","0","0"
"OO","12/09/2023","3115","N720EV","DFW","06:11","06:02","68","68","-9","06:17","15","0","0","0","0","0"
"OO","12/09/2023","3203","N766SK","DFW","10:24","10:19","64","51","-5","10:30","11","0","0","0","0","0"
"OO","12/09/2023","4934","N772SK","DFW","18:33","18:23","64","50","-10","18:30","7","0","0","0","0","0"
"OO","12/10/2022","3082","N710SK","DFW","11:47","11:48","56","53","1","11:59","11","0","0","0","0","0"
"OO","12/10/2022","4947","N778SK","DFW","06:30","06:22","56","61","-8","06:35","13","0","0","0","0","0"
"OO","12/10/2022","5001","N724EV","DFW","18:49","00:00","56","0","0","00:00","0","0","0","0","0","0"
"OO","12/10/2023","3115","N726SK","DFW","06:11","06:02","68","73","-9","06:28","26","0","0","0","0","0"
"OO","12/10/2023","3203","N726SK","DFW","10:24","10:22","64","56","-2","10:38","16","0","0","0","0","0"
"OO","12/10/2023","4934","N771SK","DFW","18:33","18:26","64","67","-7","18:44","18","0","0","0","0","0"
"OO","12/11/2022","3082","N716SK","DFW","11:47","11:37","56","47","-10","11:43","6","0","0","0","0","0"
"OO","12/11/2022","4947","N724EV","DFW","06:30","06:39","56","68","9","07:03","24","21","0","0","0","0"
"OO","12/11/2022","5001","N709SK","DFW","18:49","18:37","56","57","-12","18:47","10","0","0","0","0","0"
"OO","12/11/2023","3115","N707SK","DFW","06:11","06:05","68","72","-6","06:35","30","0","0","0","0","0"
"OO","12/11/2023","3203","N709SK","DFW","10:24","10:17","64","54","-7","10:29","12","0","0","0","0","0"
"OO","12/11/2023","4934","N766SK","DFW","18:33","18:26","64","95","-7","19:12","46","0","0","24","0","0"
"OO","12/12/2022","3082","N771SK","DFW","11:47","11:37","56","48","-10","11:50","13","0","0","0","0","0"
"OO","12/12/2022","4947","N756SK","DFW","06:30","06:26","56","69","-4","06:44","18","0","0","0","0","0"
"OO","12/12/2022","5001","N727SK","DFW","18:49","18:48","56","82","-1","19:16","28","25","0","0","0","0"
"OO","12/12/2023","3115","N710EV","DFW","06:11","06:48","68","50","37","07:01","13","19","0","0","0","0"
"OO","12/12/2023","3203","N632SK","DFW","10:24","10:16","64","52","-8","10:28","12","0","0","0","0","0"
"OO","12/12/2023","4934","N710EV","DFW","18:33","18:23","64","50","-10","18:32","9","0","0","0","0","0"
"OO","12/13/2022","3082","N708EV","DFW","11:47","14:09","56","55","142","14:21","12","0","0","0","0","141"
"OO","12/13/2022","4947","N760SK","DFW","06:30","06:24","56","58","-6","06:39","15","0","0","0","0","0"
"OO","12/13/2022","5001","N658CA","DFW","18:49","19:33","56","46","44","19:42","9","0","0","0","0","34"
