Detailed Statistics Departures  
Origin Airport: Valdosta, GA: Valdosta Regional (VLD)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4851","N8965E","ATL","17:38","17:37","76","69","-1","17:51","14","0","0","0","0","0"
"9E","12/01/2021","4887","N8836A","ATL","06:15","06:11","69","61","-4","06:24","13","0","0","0","0","0"
"9E","12/01/2021","5149","N833AY","ATL","13:18","13:13","75","60","-5","13:22","9","0","0","0","0","0"
"9E","12/01/2022","4851","N834AY","ATL","17:15","17:12","79","65","-3","17:26","14","0","0","0","0","0"
"9E","12/01/2022","4887","N8918B","ATL","06:15","13:23","75","65","428","13:38","15","88","0","0","0","330"
"9E","12/01/2022","5149","N927EV","ATL","13:15","13:27","74","72","12","13:47","20","0","0","0","0","0"
"9E","12/01/2023","5162","N391CA","ATL","14:30","14:27","80","77","-3","14:45","18","0","0","0","0","0"
"9E","12/01/2023","5288","N176PQ","ATL","06:05","06:00","74","59","-5","06:11","11","0","0","0","0","0"
"9E","12/02/2021","4851","N833AY","ATL","17:38","17:34","76","64","-4","17:45","11","0","0","0","0","0"
"9E","12/02/2021","4887","N8936A","ATL","06:15","06:14","69","70","-1","06:28","14","0","0","0","0","0"
"9E","12/02/2021","5149","N8869B","ATL","13:18","13:12","75","67","-6","13:28","16","0","0","0","0","0"
"9E","12/02/2022","4851","N927EV","ATL","17:15","17:10","79","63","-5","17:23","13","0","0","0","0","0"
"9E","12/02/2022","4887","N8946A","ATL","06:15","10:39","75","63","264","10:51","12","0","0","0","0","252"
"9E","12/02/2022","5149","N8837B","ATL","13:15","13:11","74","63","-4","13:25","14","0","0","0","0","0"
"9E","12/02/2023","5162","N376CA","ATL","14:30","14:31","80","71","1","14:48","17","0","0","0","0","0"
"9E","12/02/2023","5288","N176PQ","ATL","06:05","06:01","74","64","-4","06:13","12","0","0","0","0","0"
"9E","12/03/2021","4851","N8891A","ATL","17:38","17:36","76","66","-2","17:50","14","0","0","0","0","0"
"9E","12/03/2021","4887","N800AY","ATL","06:15","06:10","69","69","-5","06:26","16","0","0","0","0","0"
"9E","12/03/2021","5149","N980EV","ATL","13:18","13:15","75","69","-3","13:28","13","0","0","0","0","0"
"9E","12/03/2022","4887","N927EV","ATL","06:15","06:12","75","64","-3","06:26","14","0","0","0","0","0"
"9E","12/03/2022","5149","N8837B","ATL","13:15","14:33","74","67","78","14:43","10","31","0","0","0","40"
"9E","12/03/2023","5162","N367CA","ATL","14:59","14:54","80","63","-5","15:01","7","0","0","0","0","0"
"9E","12/03/2023","5288","N197PQ","ATL","06:05","06:00","74","70","-5","06:13","13","0","0","0","0","0"
"9E","12/04/2021","4887","N8837B","ATL","06:15","06:10","69","67","-5","06:21","11","0","0","0","0","0"
"9E","12/04/2021","5149","N832AY","ATL","13:18","13:13","75","69","-5","13:28","15","0","0","0","0","0"
"9E","12/04/2022","4851","N8986B","ATL","17:15","17:12","79","70","-3","17:22","10","0","0","0","0","0"
"9E","12/04/2022","4887","N8942A","ATL","06:15","06:14","75","63","-1","06:26","12","0","0","0","0","0"
"9E","12/04/2022","5149","N8965E","ATL","13:15","14:22","74","72","67","14:38","16","65","0","0","0","0"
"9E","12/04/2023","5162","N367CA","ATL","14:59","17:33","80","72","154","17:51","18","146","0","0","0","0"
"9E","12/04/2023","5288","N296PQ","ATL","06:05","05:59","74","66","-6","06:09","10","0","0","0","0","0"
"9E","12/05/2021","4851","N8974C","ATL","17:38","17:36","78","74","-2","17:50","14","0","0","0","0","0"
"9E","12/05/2021","4887","N800AY","ATL","06:15","07:01","70","81","46","07:23","22","46","0","11","0","0"
"9E","12/05/2021","5149","N980EV","ATL","13:09","13:06","74","74","-3","13:29","23","0","0","0","0","0"
