Detailed Statistics Departures  
Origin Airport: Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1336","N854DN","ATL","06:00","05:54","72","59","-6","06:07","13","0","0","0","0","0"
"DL","12/01/2021","2152","N927AT","ATL","10:55","10:49","77","65","-6","11:04","15","0","0","0","0","0"
"DL","12/01/2021","2203","N3742C","ATL","07:05","07:03","77","62","-2","07:13","10","0","0","0","0","0"
"DL","12/01/2021","2215","N815DN","ATL","14:54","15:10","70","63","16","15:20","10","0","0","0","0","0"
"DL","12/01/2021","2430","N982AT","ATL","17:35","17:35","74","58","0","17:43","8","0","0","0","0","0"
"DL","12/01/2022","0404","N937AT","ATL","16:28","16:26","82","65","-2","16:41","15","0","0","0","0","0"
"DL","12/01/2022","0458","N717JL","ATL","09:24","09:18","74","57","-6","09:29","11","0","0","0","0","0"
"DL","12/01/2022","1336","N3750D","ATL","06:00","05:54","74","61","-6","06:08","14","0","0","0","0","0"
"DL","12/01/2022","1697","N966AT","ATL","12:08","12:11","77","58","3","12:23","12","0","0","0","0","0"
"DL","12/01/2022","2095","N391DA","ATL","19:10","19:15","84","61","5","19:28","13","0","0","0","0","0"
"DL","12/01/2022","2203","N3764D","ATL","07:00","07:01","79","61","1","07:13","12","0","0","0","0","0"
"DL","12/01/2023","2072","N947DZ","ATL","12:39","12:33","76","70","-6","12:51","18","0","0","0","0","0"
"DL","12/01/2023","2390","N395DN","ATL","06:00","05:59","75","66","-1","06:12","13","0","0","0","0","0"
"DL","12/01/2023","2651","N964AT","ATL","09:20","09:15","71","63","-5","09:28","13","0","0","0","0","0"
"DL","12/01/2023","2803","N939DZ","ATL","19:32","19:27","78","66","-5","19:45","18","0","0","0","0","0"
"DL","12/01/2023","2813","N960DZ","ATL","16:31","16:30","79","68","-1","16:46","16","0","0","0","0","0"
"DL","12/02/2021","1336","N919DU","ATL","06:00","05:59","72","61","-1","06:08","9","0","0","0","0","0"
"DL","12/02/2021","2152","N938AT","ATL","10:57","10:52","77","65","-5","11:10","18","0","0","0","0","0"
"DL","12/02/2021","2203","N385DN","ATL","07:05","07:11","77","69","6","07:23","12","0","0","0","0","0"
"DL","12/02/2021","2215","N3771K","ATL","14:44","14:35","70","58","-9","14:44","9","0","0","0","0","0"
"DL","12/02/2021","2430","N946AT","ATL","17:35","17:25","74","64","-10","17:38","13","0","0","0","0","0"
"DL","12/02/2022","0404","N934AT","ATL","16:28","16:23","82","60","-5","16:31","8","0","0","0","0","0"
"DL","12/02/2022","0458","N927AT","ATL","09:24","09:18","74","61","-6","09:32","14","0","0","0","0","0"
"DL","12/02/2022","1336","N3758Y","ATL","06:00","05:55","74","59","-5","06:09","14","0","0","0","0","0"
"DL","12/02/2022","1697","N938AT","ATL","12:08","12:04","77","66","-4","12:22","18","0","0","0","0","0"
"DL","12/02/2022","2095","N3746H","ATL","19:10","18:56","84","64","-14","19:06","10","0","0","0","0","0"
"DL","12/02/2022","2203","N377DA","ATL","07:00","06:55","79","67","-5","07:14","19","0","0","0","0","0"
"DL","12/02/2023","1540","N330NB","MSP","14:08","14:17","180","161","9","14:27","10","0","0","0","0","0"
"DL","12/02/2023","2072","N956DZ","ATL","12:39","12:23","76","65","-16","12:37","14","0","0","0","0","0"
"DL","12/02/2023","2390","N920DU","ATL","06:00","05:56","75","66","-4","06:09","13","0","0","0","0","0"
"DL","12/02/2023","2651","N920AT","ATL","09:20","09:15","71","62","-5","09:25","10","0","0","0","0","0"
"DL","12/02/2023","2803","N941DZ","ATL","19:32","20:14","78","60","42","20:26","12","0","0","0","0","24"
"DL","12/02/2023","2813","N938DZ","ATL","16:31","16:30","79","89","-1","17:06","36","0","0","0","0","0"
"DL","12/03/2021","1336","N854DN","ATL","06:00","05:55","72","68","-5","06:11","16","0","0","0","0","0"
"DL","12/03/2021","2152","N942AT","ATL","10:57","10:49","77","62","-8","11:03","14","0","0","0","0","0"
"DL","12/03/2021","2203","N384DA","ATL","07:05","06:57","77","63","-8","07:08","11","0","0","0","0","0"
"DL","12/03/2021","2215","N3771K","ATL","14:44","14:39","70","65","-5","14:55","16","0","0","0","0","0"
"DL","12/03/2021","2430","N928AT","ATL","17:35","17:29","74","71","-6","17:48","19","0","0","0","0","0"
"DL","12/03/2022","0404","N939AT","ATL","16:28","16:17","82","64","-11","16:27","10","0","0","0","0","0"
