Detailed Statistics Departures  
Origin Airport: Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3604","N227NN","DFW","07:00","07:05","145","130","5","07:16","11","0","0","0","0","0"
"MQ","12/01/2021","4199","N280NN","DFW","15:36","15:30","139","136","-6","15:42","12","0","0","0","0","0"
"MQ","12/01/2021","4200","N213NN","DFW","13:30","13:30","139","138","0","13:47","17","0","0","0","0","0"
"MQ","12/01/2021","4291","N282NN","DFW","19:24","19:13","141","120","-11","19:21","8","0","0","0","0","0"
"MQ","12/01/2022","3377","N215NN","DFW","11:19","11:19","138","133","0","11:31","12","0","0","0","0","0"
"MQ","12/01/2022","3414","N239NN","DCA","12:50","12:44","129","137","-6","13:02","18","0","0","0","0","0"
"MQ","12/01/2023","3869","N290NN","DFW","19:23","19:18","145","140","-5","19:28","10","0","0","0","0","0"
"MQ","12/02/2021","4199","N271NN","DFW","15:36","15:34","139","123","-2","15:46","12","0","0","0","0","0"
"MQ","12/02/2021","4200","N227NN","DFW","13:30","13:44","139","116","14","13:55","11","0","0","0","0","0"
"MQ","12/02/2021","4291","N243NN","DFW","19:24","19:19","141","116","-5","19:29","10","0","0","0","0","0"
"MQ","12/02/2022","3377","N277NN","DFW","11:19","11:08","138","131","-11","11:19","11","0","0","0","0","0"
"MQ","12/02/2022","3414","N205NN","DCA","12:50","12:44","129","129","-6","12:53","9","0","0","0","0","0"
"MQ","12/03/2021","4199","N203NN","DFW","15:36","15:42","139","129","6","15:53","11","0","0","0","0","0"
"MQ","12/03/2021","4200","N267NN","DFW","13:30","13:31","139","126","1","13:46","15","0","0","0","0","0"
"MQ","12/03/2021","4291","N230NN","DFW","19:24","19:19","141","118","-5","19:31","12","0","0","0","0","0"
"MQ","12/03/2022","3377","N216NN","DFW","11:19","11:16","138","121","-3","11:26","10","0","0","0","0","0"
"MQ","12/03/2023","3869","N310JZ","DFW","19:23","19:14","145","145","-9","19:23","9","0","0","0","0","0"
"MQ","12/04/2021","4199","N249NN","DFW","15:36","15:27","139","129","-9","15:42","15","0","0","0","0","0"
"MQ","12/04/2021","4200","N272NN","DFW","13:30","13:19","139","133","-11","13:32","13","0","0","0","0","0"
"MQ","12/04/2022","3377","N216NN","DFW","11:19","11:09","138","133","-10","11:18","9","0","0","0","0","0"
"MQ","12/04/2022","3414","N270NN","DCA","12:50","12:42","129","127","-8","12:54","12","0","0","0","0","0"
"MQ","12/04/2023","3869","N299JJ","DFW","19:23","19:27","145","143","4","19:46","19","0","0","0","0","0"
"MQ","12/05/2021","4199","N298FR","DFW","15:36","15:26","139","132","-10","15:35","9","0","0","0","0","0"
"MQ","12/05/2021","4200","N248NN","DFW","13:30","13:29","139","126","-1","13:40","11","0","0","0","0","0"
"MQ","12/05/2021","4291","N260NN","DFW","19:24","19:16","141","126","-8","19:26","10","0","0","0","0","0"
"MQ","12/05/2022","3377","N292NN","DFW","11:19","11:16","138","122","-3","11:24","8","0","0","0","0","0"
"MQ","12/05/2022","3414","N272NN","DCA","12:50","12:45","129","148","-5","13:19","34","0","0","0","0","0"
"MQ","12/05/2023","4123","N208AN","DCA","11:07","11:07","134","121","0","11:31","24","0","0","0","0","0"
"MQ","12/06/2021","4199","N254NN","DFW","15:36","15:50","139","141","14","15:57","7","0","0","2","0","14"
"MQ","12/06/2021","4200","N289MW","DFW","13:30","13:55","139","139","25","14:10","15","0","0","0","0","25"
"MQ","12/06/2022","3377","N226NN","DFW","11:19","11:12","138","126","-7","11:22","10","0","0","0","0","0"
"MQ","12/06/2022","3414","N259NN","DCA","12:50","12:45","129","124","-5","13:02","17","0","0","0","0","0"
"MQ","12/06/2023","4123","N302RN","DCA","11:07","11:01","134","138","-6","11:16","15","0","0","0","0","0"
"MQ","12/07/2021","4199","N277NN","DFW","15:36","15:31","139","133","-5","15:43","12","0","0","0","0","0"
"MQ","12/07/2021","4200","N229NN","DFW","13:30","13:22","139","133","-8","13:34","12","0","0","0","0","0"
"MQ","12/07/2022","3377","N292NN","DFW","11:19","11:34","138","130","15","11:58","24","0","0","0","0","0"
"MQ","12/07/2022","3414","N269NN","DCA","12:50","12:54","129","132","4","13:10","16","0","0","0","0","0"
"MQ","12/07/2023","3869","N216NN","DFW","19:23","19:11","140","125","-12","19:24","13","0","0","0","0","0"
"MQ","12/07/2023","4123","N281NN","DCA","11:07","11:02","134","153","-5","11:15","13","0","0","0","0","0"
"MQ","12/08/2021","4199","N260NN","DFW","15:36","15:34","139","141","-2","15:48","14","0","0","0","0","0"
"MQ","12/08/2021","4200","N254NN","DFW","13:30","13:30","139","142","0","13:41","11","0","0","0","0","0"
"MQ","12/08/2021","4291","N214NN","DFW","19:24","19:19","141","138","-5","19:31","12","0","0","0","0","0"
"MQ","12/08/2022","3377","N207AN","DFW","11:19","11:15","138","128","-4","11:28","13","0","0","0","0","0"
"MQ","12/08/2022","3414","N282NN","DCA","12:50","12:45","129","119","-5","12:55","10","0","0","0","0","0"
"MQ","12/08/2023","3869","N222NS","DFW","19:23","19:14","140","134","-9","19:25","11","0","0","0","0","0"
"MQ","12/08/2023","4123","N249NN","DCA","11:07","11:01","134","138","-6","11:20","19","0","0","0","0","0"
"MQ","12/09/2021","4199","N264NN","DFW","15:36","15:56","139","132","20","16:09","13","0","0","0","0","0"
"MQ","12/09/2021","4200","N244NN","DFW","13:30","13:25","139","136","-5","13:34","9","0","0","0","0","0"
"MQ","12/09/2021","4291","N210NN","DFW","19:24","19:20","141","132","-4","19:33","13","0","0","0","0","0"
"MQ","12/09/2022","3377","N282NN","DFW","11:19","11:19","138","131","0","11:38","19","0","0","0","0","0"
"MQ","12/09/2022","3414","N293NN","DCA","12:50","12:55","129","114","5","13:06","11","0","0","0","0","0"
"MQ","12/09/2023","3938","N260NN","DFW","15:33","15:29","140","136","-4","15:40","11","0","0","0","0","0"
"MQ","12/09/2023","4123","N224NN","DCA","11:07","11:56","134","121","49","12:06","10","36","0","0","0","0"
"MQ","12/10/2021","4199","N276NN","DFW","15:36","18:52","139","133","196","19:01","9","45","0","0","0","145"
"MQ","12/10/2021","4200","N207AN","DFW","13:30","13:45","139","129","15","13:56","11","0","0","0","0","0"
"MQ","12/10/2021","4291","N214NN","DFW","19:24","20:02","141","125","38","20:15","13","0","0","0","0","22"
"MQ","12/10/2022","3377","N281NN","DFW","11:19","11:17","138","127","-2","11:30","13","0","0","0","0","0"
"MQ","12/10/2023","3869","N233NN","DFW","19:23","19:11","140","145","-12","19:25","14","0","0","0","0","0"
"MQ","12/10/2023","4123","N204NN","DCA","11:07","10:58","134","193","-9","11:40","42","0","0","50","0","0"
"MQ","12/11/2021","4199","N232NN","DFW","15:36","16:07","139","127","31","16:17","10","5","0","0","0","14"
"MQ","12/11/2021","4200","N202NN","DFW","13:30","13:34","139","134","4","13:44","10","0","0","0","0","0"
"MQ","12/11/2022","3377","N248NN","DFW","11:19","11:25","138","122","6","11:34","9","0","0","0","0","0"
"MQ","12/11/2022","3414","N238NN","DCA","12:50","12:45","129","110","-5","12:54","9","0","0","0","0","0"
"MQ","12/11/2023","4123","N219NN","DCA","11:07","10:59","134","123","-8","11:15","16","0","0","0","0","0"
"MQ","12/12/2021","4199","N265NN","DFW","15:36","15:36","139","130","0","15:49","13","0","0","0","0","0"
"MQ","12/12/2021","4200","N220NN","DFW","13:30","13:29","139","135","-1","13:42","13","0","0","0","0","0"
"MQ","12/12/2021","4291","N302RN","DFW","19:24","19:20","141","132","-4","19:33","13","0","0","0","0","0"
"MQ","12/12/2022","3377","N289MW","DFW","11:19","11:16","138","145","-3","11:35","19","0","0","0","0","0"
