Detailed Statistics Departures  
Origin Airport: Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/15/2022","5755","N957LR","DFW","11:23","11:13","140","128","-10","11:26","13","0","0","0","0","0"
"YV","12/16/2022","5755","N947LR","DFW","11:23","11:28","140","137","5","11:45","17","0","0","0","0","0"
"YV","12/17/2022","5755","N905J","DFW","11:23","11:14","140","134","-9","11:25","11","0","0","0","0","0"
"YV","12/18/2022","5755","N326MS","DFW","11:23","11:13","140","135","-10","11:28","15","0","0","0","0","0"
"YV","12/19/2022","5755","N948LR","DFW","11:23","11:23","140","153","0","11:43","20","0","0","0","0","0"
"YV","12/20/2022","5755","N326MS","DFW","11:23","11:16","140","126","-7","11:33","17","0","0","0","0","0"
"YV","12/21/2022","5755","N249LR","DFW","11:23","11:15","140","128","-8","11:32","17","0","0","0","0","0"
"YV","12/22/2022","5755","N922FJ","DFW","11:23","11:40","140","135","17","11:50","10","0","0","0","0","0"
"YV","12/23/2022","5755","N933LR","DFW","11:23","11:24","140","132","1","11:37","13","0","0","0","0","0"
"YV","12/24/2022","5755","N944LR","DFW","11:23","12:30","140","128","67","12:46","16","0","0","0","0","55"
"YV","12/26/2022","5755","N951LR","DFW","11:23","11:16","140","130","-7","11:29","13","0","0","0","0","0"
"YV","12/27/2022","5755","N959LR","DFW","11:23","11:20","140","148","-3","11:53","33","0","0","0","0","0"
"YV","12/28/2022","5755","N244LR","DFW","11:23","11:20","140","136","-3","11:40","20","0","0","0","0","0"
"YV","12/29/2022","5755","N947LR","DFW","11:23","11:18","140","128","-5","11:33","15","0","0","0","0","0"
"YV","12/30/2022","5755","N922FJ","DFW","11:23","11:52","140","143","29","12:07","15","8","0","3","0","21"
"YV","12/31/2022","5755","N920FJ","DFW","11:23","11:14","140","130","-9","11:29","15","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
