Detailed Statistics Departures  
Origin Airport: Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5384","N563NN","CLT","18:47","18:39","107","102","-8","18:56","17","0","0","0","0","0"
"OH","12/01/2021","5415","N553NN","CLT","10:42","10:47","105","99","5","11:01","14","0","0","0","0","0"
"OH","12/01/2021","5554","N509AE","DCA","11:17","11:21","132","132","4","11:41","20","0","0","0","0","0"
"OH","12/01/2021","5625","N589NN","CLT","06:35","06:29","109","112","-6","06:45","16","0","0","0","0","0"
"OH","12/01/2023","5554","N586NN","DCA","10:44","10:36","135","157","-8","10:55","19","0","0","0","0","0"
"OH","12/02/2021","5384","N582NN","CLT","18:47","18:35","107","130","-12","19:06","31","0","0","0","0","0"
"OH","12/02/2021","5415","N603NN","CLT","10:42","10:36","105","98","-6","10:52","16","0","0","0","0","0"
"OH","12/02/2021","5554","N533AE","DCA","11:17","11:11","132","141","-6","11:31","20","0","0","0","0","0"
"OH","12/02/2021","5625","N521AE","CLT","06:35","06:24","109","107","-11","06:45","21","0","0","0","0","0"
"OH","12/02/2023","5554","N571NN","DCA","10:44","10:32","135","119","-12","10:50","18","0","0","0","0","0"
"OH","12/03/2021","5384","N595NN","CLT","18:47","19:00","107","91","13","19:15","15","0","0","0","0","0"
"OH","12/03/2021","5415","N602NN","CLT","10:42","10:31","105","95","-11","10:51","20","0","0","0","0","0"
"OH","12/03/2021","5554","N529EA","DCA","11:17","11:11","132","127","-6","11:25","14","0","0","0","0","0"
"OH","12/03/2021","5625","N702PS","CLT","06:35","06:25","109","87","-10","06:41","16","0","0","0","0","0"
"OH","12/03/2023","5554","N571NN","DCA","10:44","10:32","135","118","-12","10:46","14","0","0","0","0","0"
"OH","12/04/2021","5415","N600NN","CLT","10:42","11:05","105","98","23","11:32","27","0","0","0","0","16"
"OH","12/04/2021","5554","N521AE","DCA","10:49","10:29","130","112","-20","10:39","10","0","0","0","0","0"
"OH","12/04/2021","5625","N544EA","CLT","06:35","06:26","109","131","-9","07:21","55","0","0","0","0","0"
"OH","12/04/2023","5554","N605NN","DCA","10:44","10:38","135","113","-6","10:51","13","0","0","0","0","0"
"OH","12/05/2021","5384","N614NN","CLT","18:47","18:37","107","117","-10","19:01","24","0","0","0","0","0"
"OH","12/05/2021","5415","N579NN","CLT","10:42","10:57","105","90","15","11:08","11","0","0","0","0","0"
