Detailed Statistics Departures  
Origin Airport: Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/16/2021","4637","N429YX","CLT","14:36","14:26","98","99","-10","14:35","9","0","0","0","0","0"
"YX","12/17/2021","4637","N135HQ","CLT","14:36","14:36","98","99","0","14:48","12","0","0","0","0","0"
"YX","12/18/2021","4637","N407YX","CLT","14:36","14:30","98","106","-6","14:48","18","0","0","0","0","0"
"YX","12/19/2021","4637","N118HQ","CLT","14:36","14:31","98","111","-5","15:04","33","0","0","0","0","0"
"YX","12/20/2021","4637","N116HQ","CLT","14:36","14:31","98","89","-5","14:45","14","0","0","0","0","0"
"YX","12/21/2021","4637","N118HQ","CLT","14:36","14:47","98","107","11","15:13","26","11","0","9","0","0"
"YX","12/22/2021","4637","N450YX","CLT","14:36","14:32","98","96","-4","14:49","17","0","0","0","0","0"
"YX","12/23/2021","4637","N103HQ","CLT","14:36","14:28","98","95","-8","14:36","8","0","0","0","0","0"
"YX","12/25/2021","4637","N104HQ","CLT","14:36","14:32","98","92","-4","14:41","9","0","0","0","0","0"
"YX","12/26/2021","4637","N101HQ","CLT","14:36","14:27","98","92","-9","14:41","14","0","0","0","0","0"
"YX","12/27/2021","4637","N102HQ","CLT","14:36","15:29","98","95","53","15:42","13","4","0","0","0","46"
"YX","12/28/2021","4637","N443YX","CLT","14:36","14:29","98","100","-7","14:42","13","0","0","0","0","0"
"YX","12/29/2021","4637","N407YX","CLT","14:36","14:30","98","99","-6","14:43","13","0","0","0","0","0"
"YX","12/30/2021","4637","N439YX","CLT","14:36","14:42","98","94","6","14:54","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
