Detailed Statistics Departures  
Origin Airport: Vernal, UT: Vernal Regional (VEL)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5085","N925EV","DEN","18:00","17:43","76","72","-17","17:59","16","0","0","0","0","0"
"OO","12/01/2021","5135","N913EV","DEN","10:15","10:09","76","81","-6","10:27","18","0","0","0","0","0"
"OO","12/01/2022","5065","N223JS","DEN","14:02","13:54","73","61","-8","14:02","8","0","0","0","0","0"
"OO","12/01/2022","5123","N652BR","DEN","07:45","08:59","77","107","74","09:53","54","104","0","0","0","0"
"OO","12/01/2023","5083","N699BR","DEN","10:40","12:39","80","112","119","13:37","58","0","119","32","0","0"
"OO","12/01/2023","5084","N971SW","DEN","14:15","14:07","80","82","-8","14:32","25","0","0","0","0","0"
"OO","12/02/2021","5085","N925SW","DEN","18:00","17:44","76","70","-16","17:52","8","0","0","0","0","0"
"OO","12/02/2021","5135","N925EV","DEN","10:15","10:03","76","77","-12","10:26","23","0","0","0","0","0"
"OO","12/02/2022","5065","N925EV","DEN","14:02","13:52","73","61","-10","14:00","8","0","0","0","0","0"
"OO","12/02/2023","5084","N917SW","DEN","14:15","14:10","80","67","-5","14:19","9","0","0","0","0","0"
"OO","12/03/2021","5085","N438SW","DEN","18:00","17:49","76","86","-11","18:06","17","0","0","0","0","0"
"OO","12/03/2021","5135","N443SW","DEN","10:15","10:08","76","80","-7","10:24","16","0","0","0","0","0"
