Detailed Statistics Departures  
Origin Airport: Victoria, TX: Victoria Regional (VCT)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5193","N709BR","IAH","07:00","06:59","57","77","-1","07:37","38","19","0","0","0","0"
"OO","12/01/2021","5202","N929EV","IAH","13:33","13:23","57","43","-10","13:30","7","0","0","0","0","0"
"OO","12/01/2022","5193","N965SW","IAH","05:30","05:32","61","39","2","05:37","5","0","0","0","0","0"
"OO","12/01/2022","5202","N854AS","IAH","13:39","13:30","61","42","-9","13:40","10","0","0","0","0","0"
"OO","12/01/2023","5073","N457SW","IAH","16:23","16:13","62","46","-10","16:21","8","0","0","0","0","0"
"OO","12/01/2023","5193","N960SW","IAH","05:30","05:24","62","48","-6","05:29","5","0","0","0","0","0"
"OO","12/02/2021","5193","N929EV","IAH","07:00","07:05","57","38","5","07:11","6","0","0","0","0","0"
"OO","12/02/2021","5202","N920EV","IAH","13:33","13:26","57","56","-7","13:32","6","0","0","0","0","0"
"OO","12/02/2022","5202","N854AS","IAH","13:39","13:30","61","37","-9","13:36","6","0","0","0","0","0"
"OO","12/02/2023","5193","N955SW","IAH","05:30","05:27","62","47","-3","05:36","9","0","0","0","0","0"
"OO","12/03/2021","5193","N964SW","IAH","07:00","06:52","57","47","-8","07:04","12","0","0","0","0","0"
"OO","12/03/2021","5202","N955SW","IAH","13:33","13:30","57","50","-3","13:42","12","0","0","0","0","0"
"OO","12/03/2022","5202","N924SW","IAH","13:39","13:31","61","41","-8","13:39","8","0","0","0","0","0"
"OO","12/03/2023","5073","N246PS","IAH","16:23","16:14","62","48","-9","16:27","13","0","0","0","0","0"
"OO","12/03/2023","5193","N955SW","IAH","05:30","05:20","62","41","-10","05:26","6","0","0","0","0","0"
"OO","12/04/2021","5193","N962SW","IAH","07:00","06:53","57","51","-7","07:05","12","0","0","0","0","0"
"OO","12/04/2022","5202","N924SW","IAH","13:39","13:28","61","37","-11","13:35","7","0","0","0","0","0"
"OO","12/04/2023","5073","N915EV","IAH","16:23","16:12","62","44","-11","16:17","5","0","0","0","0","0"
"OO","12/04/2023","5193","N944SW","IAH","05:30","05:25","62","45","-5","05:35","10","0","0","0","0","0"
"OO","12/05/2021","5193","N929EV","IAH","07:00","06:53","57","34","-7","06:58","5","0","0","0","0","0"
"OO","12/05/2021","5202","N908SW","IAH","13:33","13:26","57","43","-7","13:32","6","0","0","0","0","0"
"OO","12/05/2022","5202","N693BR","IAH","13:39","13:24","61","47","-15","13:32","8","0","0","0","0","0"
"OO","12/05/2023","5193","N912SW","IAH","05:30","05:14","62","46","-16","05:25","11","0","0","0","0","0"
"OO","12/06/2021","5193","N908SW","IAH","07:00","06:53","57","42","-7","06:57","4","0","0","0","0","0"
"OO","12/06/2021","5202","N466SW","IAH","13:33","13:30","57","47","-3","13:42","12","0","0","0","0","0"
"OO","12/06/2022","5202","N709BR","IAH","13:39","13:31","61","49","-8","13:42","11","0","0","0","0","0"
"OO","12/06/2023","5073","N915EV","IAH","16:23","16:19","62","44","-4","16:25","6","0","0","0","0","0"
"OO","12/06/2023","5193","N932EV","IAH","05:30","05:20","62","39","-10","05:24","4","0","0","0","0","0"
"OO","12/07/2021","5193","N466SW","IAH","07:00","06:53","57","41","-7","07:01","8","0","0","0","0","0"
"OO","12/07/2022","5202","N709BR","IAH","13:39","13:30","61","41","-9","13:36","6","0","0","0","0","0"
"OO","12/07/2023","5073","N932EV","IAH","16:23","16:15","62","52","-8","16:33","18","0","0","0","0","0"
"OO","12/07/2023","5193","N430SW","IAH","05:30","05:10","62","43","-20","05:23","13","0","0","0","0","0"
"OO","12/08/2021","5193","N907SW","IAH","07:00","06:52","57","43","-8","06:57","5","0","0","0","0","0"
"OO","12/08/2021","5202","N809CA","IAH","13:33","13:31","57","53","-2","13:44","13","0","0","0","0","0"
"OO","12/08/2022","5202","N487CA","IAH","13:39","13:32","61","40","-7","13:40","8","0","0","0","0","0"
"OO","12/08/2023","5073","N915EV","IAH","16:23","16:12","62","49","-11","16:25","13","0","0","0","0","0"
"OO","12/08/2023","5193","N915EV","IAH","05:30","05:23","62","42","-7","05:28","5","0","0","0","0","0"
"OO","12/09/2021","5193","N969SW","IAH","07:00","06:53","57","45","-7","07:02","9","0","0","0","0","0"
"OO","12/09/2021","5202","N929EV","IAH","13:33","13:21","57","41","-12","13:26","5","0","0","0","0","0"
"OO","12/09/2022","5202","N487CA","IAH","13:39","13:30","61","41","-9","13:37","7","0","0","0","0","0"
"OO","12/09/2023","5193","N929SW","IAH","05:30","05:22","62","41","-8","05:29","7","0","0","0","0","0"
"OO","12/10/2021","5193","N929EV","IAH","07:00","06:50","57","42","-10","06:56","6","0","0","0","0","0"
"OO","12/10/2021","5202","N593ML","IAH","13:33","13:23","57","53","-10","13:38","15","0","0","0","0","0"
