Detailed Statistics Departures  
Origin Airport: Waco, TX: Waco Regional (ACT)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3898","N922AE","DFW","06:30","06:24","49","56","-6","06:42","18","0","0","0","0","0"
"MQ","12/01/2021","3965","N928AE","DFW","13:56","13:43","46","48","-13","13:53","10","0","0","0","0","0"
"MQ","12/01/2021","4194","N664MS","DFW","10:03","09:55","50","37","-8","10:02","7","0","0","0","0","0"
"MQ","12/01/2021","4327","N664MS","DFW","18:53","18:46","52","57","-7","19:02","16","0","0","0","0","0"
"MQ","12/01/2021","4397","N664MS","DFW","16:05","15:59","54","48","-6","16:09","10","0","0","0","0","0"
"MQ","12/01/2021","4482","N618AE","DFW","20:22","20:26","50","49","4","20:31","5","0","0","0","0","0"
"MQ","12/02/2021","3898","N684JW","DFW","06:30","06:22","49","84","-8","06:59","37","0","0","27","0","0"
"MQ","12/02/2021","3965","N606AE","DFW","13:56","13:45","46","56","-11","13:55","10","0","0","0","0","0"
"MQ","12/02/2021","4194","N623AE","DFW","10:03","10:03","50","46","0","10:12","9","0","0","0","0","0"
"MQ","12/02/2021","4327","N933JN","DFW","18:53","18:46","52","69","-7","19:04","18","0","0","0","0","0"
"MQ","12/02/2021","4397","N923AE","DFW","16:05","16:14","54","45","9","16:22","8","0","0","0","0","0"
"MQ","12/02/2021","4482","N688AE","DFW","20:22","20:11","50","56","-11","20:20","9","0","0","0","0","0"
"MQ","12/03/2021","3898","N689EC","DFW","06:30","06:29","49","61","-1","06:46","17","0","0","0","0","0"
"MQ","12/03/2021","3965","N689EC","DFW","13:56","13:49","46","49","-7","13:58","9","0","0","0","0","0"
"MQ","12/03/2021","4194","N922AE","DFW","10:03","09:57","50","40","-6","10:03","6","0","0","0","0","0"
"MQ","12/03/2021","4327","N612AE","DFW","18:53","18:43","52","63","-10","19:01","18","0","0","0","0","0"
"MQ","12/03/2021","4397","N612AE","DFW","16:05","15:56","54","42","-9","16:04","8","0","0","0","0","0"
"MQ","12/03/2021","4482","N606AE","DFW","20:22","20:12","50","62","-10","20:23","11","0","0","0","0","0"
"MQ","12/04/2021","3898","N687JS","DFW","06:30","06:30","49","48","0","06:42","12","0","0","0","0","0"
"MQ","12/04/2021","3965","N653AE","DFW","13:56","13:53","46","43","-3","14:04","11","0","0","0","0","0"
"MQ","12/04/2021","4194","N607AE","DFW","10:03","09:54","50","47","-9","10:02","8","0","0","0","0","0"
"MQ","12/04/2021","4327","N607AE","DFW","18:53","18:50","52","59","-3","19:00","10","0","0","0","0","0"
"MQ","12/04/2021","4397","N607AE","DFW","16:05","16:01","54","50","-4","16:13","12","0","0","0","0","0"
"MQ","12/05/2021","3898","N611AE","DFW","06:30","06:26","49","44","-4","06:33","7","0","0","0","0","0"
"MQ","12/05/2021","3965","N680AE","DFW","13:56","13:46","46","41","-10","13:55","9","0","0","0","0","0"
"MQ","12/05/2021","4194","N612AE","DFW","10:03","09:59","50","39","-4","10:05","6","0","0","0","0","0"
"MQ","12/05/2021","4327","N928AE","DFW","18:53","18:45","52","58","-8","18:51","6","0","0","0","0","0"
"MQ","12/05/2021","4397","N928AE","DFW","16:05","15:55","54","46","-10","16:04","9","0","0","0","0","0"
"MQ","12/05/2021","4482","N667GB","DFW","20:22","20:13","50","81","-9","20:19","6","0","0","22","0","0"
"MQ","12/06/2021","3898","N664MS","DFW","06:30","06:44","49","58","14","06:53","9","14","0","9","0","0"
"MQ","12/06/2021","3965","N612AE","DFW","13:56","13:47","46","43","-9","13:56","9","0","0","0","0","0"
"MQ","12/06/2021","4194","N694AE","DFW","10:03","09:58","50","57","-5","10:05","7","0","0","0","0","0"
"MQ","12/06/2021","4327","N689EC","DFW","18:53","18:39","52","55","-14","18:51","12","0","0","0","0","0"
"MQ","12/06/2021","4397","N689EC","DFW","16:05","16:22","54","46","17","16:36","14","0","0","0","0","0"
"MQ","12/07/2021","3898","N667GB","DFW","06:30","06:28","49","49","-2","06:35","7","0","0","0","0","0"
"MQ","12/07/2021","3965","N671AE","DFW","13:56","13:46","46","52","-10","13:59","13","0","0","0","0","0"
