Detailed Statistics Departures  
Origin Airport: Walla Walla, WA: Walla Walla Regional (ALW)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2047","N421QX","SEA","13:46","13:44","69","69","-2","13:53","9","0","0","0","0","0"
"QX","12/01/2021","2087","N404QX","SEA","05:05","04:59","62","65","-6","05:05","6","0","0","0","0","0"
"QX","12/01/2022","2096","N443QX","SEA","13:20","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2021","2047","N451QX","SEA","13:46","13:42","69","71","-4","13:47","5","0","0","0","0","0"
"QX","12/02/2021","2087","N450QX","SEA","05:05","04:58","62","65","-7","05:04","6","0","0","0","0","0"
"QX","12/02/2022","2096","N453QX","SEA","13:20","13:26","65","68","6","13:30","4","0","0","0","0","0"
"QX","12/03/2021","2047","N405QX","SEA","13:46","13:42","69","72","-4","13:54","12","0","0","0","0","0"
"QX","12/03/2021","2087","N430QX","SEA","05:05","04:59","62","63","-6","05:03","4","0","0","0","0","0"
"QX","12/03/2022","2096","N430QX","SEA","13:20","13:15","65","53","-5","13:19","4","0","0","0","0","0"
"QX","12/04/2021","2047","N412QX","SEA","13:46","13:38","69","77","-8","13:50","12","0","0","0","0","0"
"QX","12/04/2021","2087","N432QX","SEA","05:05","04:59","62","73","-6","05:06","7","0","0","0","0","0"
"QX","12/04/2022","2096","N451QX","SEA","13:20","13:35","65","63","15","13:47","12","0","0","0","0","0"
"QX","12/05/2021","2047","N448QX","SEA","13:46","14:03","69","70","17","14:10","7","0","0","18","0","0"
"QX","12/05/2021","2087","N440QX","SEA","05:05","05:01","62","68","-4","05:09","8","0","0","0","0","0"
"QX","12/05/2022","2096","N440QX","SEA","13:20","13:28","65","63","8","13:38","10","0","0","0","0","0"
"QX","12/06/2021","2047","N451QX","SEA","13:46","13:48","69","62","2","13:55","7","0","0","0","0","0"
"QX","12/06/2021","2087","N401QX","SEA","05:05","05:05","62","72","0","05:11","6","0","0","0","0","0"
"QX","12/06/2022","2096","N447QX","SEA","13:20","13:14","65","72","-6","13:23","9","0","0","0","0","0"
"QX","12/07/2021","2047","N438QX","SEA","13:46","13:41","69","90","-5","14:03","22","0","0","16","0","0"
"QX","12/07/2021","2087","N439QX","SEA","05:05","05:01","62","68","-4","05:11","10","0","0","0","0","0"
"QX","12/07/2022","2096","N421QX","SEA","13:20","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/08/2021","2047","N448QX","SEA","13:46","13:40","69","69","-6","13:49","9","0","0","0","0","0"
"QX","12/08/2021","2087","N448QX","SEA","05:05","05:00","62","59","-5","05:04","4","0","0","0","0","0"
"QX","12/08/2022","2096","N421QX","SEA","13:20","13:19","65","57","-1","13:25","6","0","0","0","0","0"
"QX","12/09/2021","2047","N443QX","SEA","13:46","13:49","69","70","3","13:59","10","0","0","0","0","0"
"QX","12/09/2021","2087","N442QX","SEA","05:05","05:03","62","59","-2","05:08","5","0","0","0","0","0"
"QX","12/09/2022","2096","N443QX","SEA","13:20","14:00","65","63","40","14:04","4","3","0","0","0","35"
"QX","12/10/2021","2047","N438QX","SEA","13:46","13:41","69","68","-5","13:48","7","0","0","0","0","0"
"QX","12/10/2021","2087","N402QX","SEA","05:05","05:08","62","66","3","05:15","7","0","0","0","0","0"
