Detailed Statistics Departures  
Origin Airport: Washington, DC: Ronald Reagan Washington National (DCA)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4783","N931XJ","RDU","08:05","07:59","78","69","-6","08:22","23","0","0","0","0","0"
"9E","12/01/2021","5003","N926XJ","CVG","08:45","08:40","103","90","-5","08:54","14","0","0","0","0","0"
"9E","12/01/2021","5047","N305PQ","CVG","20:10","20:45","99","86","35","21:00","15","0","0","0","0","22"
"9E","12/01/2021","5332","N926XJ","CVG","14:00","13:50","108","114","-10","14:27","37","0","0","0","0","0"
"9E","12/01/2021","5501","N324PQ","RDU","21:00","20:50","75","70","-10","21:09","19","0","0","0","0","0"
"9E","12/01/2022","4839","N920XJ","CVG","16:00","16:27","100","104","27","16:54","27","0","0","4","0","27"
"9E","12/01/2022","4846","N920XJ","CVG","21:00","21:00","98","94","0","21:22","22","0","0","0","0","0"
"9E","12/01/2022","4962","N935XJ","RDU","08:00","08:52","75","75","52","09:15","23","0","0","0","0","52"
"9E","12/01/2022","5003","N916XJ","CVG","09:59","10:01","97","127","2","10:49","48","0","0","32","0","0"
"9E","12/01/2022","5177","N606LR","RDU","16:00","16:29","78","85","29","17:00","31","29","0","7","0","0"
"9E","12/01/2022","5501","N606LR","RDU","20:25","20:20","79","75","-5","20:44","24","0","0","0","0","0"
"9E","12/01/2023","4838","N906XJ","RDU","08:07","08:02","75","62","-5","08:16","14","0","0","0","0","0"
"9E","12/01/2023","4843","N138EV","RDU","21:00","20:49","79","75","-11","21:11","22","0","0","0","0","0"
"9E","12/01/2023","4872","N927XJ","CVG","22:00","21:50","99","80","-10","21:59","9","0","0","0","0","0"
"9E","12/01/2023","5081","N181PQ","CVG","16:40","16:35","104","89","-5","16:46","11","0","0","0","0","0"
"9E","12/01/2023","5092","N232PQ","CVG","10:00","09:51","100","103","-9","10:08","17","0","0","0","0","0"
"9E","12/01/2023","5118","N927XJ","RDU","17:05","17:05","83","62","0","17:19","14","0","0","0","0","0"
"9E","12/02/2021","4783","N538CA","RDU","08:05","08:01","78","70","-4","08:25","24","0","0","0","0","0"
"9E","12/02/2021","5003","N930XJ","CVG","08:45","08:40","103","97","-5","08:59","19","0","0","0","0","0"
"9E","12/02/2021","5047","N902XJ","CVG","20:10","20:09","99","99","-1","20:33","24","0","0","0","0","0"
"9E","12/02/2021","5332","N930XJ","CVG","14:00","13:55","108","111","-5","14:22","27","0","0","0","0","0"
"9E","12/02/2021","5357","N913XJ","RDU","16:00","15:57","77","72","-3","16:20","23","0","0","0","0","0"
"9E","12/02/2021","5501","N604LR","RDU","20:20","20:10","77","74","-10","20:41","31","0","0","0","0","0"
"9E","12/02/2022","4839","N902XJ","CVG","16:00","15:53","100","100","-7","16:15","22","0","0","0","0","0"
"9E","12/02/2022","4846","N902XJ","CVG","21:00","20:50","98","101","-10","21:10","20","0","0","0","0","0"
"9E","12/02/2022","4962","N606LR","RDU","08:00","07:51","75","68","-9","08:07","16","0","0","0","0","0"
"9E","12/02/2022","5003","N917XJ","CVG","09:59","09:55","97","81","-4","10:04","9","0","0","0","0","0"
"9E","12/02/2022","5177","N293PQ","RDU","16:00","15:57","78","73","-3","16:17","20","0","0","0","0","0"
"9E","12/02/2022","5501","N293PQ","RDU","20:25","20:20","79","76","-5","20:44","24","0","0","0","0","0"
"9E","12/02/2023","4838","N308PQ","RDU","08:07","08:01","75","66","-6","08:13","12","0","0","0","0","0"
"9E","12/02/2023","5081","N195PQ","CVG","16:45","16:35","109","91","-10","16:46","11","0","0","0","0","0"
"9E","12/02/2023","5092","N153PQ","CVG","10:00","09:50","100","90","-10","10:01","11","0","0","0","0","0"
"9E","12/03/2021","4783","N913XJ","RDU","08:05","08:00","78","71","-5","08:26","26","0","0","0","0","0"
"9E","12/03/2021","5003","N923XJ","CVG","08:45","08:37","103","96","-8","08:52","15","0","0","0","0","0"
"9E","12/03/2021","5047","N916XJ","CVG","20:10","20:04","99","93","-6","20:22","18","0","0","0","0","0"
"9E","12/03/2021","5332","N923XJ","CVG","14:00","13:56","108","108","-4","14:21","25","0","0","0","0","0"
"9E","12/03/2021","5357","N924XJ","RDU","16:00","15:56","77","90","-4","16:37","41","0","0","0","0","0"
"9E","12/03/2021","5501","N604LR","RDU","20:20","20:15","77","67","-5","20:37","22","0","0","0","0","0"
"9E","12/03/2022","4802","N915XJ","CVG","09:50","09:41","97","93","-9","09:53","12","0","0","0","0","0"
"9E","12/03/2022","4839","N915XJ","CVG","16:00","15:55","100","93","-5","16:09","14","0","0","0","0","0"
"9E","12/03/2022","4962","N906XJ","RDU","08:00","07:54","75","62","-6","08:06","12","0","0","0","0","0"
"9E","12/03/2023","4836","N335PQ","LGA","10:55","10:52","83","62","-3","11:09","17","0","0","0","0","0"
"9E","12/03/2023","4838","N907XJ","RDU","08:07","08:01","75","71","-6","08:15","14","0","0","0","0","0"
"9E","12/03/2023","4843","N301PQ","RDU","21:00","20:57","79","86","-3","21:31","34","0","0","0","0","0"
"9E","12/03/2023","4872","N232PQ","CVG","22:00","22:12","99","113","12","22:29","17","0","0","14","0","12"
"9E","12/03/2023","5081","N183GJ","CVG","16:40","18:47","104","112","127","19:02","15","0","0","8","0","127"
"9E","12/03/2023","5092","N279PQ","CVG","09:15","09:10","101","108","-5","09:28","18","0","0","0","0","0"
"9E","12/03/2023","5118","N232PQ","RDU","17:05","16:55","83","78","-10","17:20","25","0","0","0","0","0"
"9E","12/03/2023","5501","N902XJ","LGA","14:00","14:00","90","71","0","14:23","23","0","0","0","0","0"
"9E","12/04/2021","5003","N916XJ","CVG","08:45","08:36","103","100","-9","08:57","21","0","0","0","0","0"
"9E","12/04/2021","5357","N314PQ","RDU","20:10","19:51","77","70","-19","20:09","18","0","0","0","0","0"
