Detailed Statistics Departures  
Origin Airport: Washington, DC: Ronald Reagan Washington National (DCA)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3504","N277NN","CHS","10:10","10:05","112","108","-5","10:30","25","0","0","0","0","0"
"MQ","12/01/2021","3507","N264NN","CVG","10:00","09:56","109","105","-4","10:23","27","0","0","0","0","0"
"MQ","12/01/2021","3535","N278NN","ORD","09:40","09:55","148","131","15","10:18","23","0","0","0","0","0"
"MQ","12/01/2021","3560","N250NN","MCI","10:14","10:09","178","180","-5","10:35","26","0","0","0","0","0"
"MQ","12/01/2021","3627","N265NN","LIT","18:20","18:20","175","146","0","18:37","17","0","0","0","0","0"
"MQ","12/01/2021","3730","N277NN","RDU","15:36","15:37","82","82","1","16:11","34","0","0","0","0","0"
"MQ","12/01/2021","4027","N265NN","CHS","13:44","13:43","111","103","-1","14:10","27","0","0","0","0","0"
"MQ","12/01/2021","4031","N208AN","CVG","19:45","19:41","110","88","-4","19:52","11","0","0","0","0","0"
"MQ","12/01/2021","4042","N235NN","CMH","20:12","20:17","93","80","5","20:35","18","0","0","0","0","0"
"MQ","12/01/2021","4126","N230NN","ORD","11:01","11:00","146","121","-1","11:15","15","0","0","0","0","0"
"MQ","12/01/2021","4152","N279MQ","IND","14:54","15:15","121","140","21","15:57","42","14","0","19","0","7"
"MQ","12/01/2021","4321","N235NN","DTW","14:59","15:01","110","106","2","15:26","25","0","0","0","0","0"
"MQ","12/01/2021","4439","N265NN","CMH","08:30","08:31","97","102","1","09:14","43","0","0","0","0","0"
"MQ","12/01/2021","4494","N254NN","XNA","19:45","19:43","185","164","-2","19:57","14","0","0","0","0","0"
"MQ","12/01/2022","3393","N262NN","CHS","15:32","16:07","111","114","35","16:30","23","3","0","3","0","32"
"MQ","12/01/2022","3414","N239NN","VPS","10:32","10:26","168","165","-6","11:00","34","0","0","0","0","0"
"MQ","12/01/2022","3502","N255NN","ATL","08:29","08:27","130","127","-2","08:54","27","0","0","0","0","0"
"MQ","12/01/2022","3504","N262NN","BNA","10:00","10:02","132","149","2","10:42","40","2","0","17","0","0"
"MQ","12/01/2022","3544","N255NN","MEM","13:55","14:34","161","136","39","14:51","17","0","0","0","0","0"
"MQ","12/01/2022","3565","N255NN","XNA","19:57","22:57","182","161","180","23:13","16","107","0","0","0","52"
"MQ","12/01/2022","3570","N234JW","ROC","20:20","20:17","93","101","-3","20:57","40","0","0","0","0","0"
"MQ","12/01/2022","3627","N239NN","LIT","16:45","16:44","172","164","-1","17:03","19","0","0","0","0","0"
"MQ","12/01/2022","3959","N266NN","CVG","10:00","09:58","111","103","-2","10:17","19","0","0","0","0","0"
