Detailed Statistics Departures  
Origin Airport: Washington, DC: Ronald Reagan Washington National (DCA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6061","N89357","IAH","14:40","14:44","221","203","4","15:08","24","0","0","0","0","0"
"YV","12/01/2021","6179","N84307","IAH","12:50","12:49","221","193","-1","12:59","10","0","0","0","0","0"
"YV","12/01/2021","6279","N85340","IAH","10:50","10:51","221","197","1","11:02","11","0","0","0","0","0"
"YV","12/01/2021","6374","N85379","IAH","19:05","18:58","219","175","-7","19:11","13","0","0","0","0","0"
"YV","12/01/2022","6137","N85351","IAH","12:50","12:47","220","202","-3","13:00","13","0","0","0","0","0"
"YV","12/02/2021","6061","N87360","IAH","14:40","14:37","221","179","-3","14:46","9","0","0","0","0","0"
"YV","12/02/2021","6179","N88326","IAH","12:50","12:44","221","199","-6","13:10","26","0","0","0","0","0"
"YV","12/02/2021","6279","N88328","IAH","10:50","10:48","221","175","-2","10:59","11","0","0","0","0","0"
"YV","12/02/2021","6374","N87380","IAH","19:05","19:03","219","177","-2","19:18","15","0","0","0","0","0"
"YV","12/02/2022","6224","N86347","IAH","14:51","14:46","209","205","-5","15:08","22","0","0","0","0","0"
"YV","12/02/2023","6123","N87302","IAH","14:42","14:57","223","227","15","15:23","26","1","0","4","0","14"
"YV","12/03/2021","6061","N86312","IAH","14:40","14:40","221","187","0","14:56","16","0","0","0","0","0"
"YV","12/03/2021","6179","N89304","IAH","12:50","12:45","221","181","-5","12:54","9","0","0","0","0","0"
"YV","12/03/2021","6279","N88359","IAH","10:50","10:49","221","194","-1","11:07","18","0","0","0","0","0"
"YV","12/03/2021","6374","N89321","IAH","19:05","19:05","219","191","0","19:18","13","0","0","0","0","0"
"YV","12/04/2021","6061","N87360","IAH","14:40","14:37","221","191","-3","14:53","16","0","0","0","0","0"
"YV","12/04/2021","6152","N87319","IAH","10:50","10:47","221","190","-3","11:00","13","0","0","0","0","0"
"YV","12/04/2021","6197","N82338","IAH","06:10","06:07","221","186","-3","06:17","10","0","0","0","0","0"
"YV","12/04/2021","6374","N85377","IAH","19:05","19:00","219","185","-5","19:14","14","0","0","0","0","0"
"YV","12/05/2021","6061","N88346","IAH","14:40","14:40","221","192","0","14:51","11","0","0","0","0","0"
"YV","12/05/2021","6152","N89342","IAH","10:50","10:49","221","184","-1","11:04","15","0","0","0","0","0"
"YV","12/05/2021","6179","N88301","IAH","12:50","12:49","221","185","-1","13:01","12","0","0","0","0","0"
"YV","12/05/2021","6197","N85374","IAH","06:10","06:10","221","209","0","06:27","17","0","0","0","0","0"
"YV","12/05/2021","6374","N87368","IAH","19:05","19:16","219","199","11","19:25","9","0","0","0","0","0"
"YV","12/06/2021","6061","N88327","IAH","14:40","14:40","221","233","0","15:00","20","0","0","0","0","0"
"YV","12/06/2021","6152","N86344","IAH","10:50","10:50","221","247","0","11:02","12","0","0","26","0","0"
"YV","12/06/2021","6179","N87353","IAH","12:50","12:48","221","219","-2","13:00","12","0","0","0","0","0"
"YV","12/06/2021","6374","N85376","IAH","19:05","19:03","219","219","-2","19:30","27","0","0","0","0","0"
"YV","12/07/2021","6061","N86334","IAH","14:40","14:32","221","197","-8","14:43","11","0","0","0","0","0"
"YV","12/07/2021","6152","N85355","IAH","10:50","00:00","221","0","0","00:00","0","0","0","0","0","0"
"YV","12/07/2021","6179","N80348","IAH","12:50","12:46","221","196","-4","12:58","12","0","0","0","0","0"
"YV","12/07/2021","6374","N86375","IAH","19:05","18:57","219","198","-8","19:15","18","0","0","0","0","0"
"YV","12/08/2021","6061","N87318","IAH","14:40","14:35","221","209","-5","14:47","12","0","0","0","0","0"
"YV","12/08/2021","6152","N89321","IAH","10:50","10:50","221","210","0","11:10","20","0","0","0","0","0"
"YV","12/08/2021","6179","N86347","IAH","12:50","12:45","221","198","-5","12:54","9","0","0","0","0","0"
"YV","12/08/2021","6374","N86375","IAH","19:05","19:14","219","193","9","19:33","19","0","0","0","0","0"
"YV","12/09/2021","6061","N86334","IAH","14:40","15:11","221","208","31","15:28","17","18","0","0","0","0"
"YV","12/09/2021","6152","N86344","IAH","10:50","10:47","221","208","-3","11:04","17","0","0","0","0","0"
"YV","12/09/2021","6179","N87345","IAH","12:50","12:50","221","215","0","13:06","16","0","0","0","0","0"
"YV","12/09/2021","6374","N85379","IAH","19:05","19:08","219","189","3","19:22","14","0","0","0","0","0"
"YV","12/09/2023","6123","N87302","IAH","14:42","14:36","223","197","-6","14:43","7","0","0","0","0","0"
"YV","12/10/2021","6061","N83329","IAH","14:40","14:40","221","200","0","14:53","13","0","0","0","0","0"
"YV","12/10/2021","6152","N86344","IAH","10:50","10:44","221","190","-6","10:57","13","0","0","0","0","0"
"YV","12/10/2021","6179","N85356","IAH","12:50","12:56","221","201","6","13:11","15","0","0","0","0","0"
"YV","12/10/2021","6374","N87337","IAH","19:05","18:59","219","190","-6","19:16","17","0","0","0","0","0"
"YV","12/11/2021","6061","N86312","IAH","14:40","15:05","221","223","25","15:19","14","0","0","0","0","27"
"YV","12/11/2021","6152","N89321","IAH","10:50","11:04","221","216","14","11:20","16","0","0","0","0","0"
"YV","12/11/2021","6179","N85352","IAH","12:50","12:41","221","224","-9","12:57","16","0","0","0","0","0"
"YV","12/11/2021","6197","N88310","IAH","06:10","06:06","221","214","-4","06:22","16","0","0","0","0","0"
"YV","12/11/2021","6374","N85377","IAH","19:05","18:59","219","213","-6","19:08","9","0","0","0","0","0"
"YV","12/12/2021","6061","N87306","IAH","14:40","14:39","221","217","-1","14:55","16","0","0","0","0","0"
"YV","12/12/2021","6152","N82314","IAH","10:50","10:53","221","197","3","11:00","7","0","0","0","0","0"
"YV","12/12/2021","6179","N88335","IAH","12:50","12:49","221","201","-1","13:02","13","0","0","0","0","0"
"YV","12/12/2021","6197","N85370","IAH","06:10","06:09","221","200","-1","06:20","11","0","0","0","0","0"
"YV","12/12/2021","6374","N87368","IAH","19:05","19:11","219","194","6","19:32","21","0","0","0","0","0"
"YV","12/13/2021","6061","N88331","IAH","14:40","14:35","221","195","-5","14:50","15","0","0","0","0","0"
"YV","12/13/2021","6152","N88335","IAH","10:50","10:43","221","200","-7","10:59","16","0","0","0","0","0"
"YV","12/13/2021","6179","N85340","IAH","12:50","12:49","221","192","-1","13:00","11","0","0","0","0","0"
"YV","12/13/2021","6374","N87368","IAH","19:05","19:03","219","191","-2","19:14","11","0","0","0","0","0"
"YV","12/14/2021","6061","N87345","IAH","14:40","17:16","221","189","156","17:38","22","124","0","0","0","0"
"YV","12/14/2021","6152","N88341","IAH","10:50","10:47","221","193","-3","11:03","16","0","0","0","0","0"
"YV","12/14/2021","6179","N86311","IAH","12:50","12:48","221","189","-2","13:01","13","0","0","0","0","0"
"YV","12/14/2021","6374","N87368","IAH","19:05","19:17","219","187","12","19:32","15","0","0","0","0","0"
"YV","12/15/2021","6061","N87303","IAH","14:40","14:40","221","203","0","14:58","18","0","0","0","0","0"
"YV","12/15/2021","6152","N87353","IAH","10:50","10:49","221","181","-1","10:58","9","0","0","0","0","0"
"YV","12/15/2021","6179","N88328","IAH","12:50","12:48","221","181","-2","12:55","7","0","0","0","0","0"
"YV","12/15/2021","6374","N85370","IAH","19:05","19:04","219","197","-1","19:27","23","0","0","0","0","0"
"YV","12/16/2021","6061","N88335","IAH","14:37","14:39","228","207","2","14:50","11","0","0","0","0","0"
