Detailed Statistics Departures  
Origin Airport: Washington, DC: Ronald Reagan Washington National (DCA)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4660","N109SY","ORD","09:45","09:58","139","133","13","10:20","22","0","0","0","0","0"
"OO","12/01/2021","4667","N117SY","ORD","07:30","07:22","141","147","-8","07:42","20","0","0","0","0","0"
"OO","12/01/2021","4669","N110SY","ORD","11:00","10:58","139","122","-2","11:10","12","0","0","0","0","0"
"OO","12/01/2021","5659","N163SY","ORD","15:45","15:35","139","135","-10","16:00","25","0","0","0","0","0"
"OO","12/01/2021","5697","N608UX","ORD","06:00","05:57","141","126","-3","06:20","23","0","0","0","0","0"
"OO","12/01/2021","5813","N150SY","ORD","17:45","17:39","144","126","-6","17:51","12","0","0","0","0","0"
"OO","12/01/2021","5859","N106SY","ORD","14:45","14:42","139","132","-3","14:58","16","0","0","0","0","0"
"OO","12/01/2022","4698","N139SY","ORD","09:45","09:37","142","123","-8","09:49","12","0","0","0","0","0"
"OO","12/01/2023","5276","N141SY","ORD","11:55","11:56","136","140","1","12:14","18","0","0","0","0","0"
"OO","12/02/2021","4660","N122SY","ORD","09:45","09:38","139","137","-7","09:48","10","0","0","0","0","0"
"OO","12/02/2021","4667","N606UX","ORD","07:30","07:27","141","138","-3","07:45","18","0","0","0","0","0"
"OO","12/02/2021","4669","N114SY","ORD","11:00","11:00","139","133","0","11:15","15","0","0","0","0","0"
"OO","12/02/2021","5659","N162SY","ORD","15:45","15:48","139","139","3","16:03","15","0","0","0","0","0"
"OO","12/02/2021","5697","N157SY","ORD","06:00","05:55","141","124","-5","06:04","9","0","0","0","0","0"
"OO","12/02/2021","5813","N122SY","ORD","17:45","17:43","144","165","-2","18:12","29","19","0","0","0","0"
"OO","12/02/2021","5859","N167SY","ORD","14:45","14:39","139","137","-6","14:56","17","0","0","0","0","0"
"OO","12/02/2022","4648","N131SY","IAH","12:50","12:47","220","216","-3","13:02","15","0","0","0","0","0"
"OO","12/02/2022","4698","N204SY","ORD","09:45","09:43","142","123","-2","09:58","15","0","0","0","0","0"
"OO","12/03/2021","4660","N206SY","ORD","09:45","09:41","139","139","-4","09:55","14","0","0","0","0","0"
"OO","12/03/2021","4667","N106SY","ORD","07:30","07:25","141","147","-5","07:40","15","0","0","0","0","0"
"OO","12/03/2021","4669","N149SY","ORD","11:00","10:53","139","154","-7","11:11","18","0","0","0","0","0"
"OO","12/03/2021","5659","N107SY","ORD","15:45","15:39","139","144","-6","16:06","27","0","0","0","0","0"
"OO","12/03/2021","5697","N103SY","ORD","06:00","05:54","141","141","-6","06:07","13","0","0","0","0","0"
"OO","12/03/2021","5813","N149SY","ORD","17:45","17:36","144","154","-9","18:02","26","0","0","0","0","0"
"OO","12/03/2021","5859","N151SY","ORD","14:45","14:46","139","132","1","15:01","15","0","0","0","0","0"
"OO","12/03/2022","4648","N119SY","IAH","12:50","12:48","220","205","-2","13:03","15","0","0","0","0","0"
"OO","12/03/2023","5276","N157SY","ORD","11:55","11:49","136","132","-6","12:03","14","0","0","0","0","0"
"OO","12/04/2021","4667","N205SY","ORD","07:30","07:33","141","133","3","07:48","15","0","0","0","0","0"
"OO","12/04/2021","4720","N153SY","ORD","09:45","09:39","139","123","-6","09:50","11","0","0","0","0","0"
"OO","12/04/2021","5674","N616UX","IAH","16:30","16:23","210","211","-7","16:36","13","0","0","0","0","0"
"OO","12/04/2021","5697","N122SY","ORD","06:00","05:55","141","133","-5","06:08","13","0","0","0","0","0"
"OO","12/04/2021","5813","N207SY","ORD","17:45","17:38","144","146","-7","18:07","29","0","0","0","0","0"
"OO","12/04/2021","5859","N136SY","ORD","14:45","14:45","139","129","0","14:57","12","0","0","0","0","0"
"OO","12/04/2022","4648","N144SY","IAH","12:50","14:11","220","219","81","14:30","19","80","0","0","0","0"
"OO","12/04/2022","4698","N150SY","ORD","09:45","09:43","142","132","-2","09:54","11","0","0","0","0","0"
"OO","12/04/2023","5276","N150SY","ORD","11:55","11:52","136","127","-3","12:03","11","0","0","0","0","0"
"OO","12/05/2021","4667","N148SY","ORD","07:30","07:48","141","128","18","07:59","11","0","0","0","0","0"
"OO","12/05/2021","4672","N132SY","ORD","11:00","10:56","139","139","-4","11:06","10","0","0","0","0","0"
"OO","12/05/2021","4720","N125SY","ORD","09:45","09:59","139","141","14","10:27","28","16","0","0","0","0"
"OO","12/05/2021","4783","N207SY","ORD","12:45","12:43","139","156","-2","13:18","35","15","0","0","0","0"
"OO","12/05/2021","5813","N114SY","ORD","17:45","17:41","144","128","-4","17:55","14","0","0","0","0","0"
"OO","12/05/2021","5859","N105SY","ORD","14:45","14:43","139","128","-2","14:59","16","0","0","0","0","0"
"OO","12/05/2021","5999","N163SY","ORD","15:45","15:45","139","128","0","16:03","18","0","0","0","0","0"
"OO","12/05/2022","4648","N161SY","IAH","12:50","12:52","220","207","2","13:10","18","0","0","0","0","0"
"OO","12/05/2022","4698","N124SY","ORD","09:45","09:41","142","133","-4","09:54","13","0","0","0","0","0"
"OO","12/05/2023","4645","N153SY","ORD","10:30","10:24","141","136","-6","10:44","20","0","0","0","0","0"
"OO","12/05/2023","5276","N208SY","ORD","11:55","11:52","136","140","-3","12:09","17","0","0","0","0","0"
"OO","12/06/2021","4667","N132SY","ORD","07:30","07:20","141","135","-10","07:38","18","0","0","0","0","0"
"OO","12/06/2021","4672","N604UX","ORD","11:00","11:03","139","140","3","11:25","22","0","0","0","0","0"
"OO","12/06/2021","4720","N121SY","ORD","09:45","09:36","139","127","-9","09:48","12","0","0","0","0","0"
"OO","12/06/2021","5697","N131SY","ORD","06:00","05:53","141","127","-7","06:09","16","0","0","0","0","0"
"OO","12/06/2021","5813","N135SY","ORD","17:45","17:40","144","129","-5","17:51","11","0","0","0","0","0"
"OO","12/06/2021","5859","N125SY","ORD","14:45","14:46","139","144","1","15:04","18","0","0","0","0","0"
"OO","12/06/2021","5999","N121SY","ORD","15:45","15:41","139","138","-4","15:54","13","0","0","0","0","0"
"OO","12/06/2022","4648","N163SY","IAH","12:50","12:44","220","221","-6","13:09","25","0","0","0","0","0"
"OO","12/06/2022","4698","N135SY","ORD","09:45","09:41","142","142","-4","10:10","29","0","0","0","0","0"
"OO","12/06/2023","4645","N134SY","ORD","10:30","10:26","141","131","-4","10:45","19","0","0","0","0","0"
"OO","12/06/2023","5276","N157SY","ORD","11:55","12:28","136","129","33","12:47","19","0","0","0","0","26"
"OO","12/07/2021","4667","N142SY","ORD","07:30","07:26","141","129","-4","07:38","12","0","0","0","0","0"
"OO","12/07/2021","4672","N202SY","ORD","11:00","10:58","139","133","-2","11:15","17","0","0","0","0","0"
"OO","12/07/2021","4720","N204SY","ORD","09:45","09:37","139","135","-8","09:50","13","0","0","0","0","0"
"OO","12/07/2021","5697","N165SY","ORD","06:00","05:59","141","147","-1","06:23","24","0","0","0","0","0"
"OO","12/07/2021","5813","N132SY","ORD","17:45","18:32","144","122","47","18:44","12","0","0","0","0","25"
"OO","12/07/2021","5859","N151SY","ORD","14:45","14:59","139","128","14","15:16","17","0","0","0","0","0"
"OO","12/07/2021","5999","N166SY","ORD","15:45","17:59","139","138","134","18:23","24","133","0","0","0","0"
"OO","12/07/2022","4648","N150SY","IAH","12:50","13:24","220","221","34","13:42","18","35","0","0","0","0"
"OO","12/07/2022","4698","N152SY","ORD","09:45","09:43","142","135","-2","09:54","11","0","0","0","0","0"
"OO","12/07/2023","5276","N205SY","ORD","11:55","11:54","136","119","-1","12:04","10","0","0","0","0","0"
