Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","1012","N472AS","SEA","18:50","18:47","364","358","-3","19:01","14","0","0","0","0","0"
"AS","12/01/2021","1097","N285AK","LAX","17:20","17:59","354","320","39","18:30","31","0","0","0","0","0"
"AS","12/01/2022","1078","N523AS","SEA","18:55","00:00","364","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","1080","N291BT","SFO","18:40","18:45","373","372","5","19:03","18","0","0","0","0","0"
"AS","12/01/2022","1097","N491AS","LAX","16:10","16:17","363","346","7","16:31","14","0","0","0","0","0"
"AS","12/01/2023","0309","N483AS","LAX","15:59","15:59","360","349","0","16:17","18","0","0","0","0","0"
"AS","12/01/2023","0351","N413AS","SEA","19:00","18:54","360","351","-6","19:09","15","0","0","0","0","0"
"AS","12/01/2023","0435","N918AK","SFO","17:55","18:06","378","374","11","18:28","22","0","0","0","0","0"
"AS","12/01/2023","0499","N903AK","SEA","07:00","06:50","362","343","-10","07:08","18","0","0","0","0","0"
"AS","12/01/2023","0507","N265AK","SAN","17:05","16:53","355","359","-12","17:22","29","0","0","0","0","0"
"AS","12/02/2021","1085","N281AK","SEA","18:50","18:34","364","405","-16","18:55","21","0","0","25","0","0"
"AS","12/02/2021","1097","N272AK","LAX","17:20","17:45","354","331","25","18:19","34","0","0","0","0","0"
"AS","12/02/2022","1078","N281AK","SEA","18:55","19:16","364","355","21","19:30","14","0","0","0","0","0"
"AS","12/02/2022","1080","N471AS","SFO","18:40","18:37","373","382","-3","18:50","13","0","0","0","0","0"
"AS","12/02/2022","1097","N280AK","LAX","16:10","16:10","363","365","0","16:21","11","0","0","0","0","0"
"AS","12/02/2023","0351","N260AK","SEA","19:00","18:51","360","382","-9","19:18","27","0","0","0","0","0"
"AS","12/02/2023","0499","N707AL","SEA","07:00","07:07","362","352","7","07:24","17","0","0","0","0","0"
"AS","12/02/2023","0507","N440AS","SAN","17:05","16:57","355","334","-8","17:15","18","0","0","0","0","0"
"AS","12/03/2021","1085","N435AS","SEA","18:50","18:45","364","383","-5","19:03","18","0","0","0","0","0"
"AS","12/03/2022","1078","N529AS","SEA","18:55","19:02","364","374","7","19:16","14","7","0","10","0","0"
"AS","12/03/2022","1080","N462AS","SFO","16:10","16:14","376","404","4","16:29","15","0","0","32","0","0"
"AS","12/03/2023","0309","N932AK","LAX","15:59","15:58","360","337","-1","16:16","18","0","0","0","0","0"
"AS","12/03/2023","0351","N268AK","SEA","19:00","19:00","360","361","0","19:23","23","0","0","0","0","0"
"AS","12/03/2023","0435","N293AK","SFO","17:55","18:22","378","377","27","18:51","29","0","26","0","0","0"
"AS","12/03/2023","0499","N903AK","SEA","07:00","07:14","362","343","14","07:35","21","0","0","0","0","0"
"AS","12/03/2023","0507","N263AK","SAN","17:05","16:57","355","333","-8","17:17","20","0","0","0","0","0"
"AS","12/04/2021","1085","N296AK","SEA","18:50","18:39","364","375","-11","18:54","15","0","0","0","0","0"
"AS","12/04/2021","1097","N584AS","LAX","17:20","17:18","354","304","-2","17:33","15","0","0","0","0","0"
"AS","12/04/2022","1078","N278AK","SEA","18:55","19:04","364","405","9","19:24","20","9","0","41","0","0"
"AS","12/04/2022","1080","N978AK","SFO","18:40","18:32","373","408","-8","18:59","27","0","0","27","0","0"
