Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0358","191NV","BNA","20:06","19:55","120","105","-11","20:08","13","0","0","0","0","0"
"G4","12/01/2022","1382","297NV","SRQ","18:21","18:14","157","163","-7","18:27","13","0","0","0","0","0"
"G4","12/01/2022","3121","245NV","AUS","11:47","11:41","210","209","-6","11:53","12","0","0","0","0","0"
"G4","12/02/2022","0383","233NV","JAX","13:36","13:45","120","121","9","13:59","14","0","0","0","0","0"
"G4","12/03/2021","0767","313NV","JAX","11:34","14:30","112","121","176","14:46","16","0","0","9","0","176"
"G4","12/03/2023","0352","284NV","BNA","18:41","18:37","116","128","-4","18:59","22","0","0","0","0","0"
"G4","12/03/2023","3019","278NV","SRQ","19:45","19:40","155","159","-5","19:55","15","0","0","0","0","0"
"G4","12/03/2023","3126","315NV","AUS","11:53","11:46","217","262","-7","12:07","21","0","0","38","0","0"
"G4","12/04/2022","0358","191NV","BNA","20:06","19:56","120","119","-10","20:09","13","0","0","0","0","0"
"G4","12/04/2022","1382","292NV","SRQ","18:21","18:18","157","151","-3","18:34","16","0","0","0","0","0"
"G4","12/04/2022","3121","245NV","AUS","11:47","11:39","210","212","-8","11:51","12","0","0","0","0","0"
"G4","12/05/2022","0383","206NV","JAX","13:36","13:32","120","121","-4","13:47","15","0","0","0","0","0"
"G4","12/06/2021","0767","249NV","JAX","11:34","13:16","112","117","102","13:33","17","9","0","5","0","93"
"G4","12/07/2023","0342","284NV","BNA","13:31","13:46","120","102","15","14:02","16","0","0","0","0","0"
"G4","12/07/2023","1355","222NV","SRQ","10:41","10:33","157","128","-8","10:43","10","0","0","0","0","0"
