Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1173","N751UW","CLT","20:04","19:57","97","104","-7","20:28","31","0","0","0","0","0"
"AA","12/01/2021","1319","N744P","AUS","20:20","21:18","219","192","58","21:32","14","0","0","0","0","31"
"AA","12/01/2021","1661","N828AW","CLT","15:21","15:14","100","72","-7","15:29","15","0","0","0","0","0"
"AA","12/01/2021","2185","N825AW","AUS","11:50","11:46","218","202","-4","11:59","13","0","0","0","0","0"
"AA","12/01/2021","2414","N805AW","DFW","17:12","17:18","219","202","6","17:37","19","0","0","0","0","0"
"AA","12/01/2021","2617","N835AW","DFW","07:00","06:59","223","214","-1","07:28","29","0","0","0","0","0"
"AA","12/01/2021","2910","N828AW","CLT","06:09","06:01","111","110","-8","06:45","44","0","0","0","0","0"
"AA","12/01/2022","1078","N977NN","DFW","16:57","16:53","218","207","-4","17:06","13","0","0","0","0","0"
"AA","12/01/2022","1985","N827AW","CLT","10:50","10:43","86","83","-7","11:03","20","0","0","0","0","0"
"AA","12/01/2022","2617","N878NN","DFW","06:49","06:44","220","223","-5","07:03","19","0","0","0","0","0"
"AA","12/01/2022","2632","N724UW","CLT","19:59","19:54","87","81","-5","20:07","13","0","0","0","0","0"
"AA","12/01/2022","2910","N185UW","CLT","07:40","07:33","90","92","-7","07:46","13","0","0","0","0","0"
"AA","12/01/2023","1863","N964NN","DFW","17:04","16:56","218","218","-8","17:12","16","0","0","0","0","0"
"AA","12/01/2023","2617","N315PE","DFW","06:41","06:39","208","227","-2","06:53","14","0","0","17","0","0"
"AA","12/02/2021","1173","N837AW","CLT","20:04","19:56","97","95","-8","20:27","31","0","0","0","0","0"
"AA","12/02/2021","1319","N821AW","AUS","20:20","20:12","219","202","-8","20:25","13","0","0","0","0","0"
"AA","12/02/2021","1661","N763US","CLT","15:21","15:19","100","75","-2","15:33","14","0","0","0","0","0"
"AA","12/02/2021","2185","N804AW","AUS","11:50","11:47","218","206","-3","12:00","13","0","0","0","0","0"
"AA","12/02/2021","2414","N814AW","DFW","17:12","17:20","219","202","8","17:36","16","0","0","0","0","0"
"AA","12/02/2021","2617","N704US","DFW","07:00","06:58","223","192","-2","07:11","13","0","0","0","0","0"
"AA","12/02/2021","2910","N711UW","CLT","06:09","06:00","111","85","-9","06:18","18","0","0","0","0","0"
"AA","12/02/2022","1078","N930AN","DFW","16:57","16:52","218","204","-5","17:05","13","0","0","0","0","0"
"AA","12/02/2022","1985","N827AW","CLT","10:50","10:43","86","87","-7","11:12","29","0","0","0","0","0"
"AA","12/02/2022","2617","N982NN","DFW","06:49","06:41","220","216","-8","07:10","29","0","0","0","0","0"
"AA","12/02/2022","2632","N745VJ","CLT","19:59","19:52","87","105","-7","20:35","43","0","0","0","0","0"
"AA","12/02/2022","2910","N181UW","CLT","07:40","07:33","90","113","-7","08:17","44","0","0","16","0","0"
"AA","12/02/2023","1863","N301PA","DFW","17:04","17:01","218","244","-3","17:13","12","0","0","23","0","0"
"AA","12/02/2023","2617","N951NN","DFW","06:41","06:34","208","216","-7","06:52","18","0","0","0","0","0"
"AA","12/03/2021","1173","N821AW","CLT","20:04","19:59","97","82","-5","20:18","19","0","0","0","0","0"
"AA","12/03/2021","1319","N740UW","AUS","20:20","20:13","219","194","-7","20:24","11","0","0","0","0","0"
"AA","12/03/2021","1661","N764US","CLT","15:21","15:17","100","85","-4","15:37","20","0","0","0","0","0"
"AA","12/03/2021","2185","N821AW","AUS","11:50","11:44","218","199","-6","11:59","15","0","0","0","0","0"
