Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0776","N396DA","SLC","07:20","07:19","292","288","-1","07:39","20","0","0","0","0","0"
"DL","12/01/2021","0823","N3750D","SEA","19:14","19:09","365","361","-5","19:30","21","0","0","0","0","0"
"DL","12/01/2021","1434","N378DA","ATL","07:00","06:55","114","116","-5","07:20","25","0","0","0","0","0"
"DL","12/01/2021","1482","N389DN","ATL","16:44","16:37","121","99","-7","16:48","11","0","0","0","0","0"
"DL","12/01/2021","1519","N876DN","ATL","11:04","10:58","104","99","-6","11:10","12","0","0","0","0","0"
"DL","12/01/2021","2120","N842DN","ATL","13:00","12:55","116","112","-5","13:17","22","0","0","0","0","0"
"DL","12/01/2021","2793","N387DN","ATL","05:40","05:37","110","110","-3","06:05","28","0","0","0","0","0"
"DL","12/01/2022","0776","N3755D","SLC","07:33","07:27","292","294","-6","07:40","13","0","0","0","0","0"
"DL","12/01/2022","1017","N317US","ATL","19:37","19:32","114","103","-5","19:44","12","0","0","0","0","0"
"DL","12/01/2022","1519","N919AT","ATL","09:54","09:48","110","111","-6","10:12","24","0","0","0","0","0"
"DL","12/01/2022","1681","N3757D","SEA","17:39","17:42","361","353","3","18:00","18","0","0","0","0","0"
"DL","12/01/2022","2120","N955AT","ATL","12:41","14:20","111","103","99","14:32","12","0","0","0","0","91"
"DL","12/01/2022","2461","N3733Z","ATL","07:05","06:58","120","110","-7","07:18","20","0","0","0","0","0"
"DL","12/01/2022","2558","N319US","ATL","06:00","05:55","114","105","-5","06:09","14","0","0","0","0","0"
"DL","12/01/2022","2568","N991AT","ATL","16:49","16:40","116","100","-9","16:49","9","0","0","0","0","0"
"DL","12/01/2023","0436","N37700","SLC","07:05","07:02","297","269","-3","07:11","9","0","0","0","0","0"
"DL","12/01/2023","0461","N143DU","SEA","17:35","17:43","362","347","8","17:58","15","0","0","0","0","0"
"DL","12/01/2023","0964","N3751B","ATL","07:15","07:10","115","113","-5","07:23","13","0","0","0","0","0"
"DL","12/01/2023","1695","N950AT","ATL","17:46","17:55","123","112","9","18:11","16","0","0","0","0","0"
"DL","12/01/2023","1726","N980AT","ATL","09:46","09:32","107","109","-14","09:44","12","0","0","0","0","0"
"DL","12/01/2023","2346","N963AT","DTW","06:10","06:20","92","85","10","06:33","13","0","0","0","0","0"
"DL","12/01/2023","2550","N843DN","ATL","06:00","05:57","113","110","-3","06:09","12","0","0","0","0","0"
"DL","12/01/2023","2644","N607AT","DTW","18:19","18:18","105","87","-1","18:33","15","0","0","0","0","0"
"DL","12/01/2023","2820","N996AT","ATL","13:00","12:55","117","118","-5","13:21","26","0","0","0","0","0"
"DL","12/02/2021","0776","N3751B","SLC","07:20","07:19","292","276","-1","07:30","11","0","0","0","0","0"
"DL","12/02/2021","0823","N3734B","SEA","19:14","19:08","365","372","-6","19:21","13","0","0","0","0","0"
"DL","12/02/2021","1434","N774DE","ATL","07:00","06:53","116","101","-7","07:10","17","0","0","0","0","0"
