Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2022","4223","N286NN","AUS","17:35","17:30","240","244","-5","17:57","27","0","0","0","0","0"
"MQ","12/01/2023","3303","N209NN","AUS","16:19","16:18","224","227","-1","16:32","14","0","0","0","0","0"
"MQ","12/02/2022","4223","N212NN","AUS","17:35","18:26","240","201","51","18:40","14","0","0","0","0","0"
"MQ","12/03/2022","4223","N229NN","AUS","17:35","17:27","240","222","-8","17:46","19","0","0","0","0","0"
"MQ","12/03/2023","3303","N303DD","AUS","16:19","16:14","224","262","-5","16:28","14","0","0","33","0","0"
"MQ","12/04/2022","4223","N269NN","AUS","17:35","17:31","240","239","-4","17:49","18","0","0","0","0","0"
"MQ","12/04/2023","3303","N260NN","AUS","16:19","16:15","224","228","-4","16:32","17","0","0","0","0","0"
"MQ","12/05/2022","4223","N285NN","AUS","17:35","17:54","240","217","19","18:11","17","0","0","0","0","0"
"MQ","12/06/2022","4223","N260NN","AUS","17:35","17:32","240","229","-3","17:50","18","0","0","0","0","0"
"MQ","12/07/2022","4223","N250NN","AUS","17:35","17:31","240","248","-4","17:53","22","0","0","0","0","0"
"MQ","12/07/2023","3303","N304KM","AUS","16:41","16:36","224","214","-5","16:50","14","0","0","0","0","0"
"MQ","12/08/2022","4223","N255NN","AUS","17:35","17:55","240","218","20","18:20","25","0","0","0","0","0"
"MQ","12/08/2023","3303","N298FR","AUS","16:56","16:51","224","213","-5","17:11","20","0","0","0","0","0"
"MQ","12/09/2022","4223","N256NN","AUS","17:35","19:58","240","210","143","20:15","17","8","0","0","0","105"
"MQ","12/10/2022","4223","N214NN","AUS","17:35","17:29","240","272","-6","17:49","20","0","0","26","0","0"
"MQ","12/10/2023","3303","N263NN","AUS","16:41","16:36","224","227","-5","16:48","12","0","0","0","0","0"
"MQ","12/11/2022","4223","N267NN","AUS","17:35","17:29","240","221","-6","17:50","21","0","0","0","0","0"
"MQ","12/11/2023","3303","N275NN","AUS","16:41","16:38","224","216","-3","16:50","12","0","0","0","0","0"
"MQ","12/12/2022","4223","N203NN","AUS","17:35","17:46","240","226","11","18:05","19","0","0","0","0","0"
"MQ","12/13/2022","4223","N267NN","AUS","17:35","17:33","240","224","-2","17:54","21","0","0","0","0","0"
"MQ","12/14/2022","4223","N230NN","AUS","17:35","17:30","240","250","-5","17:49","19","0","0","0","0","0"
"MQ","12/14/2023","3303","N310JZ","AUS","16:41","16:35","224","203","-6","16:53","18","0","0","0","0","0"
"MQ","12/15/2023","3303","N209NN","AUS","16:56","16:53","224","230","-3","17:07","14","0","0","0","0","0"
"MQ","12/17/2023","3303","N293NN","AUS","16:41","16:36","224","227","-5","17:09","33","0","0","0","0","0"
"MQ","12/18/2023","3303","N279MQ","AUS","16:41","16:33","224","223","-8","16:52","19","0","0","0","0","0"
"MQ","12/20/2023","3843","N261NN","AUS","16:40","16:30","226","193","-10","16:44","14","0","0","0","0","0"
"MQ","12/21/2023","3843","N285NN","AUS","16:40","16:33","226","230","-7","16:48","15","0","0","0","0","0"
"MQ","12/22/2023","3843","N233NN","AUS","16:40","16:34","226","202","-6","16:52","18","0","0","0","0","0"
"MQ","12/24/2023","3843","N210NN","AUS","16:40","16:35","226","206","-5","16:50","15","0","0","0","0","0"
"MQ","12/25/2023","3843","N247NN","AUS","16:40","16:39","226","225","-1","16:52","13","0","0","0","0","0"
"MQ","12/26/2023","3843","N305CL","AUS","16:40","16:39","226","244","-1","16:55","16","0","0","17","0","0"
"MQ","12/27/2023","3843","N290NN","AUS","16:40","16:36","226","236","-4","17:00","24","0","0","0","0","0"
"MQ","12/28/2023","3843","N243NN","AUS","16:40","16:36","226","217","-4","16:47","11","0","0","0","0","0"
"MQ","12/29/2023","3843","N230NN","AUS","16:40","16:36","226","209","-4","16:51","15","0","0","0","0","0"
"MQ","12/31/2023","3843","N236NN","AUS","16:40","16:31","226","260","-9","17:05","34","0","0","25","0","0"

 SOURCE: Bureau of Transportation Statistics
