Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/02/2021","1087","N232FR","MCO","11:16","11:20","145","140","4","11:35","15","0","0","0","0","0"
"F9","12/05/2021","1087","N326FR","MCO","21:14","21:14","150","150","0","21:28","14","0","0","0","0","0"
"F9","12/09/2021","1087","N305FR","MCO","11:11","11:06","145","129","-5","11:19","13","0","0","0","0","0"
"F9","12/12/2021","1087","N308FR","MCO","21:14","21:32","150","141","18","21:46","14","0","0","0","0","0"
"F9","12/16/2021","1087","N232FR","MCO","20:43","21:45","149","131","62","21:55","10","44","0","0","0","0"
"F9","12/19/2021","1087","N712FR","MCO","15:36","15:42","150","156","6","16:01","19","0","0","0","0","0"
"F9","12/21/2021","1087","N376FR","MCO","12:57","13:57","147","146","60","14:12","15","4","0","0","0","55"
"F9","12/23/2021","1087","N387FR","MCO","20:48","21:00","149","130","12","21:13","13","0","0","0","0","0"
"F9","12/26/2021","1087","","MCO","15:36","00:00","150","0","0","00:00","0","0","0","0","0","0"
"F9","12/28/2021","1087","N317FR","MCO","12:59","15:22","147","132","143","15:35","13","11","0","0","0","117"
"F9","12/30/2021","1087","","MCO","20:43","00:00","149","0","0","00:00","0","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
