Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5582","N590NN","CLT","18:15","18:07","99","86","-8","18:29","22","0","0","0","0","0"
"OH","12/01/2021","5706","N597NN","CLT","11:01","10:54","95","87","-7","11:12","18","0","0","0","0","0"
"OH","12/01/2022","5028","N581NN","CLT","15:35","15:26","95","79","-9","15:45","19","0","0","0","0","0"
"OH","12/01/2023","5256","N570NN","CLT","10:35","10:28","94","113","-7","11:01","33","0","0","0","0","0"
"OH","12/01/2023","5463","N568NN","CLT","05:00","04:53","94","87","-7","05:12","19","0","0","0","0","0"
"OH","12/01/2023","5543","N583NN","CLT","13:04","13:16","103","89","12","13:35","19","0","0","0","0","0"
"OH","12/01/2023","5582","N583NN","CLT","17:37","17:34","101","121","-3","18:27","53","0","0","17","0","0"
"OH","12/02/2021","5582","N573NN","CLT","18:15","18:07","99","88","-8","18:32","25","0","0","0","0","0"
"OH","12/02/2021","5706","N550NN","CLT","11:01","10:54","95","88","-7","11:26","32","0","0","0","0","0"
"OH","12/02/2022","5028","N601EN","CLT","15:35","15:31","95","77","-4","15:46","15","0","0","0","0","0"
"OH","12/02/2023","5256","N576NN","CLT","10:35","10:44","94","91","9","11:04","20","0","0","0","0","0"
