Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","1469","N8583Z","MDW","17:40","17:43","135","132","3","18:20","37","0","0","0","0","0"
"WN","12/01/2021","2952","N727SW","ATL","13:30","13:22","115","100","-8","13:32","10","0","0","0","0","0"
"WN","12/01/2021","3877","N7723E","MDW","12:10","12:05","125","115","-5","12:14","9","0","0","0","0","0"
"WN","12/01/2021","3984","N717SA","DEN","09:35","09:31","240","224","-4","09:40","9","0","0","0","0","0"
"WN","12/01/2021","4986","N295WN","MDW","06:30","06:28","120","104","-2","06:37","9","0","0","0","0","0"
"WN","12/01/2021","5987","N8667D","DEN","16:35","17:07","235","219","32","17:16","9","3","0","0","0","13"
"WN","12/01/2022","1124","N8802Q","ATL","05:40","05:54","110","99","14","06:05","11","0","0","0","0","0"
"WN","12/01/2022","1223","N8561Z","MDW","06:30","06:29","115","110","-1","06:38","9","0","0","0","0","0"
"WN","12/01/2022","1244","N281WN","MDW","18:10","18:04","125","113","-6","18:18","14","0","0","0","0","0"
"WN","12/01/2022","1504","N8319F","MDW","12:05","11:55","115","104","-10","12:04","9","0","0","0","0","0"
"WN","12/01/2022","2790","N8769Q","DEN","19:25","19:22","240","225","-3","19:38","16","0","0","0","0","0"
"WN","12/01/2022","2856","N455WN","DEN","13:10","13:07","240","227","-3","13:23","16","0","0","0","0","0"
"WN","12/01/2023","0623","N923WN","DEN","18:20","18:18","240","250","-2","18:39","21","0","0","0","0","0"
"WN","12/01/2023","0785","N456WN","ATL","17:00","17:06","110","113","6","17:16","10","0","0","0","0","0"
"WN","12/01/2023","1009","N254WN","MDW","08:00","07:58","115","114","-2","08:09","11","0","0","0","0","0"
"WN","12/01/2023","1559","N8862Q","DEN","12:05","12:09","240","235","4","12:20","11","0","0","0","0","0"
"WN","12/01/2023","3766","N956WN","MDW","19:20","19:25","120","108","5","19:34","9","0","0","0","0","0"
"WN","12/02/2021","1469","N8639B","MDW","17:40","17:36","135","130","-4","17:57","21","0","0","0","0","0"
"WN","12/02/2021","2952","N464WN","ATL","13:30","14:34","115","95","64","14:43","9","0","0","0","0","44"
"WN","12/02/2021","3877","N961WN","MDW","12:10","12:04","125","114","-6","12:14","10","0","0","0","0","0"
"WN","12/02/2021","3984","N413WN","DEN","09:35","09:33","240","231","-2","09:47","14","0","0","0","0","0"
"WN","12/02/2021","4986","N489WN","MDW","06:30","06:29","120","115","-1","06:37","8","0","0","0","0","0"
"WN","12/02/2021","5987","N8533S","DEN","16:35","16:44","235","221","9","16:54","10","0","0","0","0","0"
"WN","12/02/2022","1124","N8540V","ATL","05:40","05:44","110","95","4","05:53","9","0","0","0","0","0"
"WN","12/02/2022","1223","N8605E","MDW","06:30","06:26","115","105","-4","06:37","11","0","0","0","0","0"
"WN","12/02/2022","1244","N494WN","MDW","18:10","18:07","125","112","-3","18:19","12","0","0","0","0","0"
"WN","12/02/2022","1504","N8632A","MDW","12:05","11:57","115","105","-8","12:05","8","0","0","0","0","0"
"WN","12/02/2022","2790","N8535S","DEN","19:25","19:16","240","248","-9","19:26","10","0","0","0","0","0"
"WN","12/02/2022","2856","N7818L","DEN","13:10","13:09","240","249","-1","13:22","13","0","0","0","0","0"
"WN","12/02/2023","0791","N405WN","MDW","07:05","07:02","120","116","-3","07:12","10","0","0","0","0","0"
"WN","12/02/2023","1559","N8618N","DEN","16:45","16:48","240","230","3","16:57","9","0","0","0","0","0"
"WN","12/02/2023","1755","N8314L","ATL","13:20","13:12","105","106","-8","13:21","9","0","0","0","0","0"
"WN","12/03/2021","1469","N8567Z","MDW","17:40","17:34","135","138","-6","17:53","19","0","0","0","0","0"
"WN","12/03/2021","2952","N7813P","ATL","13:30","13:22","115","94","-8","13:30","8","0","0","0","0","0"
"WN","12/03/2021","3877","N412WN","MDW","12:10","12:08","125","108","-2","12:18","10","0","0","0","0","0"
"WN","12/03/2021","3984","N930WN","DEN","09:35","09:35","240","219","0","09:43","8","0","0","0","0","0"
"WN","12/03/2021","4986","N7743B","MDW","06:30","06:28","120","111","-2","06:38","10","0","0","0","0","0"
"WN","12/03/2021","5987","N8803L","DEN","16:35","17:12","235","219","37","17:22","10","1","0","0","0","20"
"WN","12/03/2022","0130","N411WN","MDW","19:10","19:33","115","134","23","19:43","10","0","0","19","0","23"
"WN","12/03/2022","0456","N421LV","DEN","15:20","15:14","240","270","-6","15:29","15","0","0","24","0","0"
"WN","12/03/2022","1228","N8503A","ATL","05:40","05:39","105","97","-1","05:48","9","0","0","0","0","0"
"WN","12/03/2022","1504","N8551Q","MDW","05:00","05:00","120","116","0","05:08","8","0","0","0","0","0"
"WN","12/03/2022","2856","N8667D","DEN","10:25","10:20","235","264","-5","10:31","11","0","0","24","0","0"
"WN","12/03/2023","0623","N226WN","DEN","18:20","18:30","240","239","10","18:58","28","0","0","0","0","0"
"WN","12/03/2023","0785","N255WN","ATL","17:00","16:54","110","110","-6","17:02","8","0","0","0","0","0"
"WN","12/03/2023","1009","N238WN","MDW","08:00","07:56","115","117","-4","08:06","10","0","0","0","0","0"
"WN","12/03/2023","1559","N496WN","DEN","12:05","12:01","240","235","-4","12:15","14","0","0","0","0","0"
"WN","12/03/2023","3766","N570WN","MDW","19:20","19:43","120","122","23","19:54","11","3","0","2","0","20"
"WN","12/04/2021","0579","N8692F","MDW","16:40","17:10","120","109","30","17:20","10","19","0","0","0","0"
