Detailed Statistics Departures  
Origin Airport: Watertown, SD: Watertown Regional (ATY)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5019","N914EV","ORD","05:45","05:43","106","112","-2","06:04","21","0","0","0","0","0"
"OO","12/01/2021","5168","N906EV","DEN","14:40","14:31","112","108","-9","14:52","21","0","0","0","0","0"
"OO","12/02/2021","5168","N971SW","DEN","14:40","14:30","112","98","-10","14:38","8","0","0","0","0","0"
"OO","12/03/2021","5168","N912SW","DEN","14:40","14:37","112","103","-3","14:49","12","0","0","0","0","0"
"OO","12/04/2021","5158","N863AS","DEN","14:40","14:28","112","125","-12","15:04","36","0","0","0","0","0"
"OO","12/05/2021","5158","N431SW","DEN","14:40","14:29","112","130","-11","14:58","29","0","0","0","0","0"
"OO","12/06/2021","5158","N973SW","DEN","14:40","14:37","112","106","-3","14:50","13","0","0","0","0","0"
"OO","12/07/2021","5158","N889AS","DEN","14:40","14:33","112","99","-7","14:46","13","0","0","0","0","0"
"OO","12/08/2021","5158","N955SW","DEN","14:40","14:34","112","102","-6","14:42","8","0","0","0","0","0"
"OO","12/09/2021","5158","N876AS","DEN","14:40","14:30","112","118","-10","14:45","15","0","0","0","0","0"
"OO","12/10/2021","5158","N431SW","DEN","14:40","15:29","112","139","49","16:10","41","76","0","0","0","0"
"OO","12/11/2021","5158","N432SW","DEN","14:40","14:38","112","98","-2","14:52","14","0","0","0","0","0"
"OO","12/12/2021","5158","N903SW","DEN","14:40","14:39","112","103","-1","14:46","7","0","0","0","0","0"
"OO","12/13/2021","5158","N593ML","DEN","14:40","14:30","112","102","-10","14:39","9","0","0","0","0","0"
"OO","12/14/2021","5158","N933EV","DEN","14:40","14:30","112","110","-10","14:36","6","0","0","0","0","0"
"OO","12/15/2021","5158","N924SW","DEN","14:40","00:00","112","0","0","00:00","0","0","0","0","0","0"
"OO","12/16/2021","5158","N957SW","DEN","16:43","16:42","119","123","-1","17:02","20","0","0","0","0","0"
"OO","12/17/2021","5158","N709BR","DEN","16:45","18:00","119","112","75","18:16","16","0","0","0","0","68"
"OO","12/18/2021","5082","N915EV","ORD","18:12","18:02","120","97","-10","18:15","13","0","0","0","0","0"
"OO","12/19/2021","5158","N913EV","DEN","16:43","16:36","119","110","-7","16:49","13","0","0","0","0","0"
"OO","12/20/2021","5158","N920SW","DEN","16:43","16:51","119","111","8","17:04","13","0","0","0","0","0"
"OO","12/21/2021","5082","N919SW","ORD","18:12","18:07","120","95","-5","18:17","10","0","0","0","0","0"
"OO","12/22/2021","5158","N912SW","DEN","16:43","16:31","119","127","-12","16:40","9","0","0","0","0","0"
"OO","12/23/2021","5158","N454SW","DEN","16:43","16:33","119","111","-10","16:44","11","0","0","0","0","0"
"OO","12/24/2021","5158","N954SW","DEN","16:45","16:41","119","108","-4","16:48","7","0","0","0","0","0"
"OO","12/25/2021","5082","N969SW","ORD","18:12","18:04","120","101","-8","18:13","9","0","0","0","0","0"
"OO","12/26/2021","5158","N435SW","DEN","16:43","18:14","119","158","91","18:47","33","130","0","0","0","0"
"OO","12/27/2021","5158","N905EV","DEN","16:43","00:00","119","0","0","00:00","0","0","0","0","0","0"
"OO","12/28/2021","5082","N457SW","ORD","18:12","17:57","120","100","-15","18:09","12","0","0","0","0","0"
"OO","12/29/2021","5158","N914EV","DEN","16:43","16:36","119","124","-7","16:46","10","0","0","0","0","0"
"OO","12/30/2021","5158","N221PS","DEN","16:43","16:35","119","142","-8","16:58","23","15","0","0","0","0"
"OO","12/31/2021","5158","N431SW","DEN","16:45","00:00","119","0","0","00:00","0","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
