Detailed Statistics Departures  
Origin Airport: Wenatchee, WA: Pangborn Memorial (EAT)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2169","N444QX","SEA","13:42","13:41","53","45","-1","13:47","6","0","0","0","0","0"
"QX","12/01/2021","2488","N451QX","SEA","06:00","05:56","53","48","-4","06:03","7","0","0","0","0","0"
"QX","12/01/2022","2155","N405QX","SEA","13:03","12:58","50","54","-5","13:09","11","0","0","0","0","0"
"QX","12/01/2023","2228","N623QX","SEA","13:57","13:52","54","52","-5","14:07","15","0","0","0","0","0"
"QX","12/01/2023","2249","N653QX","SEA","05:15","05:11","54","46","-4","05:23","12","0","0","0","0","0"
"QX","12/02/2021","2169","N422QX","SEA","13:42","14:00","53","60","18","14:18","18","18","0","7","0","0"
"QX","12/02/2021","2488","N404QX","SEA","06:00","05:55","53","51","-5","06:00","5","0","0","0","0","0"
"QX","12/02/2022","2155","N405QX","SEA","13:03","13:21","50","46","18","13:24","3","0","0","0","0","0"
"QX","12/02/2023","2228","N643QX","SEA","13:57","14:55","54","41","58","15:04","9","0","0","0","0","45"
"QX","12/02/2023","2249","N624QX","SEA","05:15","05:12","54","79","-3","05:53","41","0","0","22","0","0"
"QX","12/03/2021","2169","N448QX","SEA","13:42","13:42","53","50","0","13:50","8","0","0","0","0","0"
"QX","12/03/2021","2488","N432QX","SEA","06:00","05:50","53","45","-10","05:57","7","0","0","0","0","0"
"QX","12/03/2022","2155","N453QX","SEA","13:03","13:02","50","41","-1","13:07","5","0","0","0","0","0"
"QX","12/03/2023","2228","N624QX","SEA","13:57","16:11","54","49","134","16:23","12","0","0","0","0","129"
"QX","12/03/2023","2249","N657QX","SEA","05:15","05:23","54","47","8","05:36","13","0","0","0","0","0"
"QX","12/04/2021","2169","N451QX","SEA","13:42","13:58","53","41","16","14:02","4","0","0","0","0","0"
"QX","12/04/2021","2488","N434MK","SEA","06:00","09:30","53","51","210","09:40","10","208","0","0","0","0"
"QX","12/04/2022","2155","N405QX","SEA","13:03","13:02","50","82","-1","13:40","38","0","0","31","0","0"
"QX","12/04/2023","2228","N659QX","SEA","13:57","13:56","54","51","-1","14:11","15","0","0","0","0","0"
"QX","12/04/2023","2249","N642QX","SEA","05:15","00:00","54","0","0","00:00","0","0","0","0","0","0"
"QX","12/05/2021","2169","N438QX","SEA","13:42","13:40","53","39","-2","13:45","5","0","0","0","0","0"
"QX","12/05/2021","2488","N451QX","SEA","06:00","05:57","53","44","-3","06:02","5","0","0","0","0","0"
"QX","12/05/2022","2155","N405QX","SEA","13:03","13:33","50","45","30","13:44","11","0","25","0","0","0"
"QX","12/05/2023","2228","N659QX","SEA","13:57","13:59","54","51","2","14:16","17","0","0","0","0","0"
"QX","12/05/2023","2249","N642QX","SEA","05:15","05:19","54","70","4","05:52","33","0","0","20","0","0"
"QX","12/06/2021","2169","N405QX","SEA","13:42","14:46","53","46","64","14:51","5","0","0","0","0","57"
"QX","12/06/2021","2488","N450QX","SEA","06:00","06:00","53","42","0","06:07","7","0","0","0","0","0"
"QX","12/06/2022","2155","N451QX","SEA","13:03","13:17","50","45","14","13:22","5","0","0","0","0","0"
"QX","12/06/2023","2228","N634QX","SEA","13:57","13:52","54","54","-5","14:09","17","0","0","0","0","0"
"QX","12/06/2023","2249","N635QX","SEA","05:15","05:05","54","41","-10","05:17","12","0","0","0","0","0"
"QX","12/07/2021","2169","N422QX","SEA","13:42","13:54","53","41","12","14:00","6","0","0","0","0","0"
"QX","12/07/2021","2488","N453QX","SEA","06:00","05:53","53","43","-7","05:58","5","0","0","0","0","0"
"QX","12/07/2022","2155","N443QX","SEA","13:03","13:20","50","55","17","13:34","14","0","17","5","0","0"
