Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0237","257NV","AVL","16:33","16:30","109","108","-3","16:40","10","0","0","0","0","0"
"G4","12/01/2022","0413","190NV","CVG","17:51","17:54","152","155","3","18:09","15","0","0","0","0","0"
"G4","12/01/2023","1147","293NV","PIT","11:56","13:00","152","152","64","13:13","13","6","0","0","0","58"
"G4","12/01/2023","3045","259NV","TYS","18:30","18:42","116","113","12","18:54","12","0","0","0","0","0"
"G4","12/02/2021","0449","338NV","AVL","09:09","09:00","109","107","-9","09:11","11","0","0","0","0","0"
"G4","12/02/2021","0742","206NV","CVG","10:13","10:20","145","150","7","10:31","11","0","0","0","0","0"
"G4","12/02/2021","1153","282NV","IND","15:22","15:06","156","157","-16","15:17","11","0","0","0","0","0"
"G4","12/02/2022","1148","253NV","PIT","16:56","16:56","152","159","0","17:15","19","0","0","0","0","0"
"G4","12/02/2022","3023","204NV","TYS","20:19","20:04","117","117","-15","20:16","12","0","0","0","0","0"
"G4","12/03/2021","2117","326NV","PIT","20:24","20:16","147","142","-8","20:24","8","0","0","0","0","0"
"G4","12/03/2023","0229","190NV","AVL","13:48","13:36","112","101","-12","13:51","15","0","0","0","0","0"
"G4","12/03/2023","0388","326NV","CVG","18:28","18:33","152","150","5","19:00","27","0","0","0","0","0"
"G4","12/04/2022","0237","261NV","AVL","16:33","16:26","109","110","-7","16:42","16","0","0","0","0","0"
"G4","12/04/2022","0413","190NV","CVG","17:51","17:51","152","161","0","18:00","9","0","0","0","0","0"
"G4","12/04/2023","1126","251NV","PIT","11:56","11:54","152","140","-2","12:07","13","0","0","0","0","0"
"G4","12/04/2023","3028","207NV","TYS","16:15","16:04","117","120","-11","16:23","19","0","0","0","0","0"
"G4","12/05/2021","0449","338NV","AVL","09:04","09:28","109","106","24","09:39","11","0","0","21","0","0"
"G4","12/05/2021","0742","258NV","CVG","10:13","10:36","145","143","23","10:52","16","0","0","21","0","0"
"G4","12/05/2021","1153","242NV","IND","15:22","15:21","156","174","-1","15:52","31","0","0","17","0","0"
"G4","12/05/2022","1122","253NV","PIT","16:56","16:58","152","159","2","17:07","9","0","0","0","0","0"
"G4","12/05/2022","3023","203NV","TYS","20:19","20:04","117","107","-15","20:13","9","0","0","0","0","0"
"G4","12/06/2021","2117","334NV","PIT","20:24","20:13","147","145","-11","20:23","10","0","0","0","0","0"
"G4","12/07/2023","0253","206NV","AVL","16:44","16:26","112","123","-18","16:38","12","0","0","0","0","0"
"G4","12/07/2023","0388","245NV","CVG","19:02","18:54","157","153","-8","19:10","16","0","0","0","0","0"
"G4","12/08/2022","0237","261NV","AVL","16:35","16:35","110","109","0","16:46","11","0","0","0","0","0"
"G4","12/08/2022","0384","190NV","CVG","17:59","17:55","151","149","-4","18:09","14","0","0","0","0","0"
"G4","12/08/2023","1104","251NV","PIT","13:30","13:20","156","155","-10","13:44","24","0","0","0","0","0"
"G4","12/08/2023","3042","233NV","TYS","09:24","09:22","114","112","-2","09:34","12","0","0","0","0","0"
"G4","12/09/2021","0449","320NV","AVL","20:58","01:38","109","119","280","01:52","14","0","0","10","6","274"
"G4","12/09/2021","0479","224NV","MSP","09:04","08:53","225","238","-11","09:05","12","0","0","0","0","0"
"G4","12/09/2021","0742","206NV","CVG","10:13","10:25","145","154","12","10:43","18","0","0","9","0","12"
"G4","12/09/2021","1153","242NV","IND","15:22","15:28","156","163","6","15:40","12","0","0","0","0","0"
"G4","12/09/2022","1122","253NV","PIT","16:59","16:58","150","148","-1","17:08","10","0","0","0","0","0"
"G4","12/09/2022","3023","204NV","TYS","20:21","20:17","119","0","-4","20:28","11","0","0","0","0","0"
"G4","12/10/2021","2117","334NV","PIT","20:24","20:20","147","140","-4","20:28","8","0","0","0","0","0"
"G4","12/10/2021","6585","295NV","PGD","12:00","11:58","45","67","-2","12:26","28","0","0","20","0","0"
"G4","12/10/2021","6792","279NV","PGD","12:30","12:28","45","53","-2","12:41","13","0","0","0","0","0"
"G4","12/10/2023","0245","191NV","AVL","16:44","18:07","112","109","83","18:29","22","0","0","3","0","77"
"G4","12/10/2023","0388","245NV","CVG","19:02","20:07","157","132","65","20:17","10","0","0","40","0","0"
"G4","12/11/2022","0237","261NV","AVL","16:35","16:27","110","119","-8","16:53","26","0","0","0","0","0"
"G4","12/11/2022","0413","245NV","CVG","17:59","17:49","151","147","-10","18:00","11","0","0","0","0","0"
"G4","12/11/2023","1126","251NV","PIT","13:30","13:18","156","143","-12","13:31","13","0","0","0","0","0"
"G4","12/11/2023","3020","207NV","TYS","09:24","09:17","114","115","-7","09:31","14","0","0","0","0","0"
"G4","12/12/2021","0449","320NV","AVL","20:58","20:40","109","101","-18","20:50","10","0","0","0","0","0"
"G4","12/12/2021","0479","224NV","MSP","09:04","08:53","225","225","-11","09:06","13","0","0","0","0","0"
"G4","12/12/2021","0742","313NV","CVG","10:13","10:13","145","151","0","10:29","16","0","0","0","0","0"
"G4","12/12/2021","1153","242NV","IND","15:22","15:22","156","158","0","15:36","14","0","0","0","0","0"
"G4","12/12/2022","1122","253NV","PIT","16:59","17:09","150","152","10","17:21","12","0","0","0","0","0"
"G4","12/12/2022","3023","204NV","TYS","20:21","20:12","119","112","-9","20:25","13","0","0","0","0","0"
"G4","12/13/2021","2117","326NV","PIT","20:24","20:05","147","143","-19","20:16","11","0","0","0","0","0"
"G4","12/14/2023","0253","191NV","AVL","16:44","17:30","112","112","46","17:46","16","46","0","0","0","0"
"G4","12/14/2023","0388","245NV","CVG","19:02","18:57","157","150","-5","19:14","17","0","0","0","0","0"
"G4","12/15/2023","1104","251NV","PIT","13:30","13:27","156","160","-3","13:49","22","0","0","0","0","0"
"G4","12/15/2023","3042","207NV","TYS","09:24","10:35","114","116","71","10:49","14","71","0","2","0","0"
"G4","12/16/2021","0432","311NV","AVL","19:10","19:09","105","109","-1","19:29","20","0","0","0","0","0"
"G4","12/16/2021","0509","320NV","MSP","16:06","16:06","225","234","0","16:24","18","0","0","0","0","0"
"G4","12/16/2021","0781","206NV","CVG","11:11","11:05","144","144","-6","11:18","13","0","0","0","0","0"
"G4","12/16/2021","1116","242NV","IND","17:06","17:11","156","156","5","17:26","15","0","0","0","0","0"
"G4","12/16/2022","0221","257NV","MSP","15:27","15:54","230","217","27","16:08","14","0","0","0","0","0"
"G4","12/16/2022","0237","322NV","AVL","19:53","20:27","110","106","34","20:40","13","4","0","0","0","26"
"G4","12/16/2022","0371","295NV","CVG","11:15","11:05","151","144","-10","11:17","12","0","0","0","0","0"
"G4","12/17/2021","2104","326NV","PIT","09:17","09:17","147","144","0","09:28","11","0","0","0","0","0"
"G4","12/17/2021","2819","291NV","AUS","19:02","22:58","173","161","236","23:09","11","201","0","0","0","23"
"G4","12/17/2022","1126","326NV","PIT","10:47","11:22","150","134","35","11:31","9","0","0","0","0","19"
"G4","12/17/2022","1434","204NV","TYS","18:37","18:35","119","111","-2","18:48","13","0","0","0","0","0"
"G4","12/17/2023","0245","191NV","AVL","16:44","16:33","112","105","-11","16:50","17","0","0","0","0","0"
"G4","12/17/2023","0388","245NV","CVG","19:02","19:09","157","138","7","19:25","16","0","0","0","0","0"
"G4","12/18/2023","1126","293NV","PIT","13:30","13:28","156","146","-2","13:45","17","0","0","0","0","0"
"G4","12/18/2023","3020","256NV","TYS","09:24","09:19","114","109","-5","09:29","10","0","0","0","0","0"
"G4","12/19/2021","0417","218NV","MSP","15:01","15:32","225","238","31","16:00","28","19","0","13","0","12"
"G4","12/19/2021","0432","311NV","AVL","19:10","21:37","105","104","147","21:47","10","119","0","0","0","27"
"G4","12/19/2021","0781","258NV","CVG","10:11","10:11","144","139","0","10:30","19","0","0","0","0","0"
"G4","12/19/2021","1086","242NV","IND","17:06","00:00","156","0","0","00:00","0","0","0","0","0","0"
"G4","12/19/2022","0237","325NV","AVL","19:53","20:44","110","107","51","20:54","10","0","0","0","0","48"
"G4","12/19/2022","0364","331NV","CVG","10:45","10:33","151","167","-12","10:58","25","0","0","0","0","0"
"G4","12/19/2022","1847","261NV","MSP","15:27","15:31","230","230","4","15:39","8","0","0","0","0","0"
"G4","12/20/2021","2056","334NV","PIT","09:17","10:02","147","149","45","10:16","14","22","0","2","0","23"
"G4","12/20/2021","2784","254NV","AUS","10:21","10:20","173","191","-1","10:40","20","0","0","17","0","0"
"G4","12/20/2022","2743","301NV","PIT","12:49","13:18","150","149","29","13:31","13","18","0","0","0","10"
"G4","12/20/2022","3052","204NV","TYS","18:34","18:24","119","109","-10","18:37","13","0","0","0","0","0"
"G4","12/21/2023","0231","190NV","AVL","14:56","15:05","112","112","9","15:19","14","0","0","0","0","0"
"G4","12/21/2023","0388","338NV","CVG","20:46","20:50","157","149","4","21:05","15","0","0","0","0","0"
"G4","12/22/2021","0491","218NV","AVL","20:30","20:53","107","107","23","21:09","16","0","0","0","0","23"
"G4","12/22/2021","0509","338NV","MSP","16:31","16:38","225","219","7","16:50","12","0","0","0","0","0"
"G4","12/22/2022","0237","322NV","AVL","20:33","21:00","110","110","27","21:12","12","4","0","0","0","23"
"G4","12/22/2022","0264","257NV","MSP","16:52","18:24","230","216","92","18:34","10","0","0","0","0","78"
"G4","12/22/2022","0413","295NV","CVG","09:45","09:48","151","145","3","10:03","15","0","0","0","0","0"
"G4","12/22/2023","1104","293NV","PIT","13:30","13:28","156","156","-2","13:49","21","0","0","0","0","0"
"G4","12/22/2023","3047","233NV","TYS","17:45","18:14","114","131","29","18:40","26","0","0","46","0","0"
"G4","12/23/2021","0781","255NV","CVG","10:41","11:46","144","177","65","12:26","40","0","0","33","0","65"
"G4","12/23/2021","1144","207NV","IND","17:46","18:04","156","168","18","18:19","15","13","0","12","0","5"
"G4","12/23/2022","1102","","PIT","17:07","00:00","150","0","0","00:00","0","0","0","0","0","0"
"G4","12/23/2022","1434","203NV","TYS","16:07","16:50","119","111","43","17:04","14","25","0","0","0","10"
"G4","12/23/2023","0388","338NV","CVG","11:50","11:31","157","163","-19","11:52","21","0","0","0","0","0"
"G4","12/23/2023","1875","206NV","AVL","09:15","09:28","112","107","13","09:43","15","0","0","0","0","0"
"G4","12/24/2021","2104","326NV","PIT","09:17","09:13","147","159","-4","09:37","24","0","0","0","0","0"
"G4","12/24/2021","2784","","AUS","11:51","00:00","173","0","0","00:00","0","0","0","0","0","0"
"G4","12/24/2022","0269","261NV","AVL","16:20","17:35","110","104","75","17:48","13","26","0","0","0","43"
"G4","12/26/2021","0417","","MSP","14:46","00:00","225","0","0","00:00","0","0","0","0","0","0"
"G4","12/26/2021","0432","338NV","AVL","19:10","19:02","105","110","-8","19:25","23","0","0","0","0","0"
"G4","12/26/2021","0784","285NV","CVG","09:41","09:31","144","149","-10","09:43","12","0","0","0","0","0"
"G4","12/26/2021","1086","242NV","IND","17:06","17:10","156","168","4","17:42","32","0","0","12","0","4"
"G4","12/26/2022","0237","325NV","AVL","20:33","20:49","110","99","16","21:03","14","0","0","0","0","0"
"G4","12/26/2022","0412","248NV","CVG","10:00","10:29","151","148","29","10:44","15","2","0","0","0","24"
"G4","12/26/2022","1893","257NV","MSP","16:52","17:30","230","214","38","17:44","14","0","7","0","0","15"
"G4","12/26/2023","1145","293NV","PIT","12:30","14:50","156","161","140","15:19","29","19","0","5","0","121"
"G4","12/26/2023","3023","207NV","TYS","15:31","16:58","114","108","87","17:11","13","0","0","0","0","81"
"G4","12/27/2021","2056","334NV","PIT","09:17","09:27","147","158","10","09:43","16","10","0","11","0","0"
"G4","12/27/2021","2784","252NV","AUS","10:21","10:17","173","167","-4","10:38","21","0","0","0","0","0"
"G4","12/27/2022","2760","255NV","PIT","17:34","19:30","150","164","116","19:47","17","25","0","14","0","91"
"G4","12/27/2022","3024","203NV","TYS","08:39","09:43","119","110","64","09:56","13","29","0","0","0","26"
"G4","12/27/2023","0412","217NV","CVG","09:50","09:57","157","142","7","10:17","20","0","0","0","0","0"
"G4","12/27/2023","1850","206NV","AVL","14:51","20:41","112","109","350","21:06","25","0","0","1","0","346"
"G4","12/29/2021","0491","218NV","AVL","20:35","20:48","107","104","13","21:02","14","0","0","0","0","0"
"G4","12/29/2021","0509","320NV","MSP","17:06","17:06","224","216","0","17:21","15","0","0","0","0","0"
"G4","12/29/2022","0237","327NV","AVL","20:33","22:12","110","98","99","22:22","10","0","0","0","0","87"
"G4","12/29/2022","0264","257NV","MSP","16:52","17:47","230","198","55","17:58","11","0","0","0","0","23"
"G4","12/29/2022","0413","237NV","CVG","09:45","10:16","151","136","31","10:30","14","0","0","0","0","16"
"G4","12/29/2023","1104","292NV","PIT","13:30","14:48","156","142","78","15:06","18","0","0","18","0","46"
"G4","12/29/2023","1417","204NV","TYS","15:15","15:55","114","114","40","16:15","20","8","0","0","0","32"
"G4","12/30/2021","0781","","CVG","10:41","00:00","142","0","0","00:00","0","0","0","0","0","0"
"G4","12/30/2021","1144","242NV","IND","17:48","18:22","156","151","34","18:34","12","10","0","0","0","19"
"G4","12/30/2022","1102","255NV","PIT","17:07","17:17","150","145","10","17:33","16","0","0","0","0","0"
"G4","12/30/2022","1434","290NV","TYS","16:07","16:18","119","112","11","16:32","14","0","0","0","0","0"
"G4","12/30/2023","0388","321NV","CVG","11:50","11:43","157","143","-7","11:58","15","0","0","0","0","0"
"G4","12/30/2023","1889","206NV","AVL","16:11","16:10","112","112","-1","16:33","23","0","0","0","0","0"
"G4","12/31/2021","2123","","PIT","20:41","00:00","147","0","0","00:00","0","0","0","0","0","0"
"G4","12/31/2021","2784","291NV","AUS","11:51","12:19","173","182","28","12:44","25","28","0","9","0","0"
"G4","12/31/2022","0269","327NV","AVL","16:20","16:19","110","102","-1","16:28","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
