Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0392","N981NN","ORD","14:02","13:58","197","191","-4","14:10","12","0","0","0","0","0"
"AA","12/01/2021","0449","N977NN","CLT","13:43","13:37","122","122","-6","13:57","20","0","0","0","0","0"
"AA","12/01/2021","0966","N756US","DCA","16:58","16:58","137","135","0","17:09","11","0","0","0","0","0"
"AA","12/01/2021","1021","N930NN","ORD","07:00","06:51","199","181","-9","07:00","9","0","0","0","0","0"
"AA","12/01/2021","1220","N587UW","DFW","07:25","07:26","201","190","1","07:40","14","0","0","0","0","0"
"AA","12/01/2021","1804","N752US","DCA","11:39","11:32","140","133","-7","11:41","9","0","0","0","0","0"
"AA","12/01/2021","1833","N866NN","CLT","17:44","17:50","121","110","6","18:01","11","0","0","0","0","0"
"AA","12/01/2021","1837","N170US","PHL","13:03","12:55","158","145","-8","13:03","8","0","0","0","0","0"
"AA","12/01/2021","1844","N961NN","DFW","15:51","15:55","199","200","4","16:30","35","0","0","0","0","0"
"AA","12/01/2021","1845","N563UW","CLT","11:57","11:57","123","112","0","12:08","11","0","0","0","0","0"
"AA","12/01/2021","2489","N930AU","PHL","16:26","16:24","157","159","-2","16:47","23","0","0","0","0","0"
"AA","12/01/2021","2495","N978UY","CLT","19:07","18:58","123","109","-9","19:07","9","0","0","0","0","0"
"AA","12/01/2021","2640","N986NN","DFW","19:22","19:15","202","187","-7","19:25","10","0","0","0","0","0"
"AA","12/01/2021","2642","N105UW","PHL","06:00","05:53","156","165","-7","06:13","20","0","0","0","0","0"
"AA","12/01/2021","2848","N667AW","CLT","06:20","06:18","122","113","-2","06:33","15","0","0","0","0","0"
"AA","12/01/2022","0344","N774XF","DCA","09:54","09:49","140","141","-5","10:06","17","0","0","0","0","0"
"AA","12/01/2022","0794","N183UW","CLT","19:30","19:22","116","106","-8","19:31","9","0","0","0","0","0"
"AA","12/01/2022","1220","N967AN","DFW","07:00","06:55","194","196","-5","07:06","11","0","0","0","0","0"
"AA","12/01/2022","1724","N162UW","CLT","11:45","11:40","116","121","-5","11:57","17","0","0","0","0","0"
"AA","12/01/2022","1841","N656AW","CLT","14:55","14:48","116","127","-7","15:07","19","0","0","0","0","0"
"AA","12/01/2022","1844","N966NN","DFW","17:22","17:34","198","192","12","17:44","10","0","0","0","0","0"
"AA","12/01/2022","2296","N653AW","CLT","10:10","10:02","116","112","-8","10:15","13","0","0","0","0","0"
"AA","12/01/2022","2489","N199UW","PHL","17:19","17:27","156","149","8","17:36","9","0","0","0","0","0"
"AA","12/01/2022","2642","N651AW","PHL","12:15","12:24","155","154","9","12:35","11","0","0","0","0","0"
"AA","12/01/2022","2848","N886NN","CLT","06:00","05:52","116","106","-8","06:03","11","0","0","0","0","0"
"AA","12/01/2022","2892","N904NN","ORD","14:50","14:43","199","193","-7","14:59","16","0","0","0","0","0"
"AA","12/01/2022","2921","N812NN","DCA","19:01","18:48","143","135","-13","18:59","11","0","0","0","0","0"
"AA","12/01/2022","2977","N992AU","PHL","06:45","06:37","153","156","-8","06:50","13","0","0","0","0","0"
"AA","12/01/2023","1216","N187US","CLT","16:34","19:50","116","113","196","20:02","12","14","0","0","0","179"
"AA","12/01/2023","1220","N922AN","DFW","07:10","07:03","196","188","-7","07:15","12","0","0","0","0","0"
"AA","12/01/2023","1394","N831AW","DCA","11:38","11:36","141","143","-2","11:46","10","0","0","0","0","0"
"AA","12/01/2023","1398","N969AN","ORD","17:00","16:56","198","204","-4","17:05","9","0","0","0","0","0"
"AA","12/01/2023","1831","N928AN","ORD","13:35","13:44","198","187","9","14:00","16","0","0","0","0","0"
"AA","12/01/2023","1841","N542UW","CLT","13:49","13:55","116","124","6","14:10","15","0","0","0","0","0"
"AA","12/01/2023","1844","N315PE","DFW","15:40","15:38","199","189","-2","15:51","13","0","0","0","0","0"
"AA","12/01/2023","1845","N184US","CLT","11:55","12:00","116","125","5","12:17","17","0","0","0","0","0"
"AA","12/01/2023","1853","N163US","CLT","10:15","10:27","116","111","12","10:40","13","0","0","0","0","0"
"AA","12/01/2023","2297","N803AW","DCA","18:49","18:45","141","155","-4","18:57","12","0","0","0","0","0"
"AA","12/01/2023","2489","N174US","PHL","17:26","17:23","153","145","-3","17:35","12","0","0","0","0","0"
"AA","12/01/2023","2640","N907AN","DFW","19:12","19:04","199","194","-8","19:18","14","0","0","0","0","0"
"AA","12/01/2023","2642","N70020","PHL","12:05","06:19","154","143","1094","06:35","16","1033","0","0","0","50"
"AA","12/01/2023","2848","N171US","CLT","06:00","05:51","116","118","-9","06:02","11","0","0","0","0","0"
"AA","12/01/2023","2944","N838AW","PHL","07:02","06:52","153","144","-10","07:04","12","0","0","0","0","0"
"AA","12/01/2023","2967","N464AA","CLT","08:00","07:52","116","126","-8","08:04","12","0","0","0","0","0"
"AA","12/02/2021","0392","N819NN","ORD","14:02","13:52","197","182","-10","14:01","9","0","0","0","0","0"
"AA","12/02/2021","0449","N301NW","CLT","13:43","13:44","122","115","1","13:58","14","0","0","0","0","0"
"AA","12/02/2021","0966","N701UW","DCA","16:58","16:47","137","145","-11","16:55","8","0","0","0","0","0"
"AA","12/02/2021","1021","N816NN","ORD","07:00","06:53","199","207","-7","07:07","14","0","0","0","0","0"
"AA","12/02/2021","1220","N868NN","DFW","07:30","07:24","199","194","-6","07:39","15","0","0","0","0","0"
"AA","12/02/2021","1796","N354PT","ORD","11:58","11:45","196","187","-13","11:55","10","0","0","0","0","0"
"AA","12/02/2021","1804","N816AW","DCA","11:39","11:34","140","160","-5","11:48","14","0","0","15","0","0"
"AA","12/02/2021","1833","N817NN","CLT","17:44","20:34","121","118","170","20:53","19","167","0","0","0","0"
"AA","12/02/2021","1837","N586UW","PHL","13:03","12:59","158","160","-4","13:13","14","0","0","0","0","0"
"AA","12/02/2021","1844","N921NN","DFW","15:51","15:51","199","187","0","16:07","16","0","0","0","0","0"
