Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1410","N369DN","ATL","19:25","19:26","112","100","1","19:40","14","0","0","0","0","0"
"DL","12/01/2021","1419","N363DN","ATL","13:27","13:36","112","101","9","13:51","15","0","0","0","0","0"
"DL","12/01/2021","1473","N391DA","LGA","17:00","16:53","167","167","-7","17:14","21","0","0","0","0","0"
"DL","12/01/2021","1496","N334DN","ATL","09:20","09:17","106","98","-3","09:31","14","0","0","0","0","0"
"DL","12/01/2021","1514","N359DN","ATL","17:42","17:37","113","104","-5","17:53","16","0","0","0","0","0"
"DL","12/01/2021","1549","N3765","LGA","13:00","12:55","166","164","-5","13:10","15","0","0","0","0","0"
"DL","12/01/2021","1571","N337DN","ATL","08:00","07:56","108","97","-4","08:07","11","0","0","0","0","0"
"DL","12/01/2021","2337","N364DX","ATL","06:00","06:35","107","95","35","06:45","10","23","0","0","0","0"
"DL","12/01/2021","2480","N383DN","LGA","07:00","06:57","168","162","-3","07:13","16","0","0","0","0","0"
"DL","12/01/2021","2945","N334DN","ATL","15:15","15:12","109","110","-3","15:34","22","0","0","0","0","0"
"DL","12/01/2021","2958","N359DN","ATL","11:47","11:40","112","97","-7","11:51","11","0","0","0","0","0"
"DL","12/01/2022","0657","N111DC","ATL","19:52","19:49","114","101","-3","19:59","10","0","0","0","0","0"
"DL","12/01/2022","0842","N124DU","LGA","07:13","07:08","167","162","-5","07:21","13","0","0","0","0","0"
"DL","12/01/2022","0946","N337NB","LGA","19:40","19:59","167","154","19","20:08","9","0","0","0","0","0"
"DL","12/01/2022","0970","N101DQ","ATL","14:30","14:25","114","101","-5","14:37","12","0","0","0","0","0"
"DL","12/01/2022","1267","N330DX","ATL","07:00","06:59","112","103","-1","07:12","13","0","0","0","0","0"
"DL","12/01/2022","1377","N364DX","ATL","18:19","18:30","116","103","11","18:40","10","0","0","0","0","0"
"DL","12/01/2022","1379","N110DX","ATL","11:12","11:18","113","109","6","11:30","12","0","0","0","0","0"
"DL","12/01/2022","1441","N128DU","LGA","15:30","15:48","168","171","18","16:03","15","18","0","3","0","0"
"DL","12/01/2022","1478","N349NB","BOS","15:37","15:29","198","192","-8","15:44","15","0","0","0","0","0"
"DL","12/01/2022","1494","N368NB","JFK","07:30","07:27","168","168","-3","07:47","20","0","0","0","0","0"
"DL","12/01/2022","2077","N336NB","JFK","15:50","15:39","175","186","-11","16:10","31","0","0","0","0","0"
"DL","12/01/2022","2124","N310DN","ATL","08:00","07:54","112","107","-6","08:09","15","0","0","0","0","0"
"DL","12/01/2022","2314","N311DN","ATL","13:14","13:11","113","106","-3","13:31","20","0","0","0","0","0"
"DL","12/01/2022","2337","N364DX","ATL","06:00","05:55","109","99","-5","06:05","10","0","0","0","0","0"
"DL","12/01/2022","2417","N108DN","ATL","16:50","17:06","117","111","16","17:22","16","0","0","0","0","0"
"DL","12/01/2022","2691","N327NB","LGA","11:10","11:05","165","163","-5","11:20","15","0","0","0","0","0"
"DL","12/01/2023","1009","N344NW","LGA","11:05","11:02","169","154","-3","11:16","14","0","0","0","0","0"
"DL","12/01/2023","1016","N344NW","LGA","19:20","19:11","175","172","-9","19:25","14","0","0","0","0","0"
"DL","12/01/2023","1115","N320US","LGA","15:15","15:08","179","165","-7","15:23","15","0","0","0","0","0"
"DL","12/01/2023","1132","N360DN","ATL","06:00","05:52","115","116","-8","06:13","21","0","0","0","0","0"
"DL","12/01/2023","1149","N350DN","DTW","14:26","14:16","184","166","-10","14:29","13","0","0","0","0","0"
