Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0818","N348FR","TTN","19:34","19:33","160","142","-1","19:44","11","0","0","0","0","0"
"F9","12/01/2021","0820","N332FR","TTN","16:15","16:41","159","163","26","17:04","23","11","0","9","0","10"
"F9","12/01/2021","1351","N213FR","ATL","17:20","17:45","113","105","25","17:59","14","17","0","0","0","0"
"F9","12/01/2021","2346","N342FR","PHL","14:04","13:55","159","152","-9","14:07","12","0","0","0","0","0"
"F9","12/01/2021","2866","N349FR","ISP","15:09","15:28","161","176","19","15:57","29","19","0","15","0","0"
"F9","12/01/2021","2868","N331FR","ISP","06:35","07:16","164","152","41","07:27","11","29","0","0","0","0"
"F9","12/01/2021","2962","N317FR","EWR","09:25","09:22","185","178","-3","09:38","16","0","0","0","0","0"
"F9","12/01/2022","0438","N310FR","TTN","14:09","13:58","161","174","-11","14:21","23","0","0","0","0","0"
"F9","12/01/2022","0439","N310FR","DEN","21:23","21:10","274","277","-13","21:24","14","0","0","0","0","0"
"F9","12/01/2022","2346","N381FR","PHL","17:06","17:23","162","151","17","17:34","11","0","0","0","0","0"
"F9","12/01/2022","2866","N381FR","ISP","09:44","09:41","166","169","-3","10:03","22","0","0","0","0","0"
"F9","12/01/2023","2122","N384FR","TTN","10:38","11:20","164","161","42","11:36","16","10","0","0","0","29"
"F9","12/01/2023","2448","N622FR","ISP","13:40","13:34","160","156","-6","13:54","20","0","0","0","0","0"
"F9","12/01/2023","2582","N384FR","PHL","18:16","18:14","164","148","-2","18:29","15","0","0","0","0","0"
"F9","12/01/2023","3536","N377FR","PHL","11:58","11:47","163","148","-11","12:02","15","0","0","0","0","0"
"F9","12/01/2023","3570","N324FR","PHL","20:23","00:06","397","421","223","00:28","22","247","0","0","0","0"
"F9","12/01/2023","3918","N711FR","ISP","21:55","21:59","160","157","4","22:13","14","0","0","0","0","0"
"F9","12/02/2021","0818","N350FR","TTN","19:34","19:23","160","174","-11","19:40","17","0","0","0","0","0"
"F9","12/02/2021","0820","N339FR","TTN","16:14","16:13","159","173","-1","16:30","17","0","0","0","0","0"
