Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6312","N88332","IAH","16:30","16:31","190","188","1","16:57","26","0","0","0","0","0"
"YV","12/01/2021","6364","N87302","IAD","13:00","12:59","152","142","-1","13:17","18","0","0","0","0","0"
"YV","12/01/2022","6034","N85323","IAD","09:00","08:57","152","142","-3","09:10","13","0","0","0","0","0"
"YV","12/02/2021","6312","N85358","IAH","16:30","16:30","190","187","0","16:42","12","0","0","0","0","0"
"YV","12/02/2021","6364","N89321","IAD","13:00","00:00","152","0","0","00:00","0","0","0","0","0","0"
"YV","12/02/2022","6034","N85323","IAD","09:00","08:52","152","158","-8","09:07","15","0","0","0","0","0"
"YV","12/03/2021","6312","N88341","IAH","16:30","16:30","190","179","0","16:49","19","0","0","0","0","0"
"YV","12/03/2022","6034","N88326","IAD","09:00","10:40","152","149","100","10:54","14","97","0","0","0","0"
"YV","12/04/2021","6312","N85340","IAH","16:30","16:23","190","165","-7","16:33","10","0","0","0","0","0"
"YV","12/04/2021","6364","N86336","IAD","13:00","16:15","152","135","195","16:28","13","178","0","0","0","0"
"YV","12/04/2022","6034","N85356","IAD","09:00","08:59","152","150","-1","09:14","15","0","0","0","0","0"
"YV","12/05/2021","6312","N82333","IAH","16:30","16:47","190","175","17","17:11","24","0","0","0","0","0"
"YV","12/05/2022","6034","N89317","IAD","09:00","09:07","152","145","7","09:19","12","0","0","0","0","0"
"YV","12/06/2021","6312","N88328","IAH","16:30","16:45","190","181","15","17:11","26","0","0","0","0","0"
"YV","12/06/2022","6034","N88326","IAD","09:00","08:54","152","155","-6","09:03","9","0","0","0","0","0"
"YV","12/07/2021","6312","N85323","IAH","16:30","16:29","190","186","-1","16:45","16","0","0","0","0","0"
"YV","12/07/2022","6034","N82338","IAD","09:00","09:00","152","158","0","09:15","15","0","0","0","0","0"
"YV","12/08/2021","6312","N87353","IAH","16:30","16:29","190","188","-1","16:41","12","0","0","0","0","0"
"YV","12/08/2022","6034","N87306","IAD","09:00","09:09","152","151","9","09:22","13","0","0","0","0","0"
"YV","12/09/2021","6312","N88341","IAH","16:30","16:30","190","186","0","16:47","17","0","0","0","0","0"
"YV","12/09/2021","6364","N87365","IAD","13:00","13:00","152","151","0","13:21","21","0","0","0","0","0"
"YV","12/09/2022","6034","N87306","IAD","09:00","08:54","152","142","-6","09:07","13","0","0","0","0","0"
"YV","12/10/2021","6312","N86334","IAH","16:30","16:30","190","180","0","16:58","28","0","0","0","0","0"
"YV","12/10/2022","6034","N87303","IAD","09:00","08:50","152","149","-10","09:09","19","0","0","0","0","0"
"YV","12/11/2021","6312","N84307","IAH","16:30","16:29","190","167","-1","16:41","12","0","0","0","0","0"
"YV","12/11/2022","6034","N85356","IAD","09:00","08:52","152","151","-8","09:09","17","0","0","0","0","0"
"YV","12/12/2021","6312","N89313","IAH","16:30","16:24","190","171","-6","16:37","13","0","0","0","0","0"
"YV","12/12/2022","6034","N85340","IAD","09:00","08:56","152","137","-4","09:08","12","0","0","0","0","0"
"YV","12/13/2021","6312","N87306","IAH","16:30","16:24","190","192","-6","16:35","11","0","0","0","0","0"
"YV","12/13/2022","6034","N88330","IAD","09:00","08:54","152","147","-6","09:04","10","0","0","0","0","0"
"YV","12/14/2021","6312","N88328","IAH","16:30","16:26","190","163","-4","16:37","11","0","0","0","0","0"
"YV","12/14/2022","6034","N87337","IAD","09:00","08:56","152","141","-4","09:07","11","0","0","0","0","0"
"YV","12/15/2021","6312","N87337","IAH","16:30","16:47","190","180","17","17:04","17","0","0","0","0","0"
"YV","12/16/2021","6312","N80348","IAH","16:30","16:44","197","164","14","16:59","15","0","0","0","0","0"
"YV","12/16/2021","6364","N78361","IAD","13:55","13:54","150","157","-1","14:27","33","0","0","0","0","0"
"YV","12/17/2021","6264","N87319","IAD","06:45","06:41","150","135","-4","06:53","12","0","0","0","0","0"
"YV","12/17/2021","6312","N78361","IAH","16:30","16:32","197","180","2","17:00","28","0","0","0","0","0"
"YV","12/17/2021","6364","N85370","IAD","13:55","14:18","150","143","23","14:39","21","0","0","0","0","16"
"YV","12/18/2021","6264","N85356","IAD","06:45","10:59","150","133","254","11:18","19","237","0","0","0","0"
"YV","12/18/2021","6312","N85379","IAH","16:30","07:07","197","173","877","07:19","12","853","0","0","0","0"
"YV","12/18/2021","6364","N86375","IAD","13:55","13:51","150","154","-4","14:16","25","0","0","0","0","0"
"YV","12/19/2021","6264","N86372","IAD","06:45","00:00","150","0","0","00:00","0","0","0","0","0","0"
"YV","12/19/2021","6312","N87364","IAH","16:30","17:06","197","193","36","17:36","30","0","0","32","0","0"
"YV","12/19/2021","6364","N87365","IAD","13:55","14:17","150","156","22","14:39","22","0","0","0","0","28"
"YV","12/20/2021","6264","N86316","IAD","06:45","07:37","150","132","52","07:50","13","34","0","0","0","0"
"YV","12/20/2021","6312","N87365","IAH","16:30","16:29","197","174","-1","16:46","17","0","0","0","0","0"
"YV","12/20/2021","6364","N85370","IAD","13:55","13:49","150","137","-6","13:59","10","0","0","0","0","0"
"YV","12/21/2021","6264","N85379","IAD","06:45","06:37","150","128","-8","06:50","13","0","0","0","0","0"
"YV","12/21/2021","6312","N78361","IAH","16:30","16:45","197","172","15","17:01","16","0","0","0","0","0"
"YV","12/21/2021","6364","N85363","IAD","13:55","14:17","150","131","22","14:31","14","0","0","0","0","0"
"YV","12/22/2021","6264","N87353","IAD","06:45","06:39","150","128","-6","06:52","13","0","0","0","0","0"
"YV","12/22/2021","6312","N85379","IAH","16:30","16:44","197","186","14","16:59","15","0","0","0","0","0"
"YV","12/22/2021","6364","N86371","IAD","13:55","13:51","150","142","-4","14:09","18","0","0","0","0","0"
"YV","12/23/2021","6264","N87306","IAD","06:45","06:43","150","141","-2","06:53","10","0","0","0","0","0"
"YV","12/23/2021","6312","N85370","IAH","16:30","16:30","197","170","0","16:50","20","0","0","0","0","0"
"YV","12/23/2021","6364","N82366","IAD","13:55","14:21","150","157","26","14:39","18","0","0","0","0","33"
"YV","12/24/2021","6264","N89317","IAD","06:45","06:45","150","156","0","07:00","15","0","0","0","0","0"
"YV","12/25/2021","6264","N85379","IAD","06:45","06:43","150","139","-2","06:52","9","0","0","0","0","0"
"YV","12/25/2021","6312","N84378","IAH","16:30","16:33","197","163","3","16:45","12","0","0","0","0","0"
"YV","12/25/2021","6364","N85379","IAD","13:55","13:53","150","140","-2","14:04","11","0","0","0","0","0"
"YV","12/26/2021","6264","N86350","IAD","06:45","00:00","150","0","0","00:00","0","0","0","0","0","0"
"YV","12/26/2021","6312","N87368","IAH","16:30","00:00","197","0","0","00:00","0","0","0","0","0","0"
"YV","12/26/2021","6364","N87367","IAD","13:55","16:35","150","143","160","16:51","16","0","0","0","0","153"
"YV","12/27/2021","6264","N87337","IAD","06:45","06:48","150","135","3","06:58","10","0","0","0","0","0"
