Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","4563","N421YX","DCA","13:24","14:30","147","154","66","14:54","24","0","66","7","0","0"
"YX","12/01/2021","4617","N421YX","DCA","20:29","20:28","147","139","-1","20:37","9","0","0","0","0","0"
"YX","12/01/2022","4563","N417YX","DCA","11:24","11:23","155","160","-1","11:33","10","0","0","0","0","0"
"YX","12/02/2021","4563","N442YX","DCA","13:24","13:15","147","156","-9","13:29","14","0","0","0","0","0"
"YX","12/02/2021","4617","N442YX","DCA","20:29","20:18","147","139","-11","20:32","14","0","0","0","0","0"
"YX","12/02/2022","4563","N438YX","DCA","11:24","11:20","155","150","-4","11:34","14","0","0","0","0","0"
"YX","12/03/2021","4563","N449YX","DCA","13:24","13:16","147","152","-8","13:40","24","0","0","0","0","0"
"YX","12/03/2021","4617","N449YX","DCA","20:29","20:22","147","142","-7","20:35","13","0","0","0","0","0"
"YX","12/03/2022","3454","N748YX","EWR","10:21","10:16","180","175","-5","10:36","20","0","0","0","0","0"
"YX","12/03/2022","4563","N453YX","DCA","11:20","11:17","155","154","-3","11:30","13","0","0","0","0","0"
"YX","12/04/2021","4563","N426YX","DCA","13:24","13:19","147","145","-5","13:34","15","0","0","0","0","0"
"YX","12/04/2022","4563","N412YX","DCA","11:24","11:33","155","155","9","11:46","13","0","0","0","0","0"
"YX","12/05/2021","4617","N135HQ","DCA","20:29","20:21","147","140","-8","20:32","11","0","0","0","0","0"
"YX","12/05/2022","4563","N115HQ","DCA","11:24","11:22","155","151","-2","11:36","14","0","0","0","0","0"
"YX","12/06/2021","3417","N649RW","IAD","13:00","12:57","152","150","-3","13:17","20","0","0","0","0","0"
"YX","12/06/2021","4563","N435YX","DCA","13:24","13:16","147","139","-8","13:29","13","0","0","0","0","0"
"YX","12/06/2021","4617","N435YX","DCA","20:29","20:21","147","192","-8","20:33","12","0","0","37","0","0"
"YX","12/06/2022","4563","N409YX","DCA","11:24","11:17","155","167","-7","11:53","36","0","0","0","0","0"
"YX","12/07/2021","4563","N401YX","DCA","13:24","13:32","147","153","8","13:53","21","0","0","0","0","0"
"YX","12/07/2021","4617","N101HQ","DCA","20:29","20:24","147","143","-5","20:37","13","0","0","0","0","0"
"YX","12/07/2022","4563","N113HQ","DCA","11:24","11:18","155","145","-6","11:30","12","0","0","0","0","0"
"YX","12/08/2021","4563","N428YX","DCA","13:24","13:25","147","153","1","13:45","20","0","0","0","0","0"
"YX","12/08/2021","4617","N442YX","DCA","20:29","20:30","147","144","1","20:46","16","0","0","0","0","0"
"YX","12/08/2022","4563","N113HQ","DCA","11:24","11:20","155","140","-4","11:32","12","0","0","0","0","0"
"YX","12/09/2021","4563","N423YX","DCA","13:24","14:45","147","137","81","14:56","11","66","5","0","0","0"
"YX","12/09/2021","4617","N112HQ","DCA","20:29","20:22","147","154","-7","20:42","20","0","0","0","0","0"
"YX","12/09/2022","4563","N128HQ","DCA","11:24","11:15","155","153","-9","11:38","23","0","0","0","0","0"
"YX","12/10/2021","4563","N401YX","DCA","13:24","13:19","147","159","-5","13:47","28","0","0","0","0","0"
"YX","12/10/2021","4617","N432YX","DCA","20:29","20:19","147","140","-10","20:30","11","0","0","0","0","0"
"YX","12/10/2022","4563","N404YX","DCA","11:20","11:11","155","149","-9","11:31","20","0","0","0","0","0"
"YX","12/11/2021","4563","N418YX","DCA","13:24","13:18","147","145","-6","13:30","12","0","0","0","0","0"
"YX","12/11/2022","4563","N107HQ","DCA","11:24","11:17","155","136","-7","11:29","12","0","0","0","0","0"
"YX","12/12/2021","4617","N421YX","DCA","20:29","20:20","147","163","-9","20:39","19","0","0","0","0","0"
"YX","12/12/2022","4563","N105HQ","DCA","11:24","11:19","155","154","-5","11:35","16","0","0","0","0","0"
"YX","12/13/2021","4563","N102HQ","DCA","13:24","13:26","147","158","2","13:42","16","0","0","0","0","0"
"YX","12/13/2021","4617","N452YX","DCA","20:29","20:21","147","142","-8","20:31","10","0","0","0","0","0"
"YX","12/13/2022","4563","N409YX","DCA","11:24","11:15","155","142","-9","11:29","14","0","0","0","0","0"
"YX","12/14/2021","4563","N422YX","DCA","13:24","13:22","147","173","-2","14:06","44","0","0","24","0","0"
"YX","12/14/2021","4617","N452YX","DCA","20:29","20:34","147","136","5","20:48","14","0","0","0","0","0"
"YX","12/14/2022","4563","N423YX","DCA","11:24","11:14","155","152","-10","11:30","16","0","0","0","0","0"
"YX","12/15/2021","4563","N117HQ","DCA","13:24","13:13","147","166","-11","13:37","24","0","0","0","0","0"
"YX","12/15/2021","4617","N108HQ","DCA","20:29","20:19","147","162","-10","20:30","11","0","0","0","0","0"
"YX","12/20/2023","4543","N428YX","DCA","15:30","15:20","149","143","-10","15:29","9","0","0","0","0","0"
"YX","12/21/2023","4543","N109HQ","DCA","15:30","15:15","149","152","-15","15:35","20","0","0","0","0","0"
"YX","12/22/2023","4543","N109HQ","DCA","15:30","15:25","149","155","-5","15:41","16","0","0","0","0","0"
"YX","12/23/2023","4543","N126HQ","DCA","15:30","15:13","149","159","-17","15:27","14","0","0","0","0","0"
"YX","12/24/2023","4543","N115HQ","DCA","15:30","15:24","149","142","-6","15:37","13","0","0","0","0","0"
"YX","12/25/2023","4543","N132HQ","DCA","15:30","15:29","149","141","-1","15:45","16","0","0","0","0","0"
"YX","12/26/2023","4543","N107HQ","DCA","15:30","15:57","149","138","27","16:13","16","7","0","0","0","9"
"YX","12/27/2023","4543","N426YX","DCA","15:30","15:50","149","141","20","16:15","25","0","0","0","0","0"
"YX","12/28/2023","4543","N135HQ","DCA","15:30","15:31","149","154","1","16:04","33","0","0","0","0","0"
"YX","12/29/2023","4543","N426YX","DCA","15:30","15:25","149","127","-5","15:41","16","0","0","0","0","0"
"YX","12/30/2023","4543","N127HQ","DCA","15:30","15:25","149","138","-5","15:36","11","0","0","0","0","0"
"YX","12/31/2023","4543","N105HQ","DCA","15:30","15:18","149","147","-12","15:39","21","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
