Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","1024","N228WN","ATL","06:25","06:20","110","95","-5","06:30","10","0","0","0","0","0"
"WN","12/01/2021","1330","N8800L","BWI","07:45","07:44","140","131","-1","07:55","11","0","0","0","0","0"
"WN","12/01/2021","1473","N286WN","ISP","12:15","12:13","160","149","-2","12:26","13","0","0","0","0","0"
"WN","12/01/2021","5141","N292WN","BWI","10:40","10:38","140","133","-2","10:49","11","0","0","0","0","0"
"WN","12/01/2021","5145","N292WN","BWI","17:15","17:07","145","130","-8","17:17","10","0","0","0","0","0"
"WN","12/01/2022","1373","N8557Q","BWI","07:40","07:34","140","147","-6","07:50","16","0","0","0","0","0"
"WN","12/01/2022","1625","N8694E","ISP","13:15","13:10","170","158","-5","13:22","12","0","0","0","0","0"
"WN","12/01/2022","1733","N8679A","ATL","14:30","14:25","110","96","-5","14:33","8","0","0","0","0","0"
"WN","12/01/2022","2620","N8637A","BWI","18:15","18:06","140","133","-9","18:14","8","0","0","0","0","0"
"WN","12/01/2022","2754","N8621A","BWI","12:05","11:59","140","140","-6","12:10","11","0","0","0","0","0"
"WN","12/01/2022","3478","N8638A","BWI","16:25","16:32","145","142","7","16:46","14","0","0","0","0","0"
