Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2023","0366","N628NK","ACY","10:55","10:48","147","138","-7","11:00","12","0","0","0","0","0"
"NK","12/01/2023","3384","N628NK","LGA","18:05","18:04","175","165","-1","18:20","16","0","0","0","0","0"
"NK","12/02/2021","0152","N626NK","ACY","16:18","16:12","145","157","-6","16:27","15","0","0","0","0","0"
"NK","12/02/2023","0366","N605NK","ACY","10:55","10:45","147","135","-10","10:55","10","0","0","0","0","0"
"NK","12/02/2023","3384","N605NK","LGA","18:05","17:56","175","151","-9","18:06","10","0","0","0","0","0"
"NK","12/03/2021","0152","N690NK","ACY","16:18","16:14","145","142","-4","16:28","14","0","0","0","0","0"
"NK","12/03/2023","0366","N656NK","ACY","10:55","10:43","147","140","-12","11:01","18","0","0","0","0","0"
"NK","12/03/2023","3384","N656NK","LGA","18:05","18:16","175","172","11","18:43","27","0","0","0","0","0"
"NK","12/04/2021","0152","N943NK","ACY","16:18","16:12","145","138","-6","16:24","12","0","0","0","0","0"
"NK","12/04/2023","0366","N692NK","ACY","10:55","10:49","151","125","-6","11:01","12","0","0","0","0","0"
"NK","12/04/2023","3384","N692NK","LGA","18:05","17:57","175","150","-8","18:09","12","0","0","0","0","0"
"NK","12/05/2021","0152","N942NK","ACY","16:18","16:12","145","146","-6","16:34","22","0","0","0","0","0"
"NK","12/05/2023","0366","N628NK","ACY","10:55","10:47","151","137","-8","10:57","10","0","0","0","0","0"
"NK","12/05/2023","3384","N628NK","LGA","18:05","17:53","175","149","-12","18:01","8","0","0","0","0","0"
"NK","12/06/2021","0152","N636NK","ACY","16:18","16:19","145","140","1","16:36","17","0","0","0","0","0"
"NK","12/06/2023","0366","N613NK","ACY","10:55","10:36","151","145","-19","10:47","11","0","0","0","0","0"
"NK","12/06/2023","3384","N613NK","LGA","18:05","17:44","175","172","-21","17:55","11","0","0","0","0","0"
"NK","12/07/2023","0366","N654NK","ACY","10:55","10:50","151","146","-5","11:00","10","0","0","0","0","0"
"NK","12/07/2023","3384","N654NK","LGA","18:05","17:54","175","163","-11","18:06","12","0","0","0","0","0"
"NK","12/08/2023","0366","N696NK","ACY","10:55","10:43","151","143","-12","10:53","10","0","0","0","0","0"
"NK","12/08/2023","3384","N696NK","LGA","18:05","17:55","175","161","-10","18:13","18","0","0","0","0","0"
"NK","12/09/2021","0152","N630NK","ACY","16:18","16:18","145","141","0","16:36","18","0","0","0","0","0"
"NK","12/09/2023","0366","N629NK","ACY","10:55","10:48","151","140","-7","11:02","14","0","0","0","0","0"
"NK","12/09/2023","3384","N629NK","LGA","18:05","17:58","175","151","-7","18:11","13","0","0","0","0","0"
"NK","12/10/2021","0152","N642NK","ACY","16:18","16:06","145","136","-12","16:18","12","0","0","0","0","0"
"NK","12/10/2023","0366","N696NK","ACY","10:55","12:37","151","139","102","12:49","12","90","0","0","0","0"
"NK","12/10/2023","3384","N696NK","LGA","18:05","20:09","175","167","124","20:41","32","0","2","1","0","113"
"NK","12/11/2021","0152","N655NK","ACY","16:18","16:03","145","134","-15","16:15","12","0","0","0","0","0"
"NK","12/11/2023","0366","N608NK","ACY","10:55","11:08","151","144","13","11:19","11","0","0","0","0","0"
"NK","12/11/2023","3384","N608NK","LGA","18:05","19:52","175","189","107","20:33","41","0","0","121","0","0"
"NK","12/12/2021","0152","N638NK","ACY","16:18","16:11","145","138","-7","16:23","12","0","0","0","0","0"
"NK","12/12/2023","0366","N608NK","ACY","10:55","10:58","151","150","3","11:10","12","0","0","0","0","0"
"NK","12/12/2023","3384","N608NK","LGA","18:05","18:01","175","174","-4","18:15","14","0","0","0","0","0"
"NK","12/13/2021","0152","N625NK","ACY","16:18","16:13","145","153","-5","16:26","13","0","0","0","0","0"
"NK","12/13/2023","0366","N608NK","ACY","10:55","10:52","151","142","-3","11:09","17","0","0","0","0","0"
"NK","12/13/2023","3384","N608NK","LGA","18:05","19:06","175","151","61","19:19","13","4","0","1","0","32"
"NK","12/14/2023","0366","N609NK","ACY","10:55","10:43","151","144","-12","10:56","13","0","0","0","0","0"
"NK","12/14/2023","3384","N609NK","LGA","18:05","18:00","175","169","-5","18:15","15","0","0","0","0","0"
"NK","12/15/2022","1851","N528NK","ACY","11:55","12:08","142","153","13","12:37","29","4","0","20","0","0"
"NK","12/15/2023","0366","N619NK","ACY","10:55","10:52","151","157","-3","11:10","18","0","0","0","0","0"
"NK","12/15/2023","3384","N619NK","LGA","18:05","17:59","175","169","-6","18:18","19","0","0","0","0","0"
"NK","12/16/2021","0152","N613NK","ACY","16:23","18:28","140","147","125","18:41","13","4","0","7","0","121"
"NK","12/16/2022","1851","N528NK","ACY","11:55","11:51","142","152","-4","12:16","25","0","0","0","0","0"
"NK","12/16/2023","0366","N615NK","ACY","10:55","10:47","151","144","-8","11:01","14","0","0","0","0","0"
"NK","12/16/2023","3384","N615NK","LGA","18:05","17:58","175","169","-7","18:08","10","0","0","0","0","0"
"NK","12/17/2021","0152","N622NK","ACY","16:23","16:33","140","140","10","16:51","18","0","0","0","0","0"
"NK","12/17/2022","1851","N529NK","ACY","11:55","11:54","142","144","-1","12:15","21","0","0","0","0","0"
"NK","12/17/2023","0366","N642NK","ACY","10:55","11:30","151","158","35","11:44","14","10","0","32","0","0"
"NK","12/17/2023","3384","N642NK","LGA","18:05","18:34","175","159","29","18:52","18","0","0","0","0","0"
"NK","12/18/2021","0152","N635NK","ACY","16:23","16:21","140","141","-2","16:34","13","0","0","0","0","0"
"NK","12/18/2022","1851","N510NK","ACY","11:55","11:52","142","143","-3","12:14","22","0","0","0","0","0"
"NK","12/18/2023","0366","N693NK","ACY","10:55","10:51","151","145","-4","11:00","9","0","0","0","0","0"
"NK","12/18/2023","3384","N693NK","LGA","18:05","18:05","175","161","0","18:23","18","0","0","0","0","0"
"NK","12/19/2021","0152","N643NK","ACY","16:23","17:07","140","147","44","17:33","26","2","0","7","0","42"
"NK","12/19/2022","1851","N514NK","ACY","11:55","11:52","142","146","-3","12:11","19","0","0","0","0","0"
"NK","12/19/2023","0366","N693NK","ACY","10:55","10:49","151","153","-6","11:03","14","0","0","0","0","0"
"NK","12/19/2023","3384","N693NK","LGA","18:05","18:01","175","185","-4","18:16","15","0","0","0","0","0"
"NK","12/20/2021","0152","N631NK","ACY","16:23","16:18","140","129","-5","16:31","13","0","0","0","0","0"
"NK","12/20/2022","1851","N506NK","ACY","11:55","12:00","142","141","5","12:15","15","0","0","0","0","0"
"NK","12/20/2023","0366","N693NK","ACY","10:55","10:57","151","154","2","11:10","13","0","0","0","0","0"
"NK","12/20/2023","3384","N693NK","LGA","18:05","17:56","175","170","-9","18:11","15","0","0","0","0","0"
"NK","12/21/2021","0152","N634NK","ACY","16:23","16:37","140","128","14","16:49","12","0","0","0","0","0"
"NK","12/21/2022","1851","N523NK","ACY","11:55","11:53","142","150","-2","12:08","15","0","0","0","0","0"
"NK","12/21/2023","0366","N624NK","ACY","10:55","10:47","151","142","-8","11:05","18","0","0","0","0","0"
"NK","12/21/2023","3384","N624NK","LGA","18:05","17:56","175","170","-9","18:08","12","0","0","0","0","0"
"NK","12/22/2021","0152","N632NK","ACY","16:23","00:00","140","0","0","00:00","0","0","0","0","0","0"
"NK","12/22/2022","1851","N535NK","ACY","11:55","12:05","142","139","10","12:18","13","0","0","0","0","0"
"NK","12/22/2023","0366","N624NK","ACY","10:55","10:57","151","144","2","11:10","13","0","0","0","0","0"
"NK","12/22/2023","3384","N624NK","LGA","18:05","17:59","175","181","-6","18:10","11","0","0","0","0","0"
"NK","12/23/2021","0152","N636NK","ACY","16:23","17:53","140","142","90","18:05","12","10","0","2","0","80"
"NK","12/23/2022","1851","N535NK","ACY","11:55","11:56","142","141","1","12:14","18","0","0","0","0","0"
"NK","12/23/2023","0366","N624NK","ACY","10:55","10:54","151","143","-1","11:05","11","0","0","0","0","0"
"NK","12/23/2023","3384","N624NK","LGA","18:05","18:04","175","169","-1","18:19","15","0","0","0","0","0"
"NK","12/24/2021","0152","N690NK","ACY","16:23","16:18","140","137","-5","16:30","12","0","0","0","0","0"
"NK","12/24/2022","1851","N519NK","ACY","11:55","16:16","142","127","261","16:25","9","0","0","36","0","210"
"NK","12/24/2023","0366","N624NK","ACY","10:55","11:31","151","138","36","11:42","11","23","0","0","0","0"
"NK","12/24/2023","3384","N624NK","LGA","18:05","17:59","175","157","-6","18:10","11","0","0","0","0","0"
"NK","12/25/2021","0152","N614NK","ACY","16:23","17:12","140","142","49","17:23","11","0","0","2","0","49"
"NK","12/25/2022","1851","N519NK","ACY","11:55","11:44","142","130","-11","11:54","10","0","0","0","0","0"
"NK","12/25/2023","0366","N630NK","ACY","10:55","11:14","151","140","19","11:30","16","0","0","0","0","0"
"NK","12/25/2023","3384","N630NK","LGA","18:05","18:02","175","169","-3","18:27","25","0","0","0","0","0"
