Detailed Statistics Departures  
Origin Airport: West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0568","N66814","EWR","08:00","07:54","171","162","-6","08:06","12","0","0","0","0","0"
"UA","12/01/2021","0799","N456UA","EWR","11:05","10:59","176","171","-6","11:15","16","0","0","0","0","0"
"UA","12/01/2021","1678","","ORD","15:40","00:00","193","0","0","00:00","0","0","0","0","0","0"
"UA","12/01/2021","1841","N33262","IAD","09:15","09:06","137","144","-9","09:27","21","0","0","0","0","0"
"UA","12/01/2021","2038","N53442","EWR","09:00","08:53","171","166","-7","09:11","18","0","0","0","0","0"
"UA","12/01/2021","2073","N69838","EWR","13:20","13:23","175","173","3","13:47","24","0","0","0","0","0"
"UA","12/01/2021","2206","N27260","EWR","06:00","05:54","171","160","-6","06:06","12","0","0","0","0","0"
"UA","12/01/2021","2209","N68802","EWR","19:00","18:50","175","169","-10","19:02","12","0","0","0","0","0"
"UA","12/01/2021","2213","N27260","EWR","14:55","14:53","175","176","-2","15:15","22","0","0","0","0","0"
"UA","12/01/2021","2311","N77535","EWR","12:05","11:59","175","191","-6","12:18","19","0","0","0","0","0"
"UA","12/01/2021","2341","N69816","EWR","15:30","15:24","175","171","-6","15:43","19","0","0","0","0","0"
"UA","12/01/2021","2615","N76528","EWR","16:45","16:55","175","189","10","17:07","12","0","0","14","0","10"
"UA","12/01/2022","1076","N37257","EWR","06:00","05:54","170","171","-6","06:08","14","0","0","0","0","0"
"UA","12/01/2022","1197","N435UA","EWR","10:31","10:30","171","165","-1","10:42","12","0","0","0","0","0"
"UA","12/01/2022","1533","N27256","EWR","07:20","07:22","170","169","2","07:34","12","0","0","0","0","0"
"UA","12/01/2022","1662","N817UA","ORD","16:35","17:10","199","190","35","17:32","22","7","0","0","0","19"
"UA","12/01/2022","1701","N18112","EWR","14:37","15:09","173","201","32","15:39","30","0","0","60","0","0"
"UA","12/01/2022","2031","N68822","IAH","09:01","08:51","163","158","-10","09:07","16","0","0","0","0","0"
"UA","12/01/2022","2249","N27274","EWR","12:33","12:36","177","165","3","12:49","13","0","0","0","0","0"
"UA","12/01/2023","1197","N77535","EWR","11:36","11:22","178","164","-14","11:38","16","0","0","0","0","0"
"UA","12/01/2023","1297","N33266","EWR","13:10","13:12","185","171","2","13:30","18","0","0","0","0","0"
"UA","12/01/2023","1533","N47280","EWR","08:34","08:31","176","155","-3","08:42","11","0","0","0","0","0"
"UA","12/01/2023","1587","N73275","EWR","15:54","22:41","186","148","407","22:54","13","85","0","0","0","284"
"UA","12/01/2023","1598","N57439","EWR","06:02","05:48","174","157","-14","06:04","16","0","0","0","0","0"
"UA","12/01/2023","1885","N57286","IAH","16:57","16:53","168","194","-4","17:07","14","0","0","22","0","0"
"UA","12/01/2023","2075","N37305","ORD","16:20","16:18","199","209","-2","16:34","16","0","0","0","0","0"
"UA","12/01/2023","2209","N61887","EWR","17:40","20:04","183","160","144","20:18","14","0","0","0","0","121"
"UA","12/01/2023","2300","N27263","EWR","20:07","19:53","186","169","-14","20:12","19","0","0","0","0","0"
"UA","12/02/2021","0568","N36472","EWR","08:00","07:52","171","185","-8","08:11","19","0","0","0","0","0"
"UA","12/02/2021","0799","N482UA","EWR","11:05","10:56","176","183","-9","11:11","15","0","0","0","0","0"
"UA","12/02/2021","1678","N815UA","ORD","15:40","15:45","193","186","5","15:59","14","0","0","0","0","0"
"UA","12/02/2021","2038","N69816","EWR","09:00","08:55","171","173","-5","09:07","12","0","0","0","0","0"
"UA","12/02/2021","2073","N61882","EWR","13:20","14:24","175","173","64","14:42","18","7","0","0","0","55"
"UA","12/02/2021","2206","N27258","EWR","06:00","05:57","171","178","-3","06:08","11","0","0","0","0","0"
"UA","12/02/2021","2209","N34460","EWR","19:00","19:07","175","202","7","19:22","15","0","0","34","0","0"
"UA","12/02/2021","2213","N27258","EWR","14:55","14:49","175","185","-6","15:09","20","0","0","0","0","0"
"UA","12/02/2021","2217","N37267","IAD","09:15","09:09","137","152","-6","09:21","12","0","0","0","0","0"
"UA","12/02/2021","2311","N77535","EWR","12:05","11:57","175","180","-8","12:14","17","0","0","0","0","0"
"UA","12/02/2021","2615","N78524","EWR","16:45","18:57","175","205","132","19:16","19","0","0","85","0","77"
"UA","12/02/2022","1076","N27273","EWR","06:00","05:53","170","179","-7","06:15","22","0","0","0","0","0"
"UA","12/02/2022","1169","N13716","EWR","15:27","15:28","177","186","1","15:42","14","0","0","0","0","0"
"UA","12/02/2022","1197","N27255","EWR","10:31","10:30","171","175","-1","10:49","19","0","0","0","0","0"
"UA","12/02/2022","1533","N27261","EWR","07:20","07:28","170","170","8","07:40","12","0","0","0","0","0"
"UA","12/02/2022","1662","N894UA","ORD","16:35","16:28","199","197","-7","16:43","15","0","0","0","0","0"
