Detailed Statistics Departures  
Origin Airport: White Plains, NY: Westchester County (HPN)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3395","N274NN","MIA","06:30","06:26","197","183","-4","06:47","21","0","0","0","0","0"
"MQ","12/01/2023","3496","N765ST","ORD","07:00","07:00","161","158","0","07:12","12","0","0","0","0","0"
"MQ","12/01/2023","3808","N776MS","ORD","16:30","16:34","161","166","4","16:46","12","0","0","0","0","0"
"MQ","12/01/2023","3812","N783LC","ORD","12:25","12:35","161","157","10","12:46","11","0","0","0","0","0"
"MQ","12/02/2023","3395","N278NN","MIA","06:30","06:23","197","189","-7","06:39","16","0","0","0","0","0"
"MQ","12/02/2023","3496","N770JM","ORD","07:00","06:56","161","164","-4","07:09","13","0","0","0","0","0"
"MQ","12/02/2023","3808","N762DT","ORD","16:30","16:22","161","154","-8","16:34","12","0","0","0","0","0"
"MQ","12/03/2023","3395","N217NN","MIA","06:30","14:09","197","195","459","14:26","17","0","457","0","0","0"
"MQ","12/03/2023","3496","N770JM","ORD","07:00","07:09","161","189","9","07:20","11","9","0","28","0","0"
"MQ","12/03/2023","3808","N874RW","ORD","16:30","16:28","161","160","-2","16:49","21","0","0","0","0","0"
"MQ","12/03/2023","3812","N821MD","ORD","12:25","13:01","161","143","36","13:11","10","7","0","0","0","11"
"MQ","12/04/2023","3395","N218NN","MIA","06:30","06:32","197","203","2","06:41","9","0","0","0","0","0"
"MQ","12/04/2023","3496","N770JM","ORD","07:00","07:19","161","146","19","07:35","16","0","0","0","0","0"
"MQ","12/04/2023","3808","N635RW","ORD","16:30","16:26","161","133","-4","16:34","8","0","0","0","0","0"
"MQ","12/04/2023","3812","N873RW","ORD","12:25","12:20","161","139","-5","12:29","9","0","0","0","0","0"
"MQ","12/05/2023","3395","N205NN","MIA","06:30","06:30","198","190","0","06:44","14","0","0","0","0","0"
"MQ","12/05/2023","3496","N762DT","ORD","07:00","06:54","167","157","-6","07:09","15","0","0","0","0","0"
"MQ","12/05/2023","3808","N222NS","ORD","16:30","16:26","167","149","-4","16:41","15","0","0","0","0","0"
"MQ","12/05/2023","3812","N772MR","ORD","12:25","12:49","167","143","24","12:57","8","0","0","0","0","0"
"MQ","12/06/2023","3395","N218NN","MIA","06:30","06:17","198","195","-13","06:43","26","0","0","0","0","0"
