Detailed Statistics Departures  
Origin Airport: White Plains, NY: Westchester County (HPN)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0195","N238JB","MCO","09:30","09:20","171","161","-10","09:29","9","0","0","0","0","0"
"B6","12/01/2021","0495","N296JB","MCO","16:30","16:18","173","178","-12","16:28","10","0","0","0","0","0"
"B6","12/01/2021","0613","N529JB","FLL","10:36","10:45","182","183","9","10:58","13","0","0","0","0","0"
"B6","12/01/2021","0667","N519JB","PBI","11:05","11:34","178","164","29","11:48","14","15","0","0","0","0"
"B6","12/01/2021","0813","N760JB","FLL","07:10","07:15","182","166","5","07:25","10","0","0","0","0","0"
"B6","12/01/2021","0913","N643JB","FLL","17:18","17:14","182","176","-4","17:24","10","0","0","0","0","0"
"B6","12/01/2021","0967","N519JB","PBI","19:30","19:22","169","168","-8","19:33","11","0","0","0","0","0"
"B6","12/01/2021","1051","N348JB","RSW","16:10","16:00","192","196","-10","16:13","13","0","0","0","0","0"
"B6","12/01/2021","1447","N606JB","TPA","15:10","15:06","179","167","-4","15:15","9","0","0","0","0","0"
"B6","12/01/2021","1551","N348JB","RSW","09:00","08:47","193","179","-13","08:58","11","0","0","0","0","0"
"B6","12/01/2021","1567","N585JB","PBI","14:50","14:45","178","174","-5","14:58","13","0","0","0","0","0"
"B6","12/01/2022","0195","N317JB","MCO","08:30","08:21","174","166","-9","08:31","10","0","0","0","0","0"
"B6","12/01/2022","0495","N190JB","MCO","15:59","15:50","177","157","-9","16:05","15","0","0","0","0","0"
"B6","12/01/2022","0595","N554JB","MCO","11:30","13:50","177","180","140","14:08","18","140","0","3","0","0"
"B6","12/01/2022","0613","N587JB","FLL","18:30","18:33","182","164","3","18:44","11","0","0","0","0","0"
"B6","12/01/2022","0813","N589JB","FLL","07:30","07:31","183","193","1","07:44","13","0","0","0","0","0"
"B6","12/01/2022","0913","N571JB","FLL","14:35","14:34","183","160","-1","14:44","10","0","0","0","0","0"
"B6","12/01/2022","0967","N190JB","PBI","08:50","08:49","182","156","-1","08:57","8","0","0","0","0","0"
