Detailed Statistics Departures  
Origin Airport: White Plains, NY: Westchester County (HPN)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5070","N706PS","CLT","18:47","18:39","129","118","-8","18:50","11","0","0","0","0","0"
"OH","12/01/2021","5097","N500AE","CLT","06:30","06:24","130","111","-6","06:36","12","0","0","0","0","0"
"OH","12/01/2021","5180","N515AE","CLT","13:37","13:38","129","113","1","13:53","15","0","0","0","0","0"
"OH","12/01/2021","5236","N702PS","DCA","17:28","17:20","76","71","-8","17:34","14","0","0","0","0","0"
"OH","12/01/2021","5254","N539EA","DCA","15:29","15:21","75","80","-8","15:31","10","0","0","0","0","0"
"OH","12/01/2021","5282","N514AE","DCA","11:29","14:16","75","107","167","14:34","18","0","0","32","0","167"
"OH","12/01/2021","5401","N519AE","DCA","07:30","07:21","77","88","-9","07:39","18","0","0","0","0","0"
"OH","12/01/2021","5678","N529EA","DCA","06:05","05:57","71","70","-8","06:16","19","0","0","0","0","0"
"OH","12/01/2022","5070","N508AE","CLT","16:55","16:52","125","116","-3","17:07","15","0","0","0","0","0"
"OH","12/01/2022","5097","N567NN","CLT","06:30","07:31","128","118","61","07:47","16","51","0","0","0","0"
"OH","12/01/2022","5180","N540EG","CLT","13:36","13:50","125","114","14","14:10","20","0","0","0","0","0"
"OH","12/01/2022","5236","N518AE","DCA","18:59","19:22","75","101","23","19:52","30","2","0","26","0","21"
"OH","12/01/2022","5254","N535EA","DCA","15:29","18:22","79","105","173","18:36","14","0","0","26","0","173"
"OH","12/01/2022","5282","N542EA","DCA","11:29","11:43","79","62","14","11:53","10","0","0","0","0","0"
"OH","12/01/2022","5401","N519AE","DCA","07:30","08:53","79","66","83","09:05","12","70","0","0","0","0"
"OH","12/01/2022","5431","N553NN","CLT","10:00","09:55","128","113","-5","10:08","13","0","0","0","0","0"
"OH","12/01/2022","5678","N538EG","DCA","06:00","05:52","79","103","-8","06:16","24","0","0","16","0","0"
"OH","12/01/2023","5070","N518AE","CLT","17:13","17:09","126","131","-4","17:24","15","0","0","0","0","0"
"OH","12/01/2023","5180","N500AE","CLT","13:36","13:22","126","113","-14","13:33","11","0","0","0","0","0"
"OH","12/01/2023","5236","N525AE","DCA","18:56","20:58","81","100","122","21:20","22","0","0","19","0","122"
"OH","12/01/2023","5254","N503AE","DCA","15:22","15:55","81","89","33","16:09","14","5","0","8","0","28"
"OH","12/01/2023","5282","N503AE","DCA","11:29","11:28","81","103","-1","11:50","22","0","0","21","0","0"
"OH","12/01/2023","5403","N545PB","CLT","07:59","07:51","126","119","-8","08:07","16","0","0","0","0","0"
"OH","12/01/2023","5431","N509AE","CLT","10:05","10:07","126","128","2","10:20","13","0","0","0","0","0"
"OH","12/01/2023","5678","N536EA","DCA","06:00","05:52","81","88","-8","06:18","26","0","0","0","0","0"
