Detailed Statistics Departures  
Origin Airport: White Plains, NY: Westchester County (HPN)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","5143","N935XJ","ATL","10:18","10:15","143","134","-3","10:28","13","0","0","0","0","0"
"9E","12/01/2021","5378","N181PQ","ATL","13:02","12:57","142","134","-5","13:09","12","0","0","0","0","0"
"9E","12/01/2023","4817","N279PQ","DTW","05:45","05:41","117","109","-4","05:55","14","0","0","0","0","0"
"9E","12/01/2023","5072","N292PQ","ATL","16:29","16:31","157","150","2","16:42","11","0","0","0","0","0"
"9E","12/01/2023","5076","N296PQ","ATL","18:59","19:02","154","142","3","19:13","11","0","0","0","0","0"
"9E","12/01/2023","5291","N929XJ","DTW","09:45","09:44","118","98","-1","09:57","13","0","0","0","0","0"
"9E","12/01/2023","5509","N340CA","ATL","10:29","10:29","153","150","0","10:45","16","0","0","0","0","0"
"9E","12/02/2021","5143","N310PQ","ATL","10:18","10:12","143","131","-6","10:30","18","0","0","0","0","0"
"9E","12/02/2021","5378","N272PQ","ATL","13:07","12:57","145","125","-10","13:08","11","0","0","0","0","0"
"9E","12/02/2021","5498","N936XJ","ATL","19:09","19:30","142","127","21","19:40","10","0","0","0","0","0"
"9E","12/02/2023","4817","N136EV","DTW","05:45","05:32","117","117","-13","05:48","16","0","0","0","0","0"
"9E","12/02/2023","5072","N349PQ","ATL","16:29","16:19","157","151","-10","16:27","8","0","0","0","0","0"
"9E","12/02/2023","5076","N296PQ","ATL","18:59","19:01","154","146","2","19:12","11","0","0","0","0","0"
"9E","12/03/2021","5143","N336PQ","ATL","10:18","10:14","143","132","-4","10:27","13","0","0","0","0","0"
"9E","12/03/2021","5378","N935XJ","ATL","13:02","13:02","142","130","0","13:12","10","0","0","0","0","0"
"9E","12/03/2021","5498","N331PQ","ATL","19:09","19:00","142","133","-9","19:10","10","0","0","0","0","0"
"9E","12/03/2023","4817","N928XJ","DTW","05:45","11:41","117","123","356","11:59","18","16","0","6","0","340"
"9E","12/03/2023","5072","N901XJ","ATL","16:29","16:47","157","162","18","17:06","19","13","0","5","0","5"
"9E","12/03/2023","5076","N309PQ","ATL","18:59","18:54","154","163","-5","19:10","16","0","0","0","0","0"
"9E","12/03/2023","5291","N601LR","DTW","09:45","09:45","120","123","0","10:08","23","0","0","0","0","0"
"9E","12/03/2023","5509","N655CA","ATL","10:29","16:34","153","169","365","16:56","22","313","0","16","0","52"
"9E","12/04/2021","5143","N176PQ","ATL","10:18","10:10","143","134","-8","10:22","12","0","0","0","0","0"
"9E","12/04/2021","5378","N308PQ","ATL","12:59","12:54","142","133","-5","13:11","17","0","0","0","0","0"
"9E","12/04/2023","4817","N325PQ","DTW","05:45","05:41","117","115","-4","06:03","22","0","0","0","0","0"
"9E","12/04/2023","5291","N136EV","DTW","09:45","09:41","120","101","-4","09:52","11","0","0","0","0","0"
"9E","12/04/2023","5421","N296PQ","ATL","18:59","18:52","154","143","-7","19:07","15","0","0","0","0","0"
"9E","12/04/2023","5462","N299PQ","ATL","16:29","16:24","157","141","-5","16:31","7","0","0","0","0","0"
"9E","12/04/2023","5509","N349PQ","ATL","10:29","10:26","153","186","-3","11:11","45","0","0","30","0","0"
"9E","12/05/2021","5143","N337PQ","ATL","10:29","10:24","153","131","-5","10:37","13","0","0","0","0","0"
"9E","12/05/2021","5378","N176PQ","ATL","12:58","12:54","156","131","-4","13:09","15","0","0","0","0","0"
"9E","12/05/2023","5291","N320PQ","DTW","09:45","11:06","120","95","81","11:17","11","56","0","0","0","0"
"9E","12/05/2023","5421","N315PQ","ATL","18:59","18:49","154","153","-10","19:04","15","0","0","0","0","0"
"9E","12/05/2023","5462","N326PQ","ATL","16:29","16:29","157","144","0","16:45","16","0","0","0","0","0"
"9E","12/06/2021","5143","N308PQ","ATL","10:29","11:45","153","154","76","12:03","18","5","0","1","0","71"
"9E","12/06/2021","5378","N337PQ","ATL","12:58","12:59","156","146","1","13:16","17","0","0","0","0","0"
