Detailed Statistics Departures  
Origin Airport: White Plains, NY: Westchester County (HPN)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2022","5688","N206JQ","BOS","12:55","12:42","63","64","-13","12:52","10","0","0","0","0","0"
"YX","12/01/2022","5795","N228JQ","BOS","16:23","16:12","64","59","-11","16:23","11","0","0","0","0","0"
"YX","12/01/2022","5846","N225JQ","BOS","09:55","09:46","63","59","-9","09:58","12","0","0","0","0","0"
"YX","12/02/2022","5688","N222JQ","BOS","12:55","12:49","63","59","-6","13:02","13","0","0","0","0","0"
"YX","12/02/2022","5795","N210JQ","BOS","16:23","16:17","64","68","-6","16:32","15","0","0","0","0","0"
"YX","12/02/2022","5846","N212JQ","BOS","09:55","09:51","63","66","-4","10:06","15","0","0","0","0","0"
"YX","12/04/2022","5688","N233JQ","BOS","12:55","12:53","63","59","-2","13:01","8","0","0","0","0","0"
"YX","12/04/2022","5795","N202JQ","BOS","16:23","16:41","64","55","18","16:53","12","0","0","0","0","0"
"YX","12/05/2022","5688","N235JQ","BOS","12:55","12:37","63","67","-18","12:55","18","0","0","0","0","0"
"YX","12/05/2022","5795","N201JQ","BOS","16:23","16:16","64","70","-7","16:31","15","0","0","0","0","0"
"YX","12/05/2022","5846","N242JQ","BOS","09:55","09:45","63","65","-10","09:56","11","0","0","0","0","0"
"YX","12/06/2022","5795","N230JQ","BOS","16:23","16:16","64","77","-7","16:37","21","0","0","0","0","0"
"YX","12/06/2022","5846","N206JQ","BOS","09:55","09:45","63","54","-10","09:55","10","0","0","0","0","0"
"YX","12/07/2022","5795","N235JQ","BOS","16:23","16:25","64","78","2","16:53","28","2","0","14","0","0"
"YX","12/07/2022","5846","N218JQ","BOS","09:55","11:19","63","72","84","11:35","16","0","0","9","0","84"
"YX","12/08/2022","5688","N202JQ","BOS","12:55","12:45","63","55","-10","12:59","14","0","0","0","0","0"
"YX","12/08/2022","5795","N240JQ","BOS","16:23","16:10","64","57","-13","16:22","12","0","0","0","0","0"
"YX","12/08/2022","5846","N205JQ","BOS","09:55","09:41","63","56","-14","09:56","15","0","0","0","0","0"
"YX","12/09/2022","5688","N212JQ","BOS","12:55","12:43","63","67","-12","13:05","22","0","0","0","0","0"
"YX","12/09/2022","5795","N215JQ","BOS","16:23","16:12","64","79","-11","16:38","26","0","0","0","0","0"
"YX","12/09/2022","5846","N235JQ","BOS","09:55","09:50","63","66","-5","10:06","16","0","0","0","0","0"
"YX","12/11/2022","5688","N232JQ","BOS","12:55","12:52","63","54","-3","13:02","10","0","0","0","0","0"
"YX","12/11/2022","5795","N207JQ","BOS","16:23","16:17","64","155","-6","16:43","26","0","0","85","0","0"
"YX","12/12/2022","5688","N226JQ","BOS","12:55","12:47","63","63","-8","13:02","15","0","0","0","0","0"
"YX","12/12/2022","5795","N211JQ","BOS","16:23","16:13","64","70","-10","16:29","16","0","0","0","0","0"
"YX","12/12/2022","5846","N202JQ","BOS","09:55","09:45","63","63","-10","09:58","13","0","0","0","0","0"
"YX","12/13/2022","5795","N205JQ","BOS","16:23","16:06","64","75","-17","16:29","23","0","0","0","0","0"
"YX","12/13/2022","5846","N230JQ","BOS","09:55","09:46","63","63","-9","09:58","12","0","0","0","0","0"
"YX","12/14/2022","5795","N209JQ","BOS","16:23","16:12","64","65","-11","16:24","12","0","0","0","0","0"
"YX","12/14/2022","5846","N211JQ","BOS","09:55","09:43","63","60","-12","09:53","10","0","0","0","0","0"
"YX","12/15/2022","5688","N209JQ","BOS","12:55","12:45","63","61","-10","12:59","14","0","0","0","0","0"
"YX","12/15/2022","5795","N239JQ","BOS","16:23","16:07","64","67","-16","16:18","11","0","0","0","0","0"
"YX","12/15/2022","5846","N215JQ","BOS","09:55","09:47","63","61","-8","09:59","12","0","0","0","0","0"
"YX","12/16/2022","5688","N239JQ","BOS","12:55","12:49","63","52","-6","12:57","8","0","0","0","0","0"
"YX","12/16/2022","5795","N219YX","BOS","16:23","17:30","64","103","67","18:18","48","67","0","39","0","0"
"YX","12/16/2022","5846","N202JQ","BOS","09:55","09:49","63","62","-6","10:06","17","0","0","0","0","0"
