Detailed Statistics Departures  
Origin Airport: Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal (SPS)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3571","N611AE","DFW","06:46","06:43","55","46","-3","06:55","12","0","0","0","0","0"
"MQ","12/01/2021","4072","N933JN","DFW","16:47","16:38","53","61","-9","16:45","7","0","0","0","0","0"
"MQ","12/01/2021","4429","N687JS","DFW","13:09","13:01","51","61","-8","13:20","19","0","0","0","0","0"
"MQ","12/02/2021","3571","N928AE","DFW","06:46","06:39","55","56","-7","06:59","20","0","0","0","0","0"
"MQ","12/02/2021","4072","N623AE","DFW","16:47","17:10","53","56","23","17:28","18","0","0","3","0","23"
"MQ","12/02/2021","4209","N612AE","DFW","08:35","08:33","64","49","-2","08:52","19","0","0","0","0","0"
"MQ","12/02/2021","4429","N676AE","DFW","13:09","13:32","51","48","23","13:50","18","0","0","0","0","20"
"MQ","12/03/2021","3571","N606AE","DFW","06:46","06:41","55","62","-5","07:04","23","0","0","0","0","0"
"MQ","12/03/2021","4072","N922AE","DFW","16:47","16:41","53","49","-6","16:54","13","0","0","0","0","0"
"MQ","12/03/2021","4209","N623AE","DFW","08:35","08:30","64","85","-5","09:19","49","0","0","16","0","0"
"MQ","12/03/2021","4429","N932AE","DFW","13:09","13:01","51","51","-8","13:19","18","0","0","0","0","0"
"MQ","12/04/2021","3571","N653AE","DFW","06:46","06:38","55","56","-8","06:56","18","0","0","0","0","0"
"MQ","12/04/2021","4072","N653AE","DFW","16:47","16:41","53","41","-6","16:47","6","0","0","0","0","0"
"MQ","12/04/2021","4209","N673AE","DFW","08:35","08:37","64","50","2","08:55","18","0","0","0","0","0"
