Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4146","N689EC","DFW","14:12","14:04","80","88","-8","14:20","16","0","0","0","0","0"
"MQ","12/01/2021","4251","N285NN","DFW","10:29","10:24","83","79","-5","10:34","10","0","0","0","0","0"
"MQ","12/01/2022","3615","N935AE","ORD","06:46","06:37","117","108","-9","06:47","10","0","0","0","0","0"
"MQ","12/01/2022","3742","N218NN","DFW","10:20","10:13","80","80","-7","10:26","13","0","0","0","0","0"
"MQ","12/01/2022","3990","N935AE","ORD","12:17","12:09","116","105","-8","12:17","8","0","0","0","0","0"
"MQ","12/01/2023","3501","N262NN","DFW","20:22","20:09","86","91","-13","20:26","17","0","0","0","0","0"
"MQ","12/01/2023","3674","N288NN","DFW","10:09","10:16","86","91","7","10:33","17","0","0","0","0","0"
"MQ","12/01/2023","3720","N220NN","DFW","05:00","04:59","86","78","-1","05:16","17","0","0","0","0","0"
"MQ","12/01/2023","3757","N769KW","ORD","05:31","05:31","117","122","0","05:44","13","0","0","0","0","0"
"MQ","12/01/2023","3818","N770JM","ORD","15:53","16:22","117","97","29","16:34","12","0","0","0","0","0"
"MQ","12/01/2023","3842","N279MQ","DFW","12:14","12:05","86","81","-9","12:16","11","0","0","0","0","0"
"MQ","12/02/2021","4146","N693AE","DFW","14:12","14:26","80","78","14","14:38","12","0","0","0","0","0"
"MQ","12/02/2021","4251","N246NN","DFW","10:29","10:44","83","68","15","10:54","10","0","0","0","0","0"
"MQ","12/02/2022","3615","N902BC","ORD","06:46","06:37","117","106","-9","06:46","9","0","0","0","0","0"
"MQ","12/02/2022","3742","N261NN","DFW","10:20","10:19","80","86","-1","10:33","14","0","0","0","0","0"
"MQ","12/02/2022","3990","N668HH","ORD","12:17","12:11","116","105","-6","12:23","12","0","0","0","0","0"
"MQ","12/02/2023","3652","N237NN","MIA","06:45","06:39","185","211","-6","07:07","28","0","0","20","0","0"
"MQ","12/02/2023","3674","N271NN","DFW","10:09","09:59","86","85","-10","10:12","13","0","0","0","0","0"
"MQ","12/02/2023","3720","N768RD","DFW","05:00","04:51","86","112","-9","05:34","43","0","0","17","0","0"
"MQ","12/02/2023","3818","N783LC","ORD","15:53","15:58","117","97","5","16:08","10","0","0","0","0","0"
"MQ","12/02/2023","3842","N277NN","DFW","12:14","12:11","86","80","-3","12:24","13","0","0","0","0","0"
"MQ","12/03/2021","4146","N923AE","DFW","14:12","14:07","80","78","-5","14:16","9","0","0","0","0","0"
"MQ","12/03/2021","4251","N269NN","DFW","10:29","10:18","83","79","-11","10:34","16","0","0","0","0","0"
"MQ","12/03/2022","3615","N900AE","ORD","06:46","06:36","117","103","-10","06:46","10","0","0","0","0","0"
"MQ","12/03/2022","3742","N206NN","DFW","10:20","10:15","80","84","-5","10:28","13","0","0","0","0","0"
"MQ","12/03/2022","3990","N900AE","ORD","12:17","12:16","116","110","-1","12:30","14","0","0","0","0","0"
"MQ","12/03/2023","3501","N212NN","DFW","20:22","20:42","86","72","20","20:52","10","0","0","0","0","0"
