Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2349","N893AT","ATL","05:50","05:42","132","120","-8","05:54","12","0","0","0","0","0"
"DL","12/01/2021","2468","N970AT","ATL","18:30","18:49","129","113","19","18:57","8","0","0","0","0","0"
"DL","12/01/2021","2728","N974AT","ATL","11:21","11:23","123","110","2","11:33","10","0","0","0","0","0"
"DL","12/01/2022","0986","N933AT","ATL","11:32","11:59","123","105","27","12:07","8","0","0","0","0","0"
"DL","12/01/2022","2800","N965AT","ATL","18:01","18:09","128","110","8","18:18","9","0","0","0","0","0"
"DL","12/01/2022","2823","N966AT","ATL","05:40","07:40","134","107","120","07:49","9","93","0","0","0","0"
"DL","12/01/2023","1637","N981AT","ATL","12:21","12:20","128","113","-1","12:30","10","0","0","0","0","0"
"DL","12/01/2023","2128","N996AT","ATL","17:59","17:49","123","114","-10","17:59","10","0","0","0","0","0"
"DL","12/01/2023","2216","N3756","ATL","05:46","10:25","135","112","279","10:39","14","256","0","0","0","0"
"DL","12/02/2021","2349","N952AT","ATL","05:50","05:44","132","127","-6","05:56","12","0","0","0","0","0"
"DL","12/02/2021","2468","N926AT","ATL","18:30","18:25","129","121","-5","18:35","10","0","0","0","0","0"
"DL","12/02/2021","2728","N946AT","ATL","11:21","11:16","123","111","-5","11:23","7","0","0","0","0","0"
"DL","12/02/2022","0986","N970AT","ATL","11:32","11:51","123","105","19","12:01","10","0","0","0","0","0"
"DL","12/02/2022","2800","N921AT","ATL","18:01","18:09","128","111","8","18:18","9","0","0","0","0","0"
"DL","12/02/2022","2823","N981AT","ATL","05:40","05:37","134","109","-3","05:47","10","0","0","0","0","0"
"DL","12/02/2023","1637","N943AT","ATL","14:00","13:55","125","120","-5","14:03","8","0","0","0","0","0"
"DL","12/02/2023","2216","N3742C","ATL","05:46","05:47","135","158","1","06:15","28","0","0","24","0","0"
"DL","12/03/2021","2349","N943AT","ATL","05:50","05:42","132","117","-8","05:53","11","0","0","0","0","0"
"DL","12/03/2021","2468","N965AT","ATL","18:30","18:25","129","122","-5","18:36","11","0","0","0","0","0"
"DL","12/03/2021","2728","N986AT","ATL","11:21","11:18","123","112","-3","11:27","9","0","0","0","0","0"
"DL","12/03/2022","1400","N928AT","ATL","13:55","14:19","127","114","24","14:33","14","0","0","0","0","0"
"DL","12/03/2022","2823","N942AT","ATL","05:40","05:37","134","113","-3","05:50","13","0","0","0","0","0"
"DL","12/03/2023","1637","N960AT","ATL","12:21","12:17","128","108","-4","12:26","9","0","0","0","0","0"
