Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/03/2021","2199","N301FR","LAS","12:15","13:03","165","159","48","13:31","28","10","0","0","0","32"
"F9","12/06/2021","2199","N380FR","LAS","23:23","23:38","165","175","15","23:48","10","0","0","10","0","15"
"F9","12/10/2021","2199","N360FR","LAS","12:15","12:35","165","165","20","12:44","9","1","0","0","0","19"
"F9","12/13/2021","2199","N349FR","LAS","23:23","23:11","165","163","-12","23:19","8","0","0","0","0","0"
"F9","12/17/2021","2199","N233FR","LAS","12:10","12:03","165","166","-7","12:10","7","0","0","0","0","0"
"F9","12/20/2021","2199","N211FR","LAS","23:19","23:43","165","194","24","23:58","15","2","0","44","0","7"
"F9","12/24/2021","2199","N207FR","LAS","12:10","11:53","165","187","-17","12:04","11","0","0","0","0","0"
"F9","12/27/2021","2199","N301FR","LAS","23:19","01:10","165","172","111","01:18","8","0","0","7","0","111"
"F9","12/31/2021","2199","N338FR","LAS","12:10","13:45","165","185","95","13:55","10","0","0","20","0","95"

 SOURCE: Bureau of Transportation Statistics
