Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2113","N643QX","SEA","14:40","14:39","237","230","-1","14:54","15","0","0","0","0","0"
"QX","12/01/2022","2556","N642QX","SEA","14:05","14:14","242","243","9","14:36","22","0","0","0","0","0"
"QX","12/01/2023","2117","N642QX","SEA","13:48","14:05","238","247","17","14:16","11","0","0","9","0","17"
"QX","12/02/2021","2113","N643QX","SEA","14:40","14:34","237","225","-6","14:45","11","0","0","0","0","0"
"QX","12/02/2022","2556","N642QX","SEA","14:05","14:12","242","247","7","14:23","11","0","0","0","0","0"
"QX","12/03/2021","2113","N643QX","SEA","14:40","14:37","237","225","-3","14:51","14","0","0","0","0","0"
"QX","12/03/2022","2556","N628QX","SEA","14:05","14:06","242","253","1","14:23","17","0","0","0","0","0"
"QX","12/03/2023","2117","N657QX","SEA","13:48","13:40","238","250","-8","13:49","9","0","0","0","0","0"
"QX","12/04/2022","2556","N628QX","SEA","14:05","13:58","242","236","-7","14:10","12","0","0","0","0","0"
"QX","12/04/2023","2117","N633QX","SEA","13:48","13:57","238","240","9","14:09","12","0","0","0","0","0"
"QX","12/05/2021","2113","N625QX","SEA","14:40","14:33","237","253","-7","14:43","10","0","0","0","0","0"
"QX","12/05/2022","2556","N622QX","SEA","14:05","14:00","242","241","-5","14:10","10","0","0","0","0","0"
"QX","12/06/2021","2113","N651QX","SEA","14:40","14:38","237","243","-2","14:49","11","0","0","0","0","0"
"QX","12/06/2022","2556","N629QX","SEA","14:05","13:56","242","232","-9","14:06","10","0","0","0","0","0"
"QX","12/06/2023","2117","N653QX","SEA","13:48","13:48","238","212","0","13:59","11","0","0","0","0","0"
"QX","12/07/2022","2556","N643QX","SEA","14:05","14:00","242","232","-5","14:13","13","0","0","0","0","0"
"QX","12/07/2023","2117","N646QX","SEA","13:48","14:11","238","227","23","14:21","10","0","0","0","0","0"
"QX","12/08/2021","2113","N627QX","SEA","14:40","14:29","237","230","-11","14:43","14","0","0","0","0","0"
"QX","12/08/2022","2556","N635QX","SEA","14:05","14:02","242","222","-3","14:12","10","0","0","0","0","0"
"QX","12/08/2023","2117","N642QX","SEA","13:48","13:42","238","235","-6","13:55","13","0","0","0","0","0"
"QX","12/09/2021","2113","N644QX","SEA","14:40","14:36","237","240","-4","14:47","11","0","0","0","0","0"
"QX","12/09/2022","2556","N641QX","SEA","14:05","14:01","242","232","-4","14:12","11","0","0","0","0","0"
"QX","12/10/2021","2113","N634QX","SEA","14:40","14:35","237","229","-5","14:46","11","0","0","0","0","0"
"QX","12/10/2022","2556","N631QX","SEA","14:05","14:01","242","240","-4","14:14","13","0","0","0","0","0"
"QX","12/10/2023","2117","N654QX","SEA","13:48","14:04","238","257","16","14:19","15","2","0","19","0","14"
"QX","12/11/2022","2556","N636QX","SEA","14:05","14:14","242","215","9","14:26","12","0","0","0","0","0"
