Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5907","N924FJ","DFW","12:23","12:20","81","78","-3","12:32","12","0","0","0","0","0"
"YV","12/01/2023","6113","N946LR","IAH","16:46","17:28","121","136","42","17:42","14","0","0","15","0","42"
"YV","12/01/2023","6150","N951LR","DEN","17:13","17:06","106","92","-7","17:22","16","0","0","0","0","0"
"YV","12/01/2023","6173","N246LR","IAH","06:48","08:51","120","112","123","09:07","16","115","0","0","0","0"
"YV","12/01/2023","6248","N934FJ","DEN","06:00","05:58","112","85","-2","06:11","13","0","0","0","0","0"
"YV","12/01/2023","6250","N946LR","DEN","13:52","13:41","102","93","-11","14:01","20","0","0","0","0","0"
"YV","12/02/2021","5907","N920FJ","DFW","12:23","13:54","81","69","91","14:05","11","0","0","0","0","79"
"YV","12/02/2023","6113","N244LR","IAH","16:46","23:16","121","153","390","00:20","64","0","0","32","0","390"
"YV","12/02/2023","6150","N943LR","DEN","17:13","17:05","106","108","-8","17:17","12","0","0","0","0","0"
"YV","12/02/2023","6173","N946LR","IAH","06:48","14:35","120","106","467","14:47","12","453","0","0","0","0"
"YV","12/02/2023","6248","N934FJ","DEN","06:00","05:57","112","100","-3","06:21","24","0","0","0","0","0"
"YV","12/02/2023","6250","N950LR","DEN","13:52","13:46","102","83","-6","13:58","12","0","0","0","0","0"
"YV","12/03/2021","5907","","DFW","12:23","00:00","81","0","0","00:00","0","0","0","0","0","0"
"YV","12/03/2023","6113","N951LR","IAH","16:46","16:39","121","114","-7","17:00","21","0","0","0","0","0"
"YV","12/03/2023","6150","N245LR","DEN","17:13","17:43","106","102","30","17:57","14","0","0","0","0","26"
"YV","12/03/2023","6173","N933LR","IAH","06:48","06:51","120","122","3","07:16","25","0","0","0","0","0"
"YV","12/03/2023","6248","N951LR","DEN","06:00","05:47","112","113","-13","06:17","30","0","0","0","0","0"
"YV","12/03/2023","6250","N244LR","DEN","13:52","21:52","102","96","480","22:08","16","0","0","0","0","474"
"YV","12/04/2021","5907","N922FJ","DFW","12:23","12:15","81","88","-8","12:38","23","0","0","0","0","0"
"YV","12/04/2023","6113","N944LR","IAH","16:46","16:43","121","108","-3","16:52","9","0","0","0","0","0"
"YV","12/04/2023","6150","N948LR","DEN","17:13","17:10","106","96","-3","17:30","20","0","0","0","0","0"
"YV","12/04/2023","6173","N905J","IAH","06:48","06:46","120","122","-2","07:06","20","0","0","0","0","0"
"YV","12/04/2023","6248","N930LR","DEN","06:00","06:02","112","94","2","06:16","14","0","0","0","0","0"
"YV","12/04/2023","6250","N244LR","DEN","13:52","13:54","102","82","2","14:04","10","0","0","0","0","0"
"YV","12/05/2021","5907","N904FJ","DFW","12:23","13:07","81","70","44","13:15","8","5","0","0","0","28"
"YV","12/05/2023","6113","N946LR","IAH","16:46","16:39","121","112","-7","16:52","13","0","0","0","0","0"
"YV","12/05/2023","6150","N934FJ","DEN","17:13","17:06","106","116","-7","17:45","39","0","0","0","0","0"
"YV","12/05/2023","6173","N930LR","IAH","06:48","06:43","120","100","-5","06:54","11","0","0","0","0","0"
"YV","12/05/2023","6248","N905J","DEN","06:00","05:51","112","95","-9","06:06","15","0","0","0","0","0"
"YV","12/05/2023","6250","N943LR","DEN","13:52","15:00","102","88","68","15:16","16","0","0","0","0","54"
"YV","12/06/2021","5907","","DFW","12:23","00:00","81","0","0","00:00","0","0","0","0","0","0"
"YV","12/06/2023","6113","N943LR","IAH","16:46","16:40","121","104","-6","16:51","11","0","0","0","0","0"
"YV","12/06/2023","6150","N947LR","DEN","17:13","19:50","106","80","157","20:02","12","131","0","0","0","0"
"YV","12/06/2023","6173","N948LR","IAH","06:48","06:55","120","99","7","07:07","12","0","0","0","0","0"
"YV","12/06/2023","6248","N902FJ","DEN","06:00","05:48","112","85","-12","06:02","14","0","0","0","0","0"
"YV","12/06/2023","6250","N938LR","DEN","13:52","17:31","102","97","219","17:53","22","1","0","0","0","213"
"YV","12/07/2021","5907","N928LR","DFW","12:23","00:00","81","0","0","00:00","0","0","0","0","0","0"
"YV","12/07/2023","6113","N927LR","IAH","16:46","16:36","121","99","-10","16:47","11","0","0","0","0","0"
"YV","12/07/2023","6150","N241LR","DEN","17:13","17:46","106","89","33","17:59","13","0","16","0","0","0"
"YV","12/07/2023","6173","N950LR","IAH","06:48","06:40","120","109","-8","06:52","12","0","0","0","0","0"
"YV","12/07/2023","6248","N902FJ","DEN","06:00","05:56","112","84","-4","06:09","13","0","0","0","0","0"
"YV","12/07/2023","6250","N938LR","DEN","13:52","13:46","102","95","-6","14:04","18","0","0","0","0","0"
"YV","12/08/2021","5907","N326MS","DFW","12:23","12:19","81","76","-4","12:32","13","0","0","0","0","0"
"YV","12/08/2023","6113","N241LR","IAH","16:46","16:42","121","116","-4","16:57","15","0","0","0","0","0"
"YV","12/08/2023","6150","N905J","DEN","17:13","17:05","106","126","-8","17:52","47","0","0","0","0","0"
"YV","12/08/2023","6173","N905J","IAH","06:48","06:47","120","117","-1","07:09","22","0","0","0","0","0"
"YV","12/08/2023","6248","N927LR","DEN","06:00","05:50","112","93","-10","06:09","19","0","0","0","0","0"
"YV","12/08/2023","6250","N246LR","DEN","13:52","13:56","102","116","4","14:39","43","0","0","18","0","0"
"YV","12/09/2021","5907","N921FJ","DFW","12:23","12:17","81","79","-6","12:34","17","0","0","0","0","0"
"YV","12/09/2023","6113","N241LR","IAH","16:46","19:17","121","112","151","19:33","16","0","0","0","0","142"
"YV","12/09/2023","6150","N922FJ","DEN","17:13","17:12","106","94","-1","17:24","12","0","0","0","0","0"
"YV","12/09/2023","6173","N950LR","IAH","06:48","07:00","120","104","12","07:13","13","0","0","0","0","0"
"YV","12/09/2023","6248","N246LR","DEN","06:00","14:55","112","95","535","15:14","19","79","0","0","0","439"
"YV","12/09/2023","6250","N943LR","DEN","13:52","14:10","102","90","18","14:28","18","0","0","0","0","0"
