Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3105","N761ND","ORD","07:36","07:29","127","119","-7","07:45","16","0","0","0","0","0"
"OO","12/01/2021","3138","N750SK","DFW","16:39","16:32","77","77","-7","16:41","9","0","0","0","0","0"
"OO","12/01/2021","3167","N701SK","ORD","15:45","15:35","116","121","-10","15:53","18","0","0","0","0","0"
"OO","12/01/2021","3287","N724SK","ORD","13:21","13:10","118","110","-11","13:20","10","0","0","0","0","0"
"OO","12/01/2021","3635","N277SY","MSP","07:18","07:12","112","114","-6","07:22","10","0","0","0","0","0"
"OO","12/01/2021","3686","N604CZ","MSP","17:12","17:07","103","108","-5","17:17","10","0","0","0","0","0"
"OO","12/01/2021","4797","N133SY","ORD","06:00","05:49","127","139","-11","06:08","19","0","0","0","0","0"
"OO","12/01/2021","4800","N945SW","IAH","11:40","11:30","120","104","-10","11:46","16","0","0","0","0","0"
"OO","12/01/2021","4801","N468CA","ORD","13:45","13:45","126","110","0","13:56","11","0","0","0","0","0"
"OO","12/01/2021","4807","N693BR","ORD","18:15","18:08","130","117","-7","18:21","13","0","0","0","0","0"
"OO","12/01/2021","5669","N900EV","IAH","16:40","16:43","120","114","3","17:02","19","0","0","0","0","0"
"OO","12/01/2021","5867","N945SW","DEN","17:15","17:01","104","97","-14","17:18","17","0","0","0","0","0"
"OO","12/01/2022","3138","N724EV","DFW","14:50","14:47","85","88","-3","15:05","18","0","0","0","0","0"
"OO","12/01/2022","3601","N305SY","MSP","12:54","12:54","109","105","0","13:07","13","0","0","0","0","0"
"OO","12/01/2022","4800","N900EV","IAH","11:42","11:33","118","108","-9","11:48","15","0","0","0","0","0"
"OO","12/01/2022","5249","N202SY","ORD","14:30","14:27","121","99","-3","14:37","10","0","0","0","0","0"
"OO","12/01/2022","5351","N623UX","DEN","09:40","11:15","101","93","95","11:24","9","87","0","0","0","0"
"OO","12/01/2022","5867","N930SW","DEN","17:22","17:13","103","108","-9","17:37","24","0","0","0","0","0"
"OO","12/01/2023","3067","N708EV","DFW","16:09","16:04","91","92","-5","16:18","14","0","0","0","0","0"
"OO","12/01/2023","3232","N708SK","PHX","06:00","05:51","156","156","-9","06:05","14","0","0","0","0","0"
"OO","12/01/2023","3892","N316SY","MSP","07:34","08:01","116","100","27","08:17","16","0","0","0","0","0"
"OO","12/01/2023","4771","N130SY","ORD","14:50","14:48","118","112","-2","15:10","22","0","0","0","0","0"
"OO","12/01/2023","4800","N944SW","IAH","11:43","11:33","117","119","-10","11:43","10","0","0","0","0","0"
"OO","12/01/2023","5565","N120SY","ORD","12:05","11:55","117","101","-10","12:08","13","0","0","0","0","0"
"OO","12/02/2021","3105","N738EV","ORD","07:36","07:26","127","117","-10","07:42","16","0","0","0","0","0"
"OO","12/02/2021","3138","N730EV","DFW","16:39","16:31","77","76","-8","16:45","14","0","0","0","0","0"
"OO","12/02/2021","3167","N755SK","ORD","15:49","15:48","116","109","-1","15:59","11","0","0","0","0","0"
"OO","12/02/2021","3287","N761ND","ORD","13:32","13:43","118","106","11","13:53","10","0","0","0","0","0"
"OO","12/02/2021","3635","N258SY","MSP","07:18","07:12","112","91","-6","07:20","8","0","0","0","0","0"
"OO","12/02/2021","3686","N258SY","MSP","17:12","17:06","103","107","-6","17:19","13","0","0","0","0","0"
"OO","12/02/2021","4797","N150SY","ORD","06:00","05:50","127","118","-10","06:01","11","0","0","0","0","0"
"OO","12/02/2021","4800","N693BR","IAH","11:40","11:39","120","102","-1","11:47","8","0","0","0","0","0"
"OO","12/02/2021","4801","N468CA","ORD","13:45","15:25","126","106","100","15:39","14","80","0","0","0","0"
"OO","12/02/2021","4807","N957SW","ORD","18:15","18:05","130","113","-10","18:20","15","0","0","0","0","0"
"OO","12/02/2021","5669","N925EV","IAH","16:40","16:35","120","111","-5","16:49","14","0","0","0","0","0"
"OO","12/02/2021","5867","N699BR","DEN","17:15","17:08","104","109","-7","17:21","13","0","0","0","0","0"
"OO","12/02/2022","3138","N716SK","DFW","14:50","15:07","85","78","17","15:17","10","0","0","0","0","0"
"OO","12/02/2022","3601","N241SY","MSP","12:54","12:47","109","89","-7","12:57","10","0","0","0","0","0"
"OO","12/02/2022","4800","N916SW","IAH","11:42","11:41","118","109","-1","11:54","13","0","0","0","0","0"
"OO","12/02/2022","5249","N108SY","ORD","14:30","14:28","121","106","-2","14:41","13","0","0","0","0","0"
"OO","12/02/2022","5351","N167SY","DEN","09:40","09:37","101","127","-3","10:14","37","23","0","0","0","0"
"OO","12/02/2022","5867","N910SW","DEN","17:22","17:17","103","107","-5","17:35","18","0","0","0","0","0"
"OO","12/02/2023","3067","N614QX","DFW","16:09","17:23","91","82","74","17:41","18","65","0","0","0","0"
"OO","12/02/2023","3232","N716SK","PHX","08:30","08:20","156","158","-10","08:35","15","0","0","0","0","0"
"OO","12/02/2023","3892","N293SY","MSP","07:34","07:32","116","114","-2","08:01","29","0","0","0","0","0"
"OO","12/02/2023","4771","N118SY","ORD","14:50","14:46","118","114","-4","15:12","26","0","0","0","0","0"
"OO","12/02/2023","4800","N246PS","IAH","11:43","11:37","117","116","-6","11:51","14","0","0","0","0","0"
"OO","12/03/2021","3105","N719SK","ORD","07:36","07:46","127","109","10","08:06","20","0","0","0","0","0"
"OO","12/03/2021","3138","N742SK","DFW","16:39","16:29","77","79","-10","16:44","15","0","0","0","0","0"
"OO","12/03/2021","3167","N776SK","ORD","15:49","15:39","116","102","-10","15:50","11","0","0","0","0","0"
"OO","12/03/2021","3287","N504SY","ORD","13:32","13:24","118","122","-8","13:46","22","0","0","0","0","0"
"OO","12/03/2021","3635","N258SY","MSP","07:18","07:12","112","99","-6","07:19","7","0","0","0","0","0"
"OO","12/03/2021","3686","N258SY","MSP","17:12","17:07","103","109","-5","17:26","19","0","0","0","0","0"
"OO","12/03/2021","4797","N166SY","ORD","06:00","05:53","127","114","-7","06:06","13","0","0","0","0","0"
"OO","12/03/2021","4800","N463SW","IAH","11:40","11:34","120","108","-6","11:43","9","0","0","0","0","0"
"OO","12/03/2021","4801","N908SW","ORD","13:45","13:40","126","101","-5","13:52","12","0","0","0","0","0"
"OO","12/03/2021","4807","N464SW","ORD","18:15","18:16","130","108","1","18:32","16","0","0","0","0","0"
"OO","12/03/2021","5669","N944SW","IAH","16:40","16:35","120","114","-5","16:47","12","0","0","0","0","0"
