Detailed Statistics Departures  
Origin Airport: Wichita, KS: Wichita Dwight D Eisenhower National (ICT)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2022","1965","N76254","DEN","06:01","05:56","98","83","-5","06:06","10","0","0","0","0","0"
"UA","12/01/2022","2298","N812UA","ORD","07:30","07:20","111","105","-10","07:31","11","0","0","0","0","0"
"UA","12/01/2023","1348","N436UA","ORD","07:40","07:33","117","98","-7","07:44","11","0","0","0","0","0"
"UA","12/01/2023","2101","N76502","DEN","09:20","09:11","101","130","-9","09:25","14","0","0","20","0","0"
"UA","12/02/2022","1965","N77538","DEN","06:01","05:53","98","92","-8","06:09","16","0","0","0","0","0"
"UA","12/02/2022","2298","N814UA","ORD","07:30","07:27","111","103","-3","07:38","11","0","0","0","0","0"
"UA","12/02/2023","1348","N823UA","ORD","07:40","07:31","117","117","-9","07:54","23","0","0","0","0","0"
"UA","12/02/2023","2101","N14228","DEN","09:20","09:04","101","98","-16","09:23","19","0","0","0","0","0"
"UA","12/03/2021","1467","N35236","DEN","06:15","06:20","97","87","5","06:30","10","0","0","0","0","0"
"UA","12/03/2022","1965","N37541","DEN","06:01","05:55","98","94","-6","06:09","14","0","0","0","0","0"
"UA","12/03/2022","2298","N874UA","ORD","07:30","07:20","111","105","-10","07:35","15","0","0","0","0","0"
"UA","12/03/2023","1348","N17322","ORD","07:40","07:39","117","123","-1","08:03","24","0","0","0","0","0"
"UA","12/03/2023","2101","N47524","DEN","09:20","09:12","101","148","-8","10:13","61","0","0","39","0","0"
"UA","12/04/2021","0676","N54241","DEN","06:15","06:09","97","84","-6","06:22","13","0","0","0","0","0"
"UA","12/04/2022","1965","N18223","DEN","06:01","06:00","98","95","-1","06:12","12","0","0","0","0","0"
"UA","12/04/2022","2298","N826UA","ORD","07:30","07:19","111","92","-11","07:29","10","0","0","0","0","0"
"UA","12/04/2023","1348","N440UA","ORD","07:40","07:46","117","110","6","07:58","12","0","0","0","0","0"
"UA","12/04/2023","2101","N17321","DEN","09:20","09:11","101","85","-9","09:26","15","0","0","0","0","0"
"UA","12/05/2021","0676","N34222","DEN","06:15","06:05","97","86","-10","06:15","10","0","0","0","0","0"
"UA","12/05/2022","1965","N76502","DEN","06:01","06:00","98","90","-1","06:13","13","0","0","0","0","0"
"UA","12/05/2022","2298","N834UA","ORD","07:30","07:24","111","103","-6","07:43","19","0","0","0","0","0"
"UA","12/05/2023","1348","N422UA","ORD","07:40","07:40","117","103","0","07:51","11","0","0","0","0","0"
"UA","12/05/2023","2101","N37541","DEN","09:20","09:12","101","113","-8","09:38","26","0","0","0","0","0"
"UA","12/06/2021","0676","N35236","DEN","06:15","06:05","97","91","-10","06:17","12","0","0","0","0","0"
"UA","12/06/2022","1965","N77261","DEN","06:01","05:54","98","84","-7","06:05","11","0","0","0","0","0"
"UA","12/06/2022","2298","N850UA","ORD","07:30","07:19","111","105","-11","07:31","12","0","0","0","0","0"
"UA","12/06/2023","1348","N490UA","ORD","07:40","07:31","117","128","-9","07:58","27","0","0","0","0","0"
"UA","12/06/2023","2101","N849UA","DEN","09:20","09:13","101","90","-7","09:24","11","0","0","0","0","0"
"UA","12/07/2021","0676","N33209","DEN","06:15","06:09","97","86","-6","06:17","8","0","0","0","0","0"
"UA","12/07/2022","1965","N77520","DEN","06:01","05:55","98","88","-6","06:07","12","0","0","0","0","0"
"UA","12/07/2022","2298","N822UA","ORD","07:30","07:34","111","97","4","07:44","10","0","0","0","0","0"
"UA","12/07/2023","1348","N478UA","ORD","07:40","07:31","117","112","-9","07:42","11","0","0","0","0","0"
"UA","12/07/2023","2101","N37295","DEN","09:20","09:09","101","106","-11","09:20","11","0","0","0","0","0"
"UA","12/08/2022","1965","N79521","DEN","06:01","05:55","98","82","-6","06:08","13","0","0","0","0","0"
"UA","12/08/2022","2298","N829UA","ORD","07:30","07:22","111","98","-8","07:30","8","0","0","0","0","0"
"UA","12/08/2023","1348","N475UA","ORD","07:40","07:39","117","104","-1","07:50","11","0","0","0","0","0"
"UA","12/08/2023","2101","N17306","DEN","09:20","09:12","101","125","-8","09:57","45","0","0","16","0","0"
"UA","12/09/2022","1965","N73270","DEN","06:01","05:59","98","96","-2","06:20","21","0","0","0","0","0"
"UA","12/09/2022","2298","N878UA","ORD","07:30","07:28","111","99","-2","07:38","10","0","0","0","0","0"
"UA","12/09/2023","1348","N853UA","ORD","07:40","07:36","117","100","-4","07:46","10","0","0","0","0","0"
"UA","12/09/2023","2101","N67815","DEN","09:20","09:15","101","98","-5","09:26","11","0","0","0","0","0"
"UA","12/10/2021","0676","N77520","DEN","06:15","06:12","97","91","-3","06:23","11","0","0","0","0","0"
"UA","12/10/2022","1965","N76515","DEN","06:01","05:58","98","90","-3","06:10","12","0","0","0","0","0"
"UA","12/10/2022","2298","N836UA","ORD","07:30","14:23","111","97","413","14:35","12","399","0","0","0","0"
"UA","12/10/2023","1348","N17245","ORD","07:40","07:32","117","118","-8","07:45","13","0","0","0","0","0"
"UA","12/10/2023","2101","N27520","DEN","09:20","09:12","101","115","-8","09:52","40","0","0","0","0","0"
"UA","12/11/2021","0676","N39450","DEN","06:15","06:07","97","89","-8","06:19","12","0","0","0","0","0"
