Detailed Statistics Departures  
Origin Airport: Williston, ND: Williston Basin International (XWA)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4260","N931EV","MSP","15:20","15:22","116","103","2","15:41","19","0","0","0","0","0"
"OO","12/01/2021","4323","N922EV","MSP","12:42","12:48","115","88","6","12:57","9","0","0","0","0","0"
"OO","12/01/2021","5598","N964SW","DEN","07:45","07:39","131","105","-6","07:56","17","0","0","0","0","0"
"OO","12/01/2021","5834","N874AS","DEN","15:40","15:28","120","133","-12","15:56","28","0","0","0","0","0"
"OO","12/01/2022","4239","N873AS","MSP","06:14","06:11","121","102","-3","06:35","24","0","0","0","0","0"
"OO","12/01/2022","5225","N487CA","DEN","15:13","15:06","124","120","-7","15:29","23","0","0","0","0","0"
"OO","12/01/2022","5598","N983SW","DEN","05:30","05:26","146","130","-4","05:57","31","0","0","0","0","0"
"OO","12/01/2023","4261","N712EV","MSP","15:50","15:45","124","95","-5","15:58","13","0","0","0","0","0"
"OO","12/01/2023","4296","N625CA","MSP","07:00","07:02","135","95","2","07:16","14","0","0","0","0","0"
"OO","12/01/2023","5315","N793SK","DEN","07:15","07:07","131","120","-8","07:31","24","0","0","0","0","0"
"OO","12/01/2023","5344","N954SW","DEN","11:25","11:05","136","118","-20","11:25","20","0","0","0","0","0"
"OO","12/01/2023","5581","N930SW","DEN","15:24","15:29","136","117","5","15:44","15","0","0","0","0","0"
"OO","12/02/2021","4260","N873AS","MSP","15:20","15:12","116","101","-8","15:35","23","0","0","0","0","0"
"OO","12/02/2021","4323","N922EV","MSP","12:42","12:46","115","93","4","12:59","13","0","0","0","0","0"
"OO","12/02/2021","5598","N982SW","DEN","07:45","07:39","131","100","-6","07:50","11","0","0","0","0","0"
"OO","12/02/2021","5834","N973SW","DEN","15:40","15:38","120","111","-2","15:54","16","0","0","0","0","0"
"OO","12/02/2022","4239","N459SW","MSP","06:14","06:13","121","127","-1","06:56","43","0","0","0","0","0"
"OO","12/02/2022","4260","N446SW","MSP","15:30","15:29","120","104","-1","15:41","12","0","0","0","0","0"
"OO","12/02/2022","5225","N913EV","DEN","15:13","15:08","124","123","-5","15:23","15","0","0","0","0","0"
"OO","12/02/2022","5598","N930SW","DEN","05:30","05:19","146","127","-11","05:38","19","0","0","0","0","0"
"OO","12/02/2023","4261","N712SK","MSP","15:50","15:48","124","93","-2","15:59","11","0","0","0","0","0"
"OO","12/02/2023","4296","N712EV","MSP","07:00","07:25","135","108","25","07:57","32","0","0","0","0","0"
"OO","12/02/2023","5315","N792SK","DEN","07:15","07:19","131","143","4","08:10","51","4","0","12","0","0"
