Detailed Statistics Departures  
Origin Airport: Wilmington, NC: Wilmington International (ILM)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1330","N924AT","ATL","06:35","06:34","93","80","-1","06:44","10","0","0","0","0","0"
"DL","12/01/2021","2544","N979AT","ATL","16:45","16:46","92","79","1","16:56","10","0","0","0","0","0"
"DL","12/01/2022","1274","N996AT","ATL","06:15","06:12","105","80","-3","06:23","11","0","0","0","0","0"
"DL","12/01/2023","1135","N603AT","ATL","12:17","12:11","98","92","-6","12:25","14","0","0","0","0","0"
"DL","12/01/2023","2378","N603AT","ATL","17:00","16:54","94","92","-6","17:05","11","0","0","0","0","0"
"DL","12/01/2023","2928","N930AT","ATL","06:00","05:59","94","82","-1","06:09","10","0","0","0","0","0"
"DL","12/02/2021","1330","N989AT","ATL","06:35","06:34","93","73","-1","06:44","10","0","0","0","0","0"
"DL","12/02/2021","2862","N943AT","ATL","17:45","17:41","92","81","-4","17:55","14","0","0","0","0","0"
"DL","12/02/2022","1274","N925AT","ATL","06:30","06:24","99","81","-6","06:35","11","0","0","0","0","0"
"DL","12/02/2023","2928","N982AT","ATL","06:00","05:59","94","91","-1","06:15","16","0","0","0","0","0"
"DL","12/03/2021","1330","N986AT","ATL","06:35","06:39","93","82","4","06:53","14","0","0","0","0","0"
"DL","12/03/2021","2862","N966AT","ATL","17:45","17:44","92","79","-1","17:57","13","0","0","0","0","0"
"DL","12/03/2022","1274","N988AT","ATL","06:15","06:23","105","84","8","06:36","13","0","0","0","0","0"
"DL","12/03/2023","2378","N940AT","ATL","17:00","16:54","94","99","-6","17:07","13","0","0","0","0","0"
"DL","12/03/2023","2928","N940AT","ATL","06:00","05:55","94","94","-5","06:14","19","0","0","0","0","0"
