Detailed Statistics Departures  
Origin Airport: Wilmington, NC: Wilmington International (ILM)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4122","N286NN","DFW","15:32","15:28","206","196","-4","15:45","17","0","0","0","0","0"
"MQ","12/01/2023","4122","N265NN","DFW","17:32","17:27","208","200","-5","17:41","14","0","0","0","0","0"
"MQ","12/02/2021","4122","N213NN","DFW","15:32","15:49","206","192","17","16:02","13","0","0","0","0","0"
"MQ","12/02/2023","4122","N304KM","DFW","17:32","17:22","208","224","-10","17:33","11","0","0","0","0","0"
"MQ","12/03/2021","4122","N241NN","DFW","15:32","15:27","206","178","-5","15:36","9","0","0","0","0","0"
"MQ","12/03/2023","4122","N272NN","DFW","17:32","17:28","208","221","-4","17:40","12","0","0","0","0","0"
"MQ","12/04/2021","4122","N221NN","DFW","15:32","15:35","206","188","3","15:47","12","0","0","0","0","0"
"MQ","12/04/2023","4122","N249NN","DFW","17:32","17:26","208","199","-6","17:36","10","0","0","0","0","0"
"MQ","12/05/2021","4122","N219NN","DFW","15:32","15:31","206","201","-1","15:43","12","0","0","0","0","0"
"MQ","12/05/2023","4122","N252NN","DFW","17:29","18:02","211","194","33","18:12","10","0","0","4","0","12"
"MQ","12/06/2021","4122","N271NN","DFW","15:32","15:29","206","204","-3","15:41","12","0","0","0","0","0"
"MQ","12/06/2023","4122","N228NN","DFW","17:29","17:34","211","193","5","17:44","10","0","0","0","0","0"
"MQ","12/07/2021","4122","N217NN","DFW","15:32","15:29","206","188","-3","15:37","8","0","0","0","0","0"
"MQ","12/07/2023","4122","N230NN","DFW","17:29","17:28","211","205","-1","17:40","12","0","0","0","0","0"
"MQ","12/08/2021","4122","N277NN","DFW","15:32","15:55","206","187","23","16:05","10","0","0","0","0","0"
"MQ","12/08/2023","4122","N243NN","DFW","17:29","17:29","211","194","0","17:42","13","0","0","0","0","0"
"MQ","12/09/2021","4122","N229NN","DFW","15:32","15:31","206","201","-1","15:40","9","0","0","0","0","0"
