Detailed Statistics Departures  
Origin Airport: Wilmington, NC: Wilmington International (ILM)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","4579","N107HQ","LGA","11:07","10:59","101","116","-8","11:13","14","0","0","0","0","0"
"YX","12/01/2021","4791","N426YX","LGA","06:02","05:52","97","103","-10","06:05","13","0","0","0","0","0"
"YX","12/01/2021","4855","N101HQ","LGA","18:40","18:38","99","102","-2","18:52","14","0","0","0","0","0"
"YX","12/01/2022","3435","N643RW","EWR","17:31","18:04","104","144","33","18:51","47","6","0","40","0","27"
"YX","12/01/2022","3566","N730YX","EWR","06:00","06:00","104","107","0","06:16","16","0","0","0","0","0"
"YX","12/01/2022","4712","N114HQ","LGA","06:08","06:01","102","97","-7","06:17","16","0","0","0","0","0"
"YX","12/01/2022","4717","N425YX","LGA","11:22","11:16","105","101","-6","11:29","13","0","0","0","0","0"
"YX","12/01/2022","4734","N135HQ","LGA","19:30","19:24","105","101","-6","19:40","16","0","0","0","0","0"
"YX","12/01/2023","3404","N731YX","EWR","14:43","14:42","107","115","-1","15:03","21","0","0","0","0","0"
"YX","12/01/2023","3566","N725YX","EWR","06:00","05:55","107","101","-5","06:07","12","0","0","0","0","0"
"YX","12/01/2023","4422","N129HQ","LGA","10:40","10:54","100","103","14","11:14","20","0","0","3","0","14"
"YX","12/02/2021","4579","N867RW","LGA","11:07","10:58","101","113","-9","11:24","26","0","0","0","0","0"
"YX","12/02/2021","4791","N434YX","LGA","06:02","05:58","97","111","-4","06:09","11","0","0","0","0","0"
"YX","12/02/2021","4855","N423YX","LGA","18:40","18:46","100","117","6","19:13","27","0","6","17","0","0"
"YX","12/02/2022","3435","N728YX","EWR","17:48","17:44","104","105","-4","17:54","10","0","0","0","0","0"
"YX","12/02/2022","3566","N728YX","EWR","06:00","05:57","104","163","-3","07:11","74","0","0","56","0","0"
"YX","12/02/2022","4712","N872RW","LGA","06:08","06:02","102","115","-6","06:30","28","0","0","0","0","0"
"YX","12/02/2022","4717","N110HQ","LGA","11:22","11:12","105","89","-10","11:21","9","0","0","0","0","0"
"YX","12/02/2022","4734","N418YX","LGA","19:30","19:20","105","105","-10","19:36","16","0","0","0","0","0"
"YX","12/02/2023","4422","N429YX","LGA","12:30","12:43","100","89","13","12:55","12","0","0","0","0","0"
"YX","12/02/2023","4442","N420YX","MIA","06:09","06:01","117","118","-8","06:17","16","0","0","0","0","0"
"YX","12/03/2021","4579","N806MD","LGA","11:07","11:32","101","91","25","11:43","11","0","0","0","0","15"
"YX","12/03/2021","4791","N448YX","LGA","06:02","05:56","97","99","-6","06:09","13","0","0","0","0","0"
"YX","12/03/2021","4855","N869RW","LGA","18:40","18:48","100","99","8","19:04","16","0","0","0","0","0"
"YX","12/03/2022","3435","N633RW","EWR","17:31","17:23","104","106","-8","17:42","19","0","0","0","0","0"
"YX","12/03/2022","3566","N642RW","EWR","06:00","05:52","104","107","-8","06:08","16","0","0","0","0","0"
"YX","12/03/2022","4712","N445YX","LGA","07:59","07:56","102","109","-3","08:09","13","0","0","0","0","0"
"YX","12/03/2022","4717","N418YX","LGA","11:22","11:16","105","99","-6","11:34","18","0","0","0","0","0"
"YX","12/03/2023","3404","N753YX","EWR","14:43","14:39","107","109","-4","15:06","27","0","0","0","0","0"
"YX","12/03/2023","3566","N739YX","EWR","06:00","06:11","107","110","11","06:42","31","0","0","0","0","0"
"YX","12/03/2023","4422","N132HQ","LGA","10:20","10:14","100","92","-6","10:31","17","0","0","0","0","0"
"YX","12/03/2023","4423","N440YX","LGA","17:11","17:01","98","98","-10","17:19","18","0","0","0","0","0"
"YX","12/04/2021","4579","N409YX","LGA","12:34","12:28","101","97","-6","12:41","13","0","0","0","0","0"
"YX","12/04/2021","4696","N405YX","DCA","10:40","10:35","79","96","-5","11:17","42","0","0","0","0","0"
"YX","12/04/2021","4791","N409YX","LGA","07:42","07:36","98","94","-6","07:48","12","0","0","0","0","0"
