Detailed Statistics Departures  
Origin Airport: Worcester, MA: Worcester Regional (ORH)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0671","N258JB","JFK","07:00","06:47","58","111","-13","07:09","22","0","0","40","0","0"
"B6","12/01/2021","1271","N187JB","JFK","12:05","11:58","50","56","-7","12:09","11","0","0","0","0","0"
"B6","12/01/2021","2119","N324JB","FLL","06:00","05:55","198","195","-5","06:19","24","0","0","0","0","0"
"B6","12/01/2022","0671","N348JB","JFK","06:05","05:56","67","56","-9","06:07","11","0","0","0","0","0"
"B6","12/01/2022","1271","N309JB","JFK","16:59","16:52","61","70","-7","17:17","25","0","0","0","0","0"
"B6","12/01/2022","2119","N625JB","FLL","15:35","15:35","196","175","0","15:44","9","0","0","0","0","0"
"B6","12/01/2023","0987","N638JB","MCO","13:45","14:04","189","171","19","14:15","11","0","0","0","0","0"
"B6","12/01/2023","2119","N583JB","FLL","16:10","16:01","192","185","-9","16:10","9","0","0","0","0","0"
"B6","12/02/2021","0671","N184JB","JFK","07:00","06:57","58","51","-3","07:06","9","0","0","0","0","0"
"B6","12/02/2021","1271","N306JB","JFK","12:05","11:55","50","50","-10","12:04","9","0","0","0","0","0"
"B6","12/02/2021","2119","N334JB","FLL","06:00","06:00","198","177","0","06:10","10","0","0","0","0","0"
"B6","12/02/2022","0671","N284JB","JFK","06:05","06:06","67","89","1","06:51","45","1","0","22","0","0"
"B6","12/02/2022","1271","N329JB","JFK","16:59","16:45","61","55","-14","16:54","9","0","0","0","0","0"
"B6","12/02/2022","2119","N796JB","FLL","15:35","15:34","196","178","-1","15:52","18","0","0","0","0","0"
"B6","12/02/2023","0987","N639JB","MCO","13:45","13:51","189","199","6","14:13","22","2","0","10","0","4"
"B6","12/02/2023","2119","N652JB","FLL","16:10","16:07","192","187","-3","16:17","10","0","0","0","0","0"
"B6","12/03/2021","0671","N284JB","JFK","07:00","06:49","58","68","-11","07:06","17","0","0","0","0","0"
"B6","12/03/2021","1271","N348JB","JFK","12:05","12:44","50","48","39","12:51","7","4","0","0","0","33"
"B6","12/03/2021","2119","N265JB","FLL","06:00","05:55","198","184","-5","06:07","12","0","0","0","0","0"
"B6","12/03/2022","0671","N328JB","JFK","06:05","08:23","67","73","138","08:33","10","138","0","6","0","0"
"B6","12/03/2022","1271","N258JB","JFK","16:45","16:51","61","71","6","17:03","12","6","0","10","0","0"
"B6","12/03/2022","2119","N529JB","FLL","15:35","15:35","196","175","0","15:43","8","0","0","0","0","0"
"B6","12/03/2023","0987","N559JB","MCO","13:45","13:32","189","208","-13","13:43","11","0","0","0","0","0"
"B6","12/03/2023","2119","N615JB","FLL","16:10","15:59","192","219","-11","16:11","12","0","0","16","0","0"
"B6","12/04/2021","0671","N193JB","JFK","07:00","06:55","58","68","-5","07:13","18","0","0","0","0","0"
"B6","12/04/2021","1271","N274JB","JFK","12:05","11:57","50","51","-8","12:07","10","0","0","0","0","0"
"B6","12/04/2021","2119","N348JB","FLL","06:00","05:51","198","209","-9","06:11","20","0","0","0","0","0"
"B6","12/04/2022","0671","N358JB","JFK","06:05","09:43","67","58","218","09:51","8","209","0","0","0","0"
"B6","12/04/2022","1271","N348JB","JFK","16:59","16:55","61","65","-4","17:11","16","0","0","0","0","0"
"B6","12/04/2022","2119","N510JB","FLL","15:35","16:07","196","172","32","16:19","12","0","0","0","0","0"
"B6","12/04/2023","0987","N605JB","MCO","13:45","14:15","189","205","30","14:25","10","12","0","16","0","18"
"B6","12/04/2023","2119","N652JB","FLL","16:10","16:01","192","209","-9","16:14","13","0","0","0","0","0"
"B6","12/05/2021","0671","N324JB","JFK","07:00","06:58","58","123","-2","07:30","32","0","0","63","0","0"
"B6","12/05/2021","1271","N353JB","JFK","12:05","11:57","50","50","-8","12:05","8","0","0","0","0","0"
"B6","12/05/2021","2119","N328JB","FLL","06:00","06:00","198","188","0","06:12","12","0","0","0","0","0"
"B6","12/05/2022","0671","N266JB","JFK","06:05","05:52","67","60","-13","06:12","20","0","0","0","0","0"
"B6","12/05/2022","1271","N247JB","JFK","16:59","16:57","61","47","-2","17:04","7","0","0","0","0","0"
"B6","12/05/2022","2119","N715JB","FLL","15:35","15:31","196","178","-4","15:41","10","0","0","0","0","0"
"B6","12/06/2021","0671","N339JB","JFK","07:00","06:55","58","77","-5","07:05","10","0","0","0","0","0"
"B6","12/06/2021","1271","N324JB","JFK","12:05","13:23","50","65","78","13:33","10","2","0","15","0","76"
"B6","12/06/2021","2119","N298JB","FLL","06:00","06:01","198","193","1","06:12","11","0","0","0","0","0"
"B6","12/06/2022","0671","N198JB","JFK","06:05","05:58","67","66","-7","06:10","12","0","0","0","0","0"
"B6","12/06/2022","1271","N258JB","JFK","16:59","16:44","61","57","-15","16:57","13","0","0","0","0","0"
