Detailed Statistics Departures  
Origin Airport: Worcester, MA: Worcester Regional (ORH)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2022","4440","N408YX","JFK","13:50","13:43","69","69","-7","14:09","26","0","0","0","0","0"
"YX","12/01/2023","4440","N136HQ","JFK","13:34","13:24","73","76","-10","13:40","16","0","0","0","0","0"
"YX","12/02/2022","4440","N432YX","JFK","13:50","13:42","69","73","-8","13:55","13","0","0","0","0","0"
"YX","12/02/2023","4440","N106HQ","JFK","13:34","13:51","73","68","17","14:10","19","0","0","0","0","0"
"YX","12/03/2022","4440","N407YX","JFK","13:50","13:40","69","79","-10","14:00","20","0","0","0","0","0"
"YX","12/03/2023","4440","N406YX","JFK","13:17","13:08","73","122","-9","14:06","58","0","0","40","0","0"
"YX","12/04/2022","4440","N105HQ","JFK","15:38","15:26","67","88","-12","16:03","37","0","0","0","0","0"
"YX","12/04/2023","4440","N441YX","JFK","13:16","13:09","73","81","-7","13:39","30","0","0","0","0","0"
"YX","12/05/2022","4440","N128HQ","JFK","15:38","15:23","67","58","-15","15:35","12","0","0","0","0","0"
"YX","12/05/2023","4440","N119HQ","JFK","13:15","13:06","75","60","-9","13:15","9","0","0","0","0","0"
"YX","12/06/2022","4440","N117HQ","JFK","15:38","15:31","67","65","-7","15:44","13","0","0","0","0","0"
"YX","12/06/2023","4440","N444YX","JFK","13:15","13:06","75","70","-9","13:22","16","0","0","0","0","0"
"YX","12/07/2022","4440","N426YX","JFK","15:38","00:00","67","0","0","00:00","0","0","0","0","0","0"
"YX","12/07/2023","4440","N121HQ","JFK","13:15","13:02","75","70","-13","13:18","16","0","0","0","0","0"
"YX","12/08/2022","4440","N123HQ","JFK","15:38","15:31","67","57","-7","15:43","12","0","0","0","0","0"
"YX","12/08/2023","4440","N442YX","JFK","13:15","13:11","75","53","-4","13:20","9","0","0","0","0","0"
"YX","12/09/2022","4440","N410YX","JFK","15:38","15:31","67","67","-7","15:46","15","0","0","0","0","0"
"YX","12/09/2023","4440","N443YX","JFK","13:15","13:01","75","59","-14","13:10","9","0","0","0","0","0"
"YX","12/10/2022","4440","N103HQ","JFK","15:38","15:30","67","65","-8","15:49","19","0","0","0","0","0"
"YX","12/10/2023","4440","N438YX","JFK","13:15","13:10","75","71","-5","13:23","13","0","0","0","0","0"
"YX","12/11/2022","4440","N445YX","JFK","15:38","15:52","67","94","14","16:30","38","14","0","27","0","0"
"YX","12/11/2023","4440","N423YX","JFK","13:15","13:05","75","60","-10","13:13","8","0","0","0","0","0"
"YX","12/12/2022","4440","N446YX","JFK","15:38","15:27","67","63","-11","15:36","9","0","0","0","0","0"
"YX","12/12/2023","4440","N134HQ","JFK","13:15","13:05","75","67","-10","13:12","7","0","0","0","0","0"
"YX","12/13/2022","4440","N446YX","JFK","15:38","15:28","67","64","-10","15:37","9","0","0","0","0","0"
"YX","12/13/2023","4440","N420YX","JFK","13:15","16:11","75","61","176","16:20","9","162","0","0","0","0"
"YX","12/14/2022","4440","N123HQ","JFK","15:38","15:27","67","55","-11","15:40","13","0","0","0","0","0"
"YX","12/14/2023","4440","N116HQ","JFK","13:15","13:06","75","69","-9","13:19","13","0","0","0","0","0"
"YX","12/15/2022","4440","N406YX","JFK","13:48","13:39","61","74","-9","13:49","10","0","0","0","0","0"
"YX","12/15/2023","4440","N109HQ","JFK","13:15","13:09","75","57","-6","13:20","11","0","0","0","0","0"
"YX","12/16/2022","4440","N117HQ","JFK","13:48","13:42","61","72","-6","13:59","17","0","0","0","0","0"
"YX","12/16/2023","4440","N430YX","JFK","13:15","13:08","75","78","-7","13:26","18","0","0","0","0","0"
"YX","12/17/2022","4440","N416YX","JFK","13:48","14:26","61","63","38","14:42","16","0","0","2","0","38"
"YX","12/17/2023","4440","N106HQ","JFK","13:15","13:05","75","118","-10","13:57","52","0","0","33","0","0"
"YX","12/18/2022","4440","N452YX","JFK","13:48","13:38","61","70","-10","13:57","19","0","0","0","0","0"
"YX","12/18/2023","4440","N418YX","JFK","13:15","13:55","75","68","40","14:18","23","0","0","0","0","33"
"YX","12/19/2022","4440","N414YX","JFK","13:48","13:36","61","73","-12","13:59","23","0","0","0","0","0"
"YX","12/19/2023","4440","N107HQ","JFK","13:15","13:07","75","59","-8","13:18","11","0","0","0","0","0"
"YX","12/20/2022","4440","N105HQ","JFK","13:48","13:36","61","77","-12","13:53","17","0","0","0","0","0"
"YX","12/20/2023","4440","N111HQ","JFK","13:35","13:26","83","67","-9","13:45","19","0","0","0","0","0"
"YX","12/21/2022","4440","N121HQ","JFK","13:48","13:44","61","60","-4","13:56","12","0","0","0","0","0"
"YX","12/21/2023","4440","N102HQ","JFK","13:35","13:25","83","84","-10","13:42","17","0","0","0","0","0"
"YX","12/22/2022","4440","N401YX","JFK","13:48","13:39","61","70","-9","13:57","18","0","0","0","0","0"
"YX","12/22/2023","4440","N444YX","JFK","13:35","13:26","83","72","-9","13:36","10","0","0","0","0","0"
"YX","12/23/2022","4440","N426YX","JFK","13:48","13:36","61","80","-12","14:03","27","0","0","0","0","0"
"YX","12/23/2023","4440","N103HQ","JFK","13:35","13:28","83","57","-7","13:36","8","0","0","0","0","0"
"YX","12/24/2022","4440","N114HQ","JFK","13:52","13:50","67","60","-2","13:59","9","0","0","0","0","0"
"YX","12/25/2022","4440","N102HQ","JFK","13:52","13:42","67","57","-10","13:55","13","0","0","0","0","0"
"YX","12/26/2022","4440","N423YX","JFK","13:52","13:45","67","63","-7","13:56","11","0","0","0","0","0"
"YX","12/27/2022","4440","N447YX","JFK","13:52","13:27","67","111","-25","14:33","66","0","0","19","0","0"
"YX","12/28/2022","4440","N431YX","JFK","13:52","13:47","67","65","-5","13:59","12","0","0","0","0","0"
"YX","12/29/2022","4440","N106HQ","JFK","13:52","13:45","67","72","-7","13:59","14","0","0","0","0","0"
"YX","12/30/2022","4440","N424YX","JFK","13:52","13:42","67","63","-10","13:59","17","0","0","0","0","0"
"YX","12/31/2022","4440","N117HQ","JFK","13:52","00:00","67","0","0","00:00","0","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
