Detailed Statistics Departures  
Origin Airport: Yakutat, AK: Yakutat Airport (YAK)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0061","N609AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2021","0066","N607AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0061","N607AS","CDV","12:06","13:09","53","47","63","13:15","6","0","0","0","0","57"
"AS","12/01/2022","0066","N508AS","JNU","17:17","16:56","54","59","-21","17:14","18","0","0","0","0","0"
"AS","12/01/2023","0061","N618AS","CDV","12:01","11:34","51","52","-27","11:47","13","0","0","0","0","0"
"AS","12/01/2023","0066","N614AS","JNU","17:14","16:53","48","44","-21","16:57","4","0","0","0","0","0"
"AS","12/02/2021","0061","N615AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2021","0066","N613AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","0061","N557AS","CDV","12:06","12:52","53","53","46","13:04","12","0","0","0","0","46"
"AS","12/02/2022","0066","N519AS","JNU","17:17","17:04","54","56","-13","17:22","18","0","0","0","0","0"
"AS","12/02/2023","0061","N607AS","CDV","12:01","11:33","51","54","-28","11:46","13","0","0","0","0","0"
"AS","12/02/2023","0066","N524AS","JNU","17:14","17:04","48","52","-10","17:16","12","0","0","0","0","0"
"AS","12/03/2021","0061","N615AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2021","0066","N644AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2022","0061","N613AS","CDV","12:06","11:55","53","58","-11","12:08","13","0","0","0","0","0"
"AS","12/03/2022","0066","N532AS","JNU","17:17","16:54","54","55","-23","17:10","16","0","0","0","0","0"
"AS","12/03/2023","0061","N611AS","CDV","12:01","11:47","51","45","-14","11:53","6","0","0","0","0","0"
"AS","12/03/2023","0066","N618AS","JNU","17:14","17:01","48","57","-13","17:18","17","0","0","0","0","0"
"AS","12/04/2021","0061","N622AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/04/2021","0066","N615AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/04/2022","0061","N612AS","CDV","12:06","11:43","53","47","-23","11:47","4","0","0","0","0","0"
"AS","12/04/2022","0066","N614AS","JNU","17:17","16:32","54","50","-45","16:43","11","0","0","0","0","0"
"AS","12/04/2023","0061","N586AS","CDV","12:01","11:48","51","46","-13","11:57","9","0","0","0","0","0"
"AS","12/04/2023","0066","N619AS","JNU","17:14","16:32","48","49","-42","16:41","9","0","0","0","0","0"
"AS","12/05/2021","0061","N618AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2021","0066","N612AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2022","0061","N614AS","CDV","12:06","11:31","53","59","-35","11:48","17","0","0","0","0","0"
"AS","12/05/2022","0066","N611AS","JNU","17:17","18:24","54","51","67","18:35","11","0","0","0","0","64"
"AS","12/05/2023","0061","N526AS","CDV","12:01","11:29","51","51","-32","11:41","12","0","0","0","0","0"
"AS","12/05/2023","0066","N506AS","JNU","17:14","16:37","48","58","-37","16:56","19","0","0","0","0","0"
"AS","12/06/2021","0061","N614AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/06/2021","0066","N615AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/06/2022","0061","N619AS","CDV","12:06","11:58","53","0","-8","12:20","22","0","0","0","0","0"
"AS","12/06/2022","0066","N613AS","JNU","17:17","17:11","54","53","-6","17:27","16","0","0","0","0","0"
"AS","12/06/2023","0061","N622AS","CDV","12:01","11:50","51","55","-11","12:00","10","0","0","0","0","0"
"AS","12/06/2023","0066","N528AS","JNU","17:14","16:41","48","50","-33","16:53","12","0","0","0","0","0"
"AS","12/07/2021","0061","N619AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/07/2021","0066","N614AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/07/2022","0061","N612AS","CDV","12:06","11:56","53","77","-10","12:31","35","0","0","0","0","0"
"AS","12/07/2022","0066","N613AS","JNU","17:17","16:56","54","44","-21","16:59","3","0","0","0","0","0"
"AS","12/07/2023","0061","N530AS","CDV","12:01","11:24","51","53","-37","11:39","15","0","0","0","0","0"
"AS","12/07/2023","0066","N525AS","JNU","17:14","16:56","48","49","-18","17:08","12","0","0","0","0","0"
"AS","12/08/2021","0061","N619AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/08/2021","0066","N619AS","JNU","17:03","17:17","50","46","14","17:24","7","0","0","0","0","0"
"AS","12/08/2022","0061","N607AS","CDV","12:06","11:58","53","48","-8","12:03","5","0","0","0","0","0"
"AS","12/08/2022","0066","N594AS","JNU","17:17","17:03","54","48","-14","17:10","7","0","0","0","0","0"
"AS","12/08/2023","0061","N612AS","CDV","12:01","11:47","51","68","-14","12:07","20","0","0","0","0","0"
"AS","12/08/2023","0066","N585AS","JNU","17:14","17:10","48","42","-4","17:14","4","0","0","0","0","0"
"AS","12/09/2021","0061","N619AS","CDV","12:19","12:25","53","67","6","12:46","21","0","0","14","0","6"
"AS","12/09/2021","0066","N614AS","JNU","17:03","16:51","50","65","-12","17:17","26","0","0","0","0","0"
"AS","12/09/2022","0061","N622AS","CDV","12:06","12:09","53","55","3","12:21","12","0","0","0","0","0"
"AS","12/09/2022","0066","N611AS","JNU","17:17","16:49","54","52","-28","17:02","13","0","0","0","0","0"
"AS","12/09/2023","0061","N615AS","CDV","12:01","11:31","51","58","-30","11:47","16","0","0","0","0","0"
"AS","12/09/2023","0066","N518AS","JNU","17:14","16:58","48","53","-16","17:14","16","0","0","0","0","0"
"AS","12/10/2021","0061","N579AS","CDV","12:19","12:21","53","46","2","12:25","4","0","0","0","0","0"
"AS","12/10/2021","0066","N611AS","JNU","17:03","00:00","50","0","0","00:00","0","0","0","0","0","0"
"AS","12/10/2022","0061","N612AS","CDV","12:06","11:44","53","51","-22","11:50","6","0","0","0","0","0"
"AS","12/10/2022","0066","N622AS","JNU","17:17","16:55","54","47","-22","17:05","10","0","0","0","0","0"
"AS","12/10/2023","0061","N588AS","CDV","12:01","11:47","51","52","-14","11:53","6","0","0","0","0","0"
"AS","12/10/2023","0066","N514AS","JNU","17:14","16:40","48","40","-34","16:43","3","0","0","0","0","0"
"AS","12/11/2021","0061","N644AS","CDV","12:19","00:00","53","0","0","00:00","0","0","0","0","0","0"
"AS","12/11/2021","0066","N612AS","JNU","17:03","17:49","50","62","46","18:09","20","0","0","12","0","46"
"AS","12/11/2022","0061","N622AS","CDV","12:06","12:49","53","0","43","12:56","7","0","0","0","0","0"
"AS","12/11/2022","0066","N508AS","JNU","17:17","17:16","54","41","-1","17:21","5","0","0","0","0","0"
"AS","12/11/2023","0061","N609AS","CDV","12:01","12:03","51","54","2","12:16","13","0","0","0","0","0"
"AS","12/11/2023","0066","N514AS","JNU","17:14","16:47","48","51","-27","17:00","13","0","0","0","0","0"
"AS","12/12/2021","0061","N612AS","CDV","12:19","12:24","53","49","5","12:32","8","0","0","0","0","0"
"AS","12/12/2021","0066","N613AS","JNU","17:03","16:56","50","59","-7","17:14","18","0","0","0","0","0"
