Detailed Statistics Departures  
Origin Airport: Yuma, AZ: Yuma MCAS/Yuma International (YUM)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3730","N269NN","PHX","18:10","18:04","60","57","-6","18:16","12","0","0","0","0","0"
"MQ","12/03/2023","3730","N204NN","PHX","18:10","18:03","60","65","-7","18:23","20","0","0","0","0","0"
"MQ","12/04/2023","3730","N204NN","PHX","18:10","17:57","60","54","-13","18:11","14","0","0","0","0","0"
"MQ","12/05/2023","3730","N259NN","PHX","18:16","18:15","61","63","-1","18:33","18","0","0","0","0","0"
"MQ","12/06/2023","3730","N249NN","PHX","18:16","18:09","61","58","-7","18:24","15","0","0","0","0","0"
"MQ","12/07/2023","3730","N292NN","PHX","18:16","18:07","61","71","-9","18:34","27","0","0","0","0","0"
"MQ","12/08/2023","3730","N261NN","PHX","18:16","18:08","61","61","-8","18:23","15","0","0","0","0","0"
"MQ","12/09/2023","3730","N209NN","PHX","18:16","18:12","61","56","-4","18:25","13","0","0","0","0","0"
"MQ","12/10/2023","3730","N247NN","PHX","18:16","18:06","61","51","-10","18:18","12","0","0","0","0","0"
"MQ","12/11/2023","3730","N200NN","PHX","18:16","18:14","61","56","-2","18:28","14","0","0","0","0","0"
"MQ","12/12/2023","3730","N239NN","PHX","18:16","18:10","61","60","-6","18:24","14","0","0","0","0","0"
"MQ","12/13/2023","3730","N298FR","PHX","18:16","18:08","61","60","-8","18:23","15","0","0","0","0","0"
"MQ","12/14/2023","3730","N450YX","PHX","18:16","18:11","61","61","-5","18:27","16","0","0","0","0","0"
"MQ","12/15/2023","3730","N277NN","PHX","18:16","18:30","61","51","14","18:42","12","0","0","0","0","0"
"MQ","12/16/2023","3730","N303DD","PHX","18:16","18:09","61","60","-7","18:29","20","0","0","0","0","0"
"MQ","12/19/2023","3730","N222NS","PHX","18:16","18:13","61","54","-3","18:27","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
