Detailed Statistics Departures  
Origin Airport: Yuma, AZ: Yuma MCAS/Yuma International (YUM)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/02/2021","5750","N935LR","PHX","09:58","10:12","60","39","14","10:16","4","0","0","0","0","0"
"YV","12/02/2021","5793","N916FJ","PHX","06:30","06:30","56","53","0","06:47","17","0","0","0","0","0"
"YV","12/03/2021","5750","N909FJ","PHX","09:58","12:19","60","43","141","12:28","9","7","0","0","0","117"
"YV","12/03/2021","5793","N249LR","PHX","06:30","00:00","56","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2021","5750","N249LR","PHX","09:58","09:57","60","43","-1","10:04","7","0","0","0","0","0"
"YV","12/04/2021","5793","N916FJ","PHX","06:30","06:28","56","52","-2","06:41","13","0","0","0","0","0"
"YV","12/05/2021","5750","N924FJ","PHX","09:58","09:58","60","48","0","10:11","13","0","0","0","0","0"
"YV","12/05/2021","5793","N924FJ","PHX","06:30","06:24","56","50","-6","06:33","9","0","0","0","0","0"
"YV","12/06/2021","5750","N954LR","PHX","09:58","09:51","60","46","-7","09:59","8","0","0","0","0","0"
"YV","12/06/2021","5793","N916FJ","PHX","06:30","06:23","56","50","-7","06:41","18","0","0","0","0","0"
"YV","12/07/2021","5750","N246LR","PHX","09:58","10:10","60","63","12","10:40","30","0","0","3","0","12"
"YV","12/07/2021","5793","N924FJ","PHX","06:30","06:30","56","41","0","06:38","8","0","0","0","0","0"
"YV","12/08/2021","5750","N947LR","PHX","09:58","11:33","60","52","95","11:52","19","7","0","0","0","80"
"YV","12/08/2021","5793","N947LR","PHX","06:30","07:54","56","60","84","08:19","25","84","0","4","0","0"
"YV","12/09/2021","5750","N326MS","PHX","09:58","12:18","60","57","140","12:29","11","0","0","0","0","137"
"YV","12/09/2021","5793","N918FJ","PHX","06:30","06:29","56","50","-1","06:45","16","0","0","0","0","0"
"YV","12/10/2021","5750","N947LR","PHX","09:58","09:52","60","57","-6","10:06","14","0","0","0","0","0"
"YV","12/10/2021","5793","N947LR","PHX","06:30","06:31","56","57","1","06:49","18","0","0","0","0","0"
"YV","12/11/2021","5750","N931LR","PHX","09:58","00:00","60","0","0","00:00","0","0","0","0","0","0"
"YV","12/11/2021","5793","N914FJ","PHX","06:30","06:27","56","55","-3","06:47","20","0","0","0","0","0"
"YV","12/12/2021","5750","N914FJ","PHX","09:58","12:26","60","63","148","12:38","12","19","0","3","0","129"
"YV","12/12/2021","5793","N326MS","PHX","06:30","06:31","56","47","1","06:44","13","0","0","0","0","0"
"YV","12/13/2021","5750","N246LR","PHX","09:58","10:02","60","46","4","10:15","13","0","0","0","0","0"
"YV","12/13/2021","5793","N958LR","PHX","06:30","06:28","56","43","-2","06:39","11","0","0","0","0","0"
"YV","12/14/2021","5750","N911FJ","PHX","09:58","09:51","60","49","-7","10:08","17","0","0","0","0","0"
"YV","12/14/2021","5793","N919FJ","PHX","06:30","06:39","56","62","9","07:07","28","0","0","6","9","0"
"YV","12/15/2021","5750","N958LR","PHX","09:58","09:57","60","52","-1","10:06","9","0","0","0","0","0"
"YV","12/15/2021","5793","N957LR","PHX","06:30","06:30","56","81","0","07:09","39","0","0","25","0","0"
"YV","12/15/2022","5905","N953LR","PHX","11:40","11:39","55","49","-1","11:50","11","0","0","0","0","0"
"YV","12/16/2021","5750","N925FJ","PHX","10:05","10:04","63","48","-1","10:17","13","0","0","0","0","0"
"YV","12/16/2021","5752","N911FJ","PHX","06:35","06:35","56","44","0","06:47","12","0","0","0","0","0"
"YV","12/16/2022","5905","N248LR","PHX","11:40","13:06","55","63","86","13:29","23","0","0","8","0","86"
"YV","12/17/2021","5750","","PHX","10:05","00:00","63","0","0","00:00","0","0","0","0","0","0"
"YV","12/17/2022","5781","N244LR","PHX","19:22","20:01","55","56","39","20:13","12","2","0","1","0","37"
"YV","12/17/2022","5905","N930LR","PHX","11:40","12:19","55","51","39","12:28","9","35","0","0","0","0"
"YV","12/18/2021","5750","N921FJ","PHX","10:05","00:00","63","0","0","00:00","0","0","0","0","0","0"
"YV","12/18/2022","5905","N905J","PHX","11:40","11:33","55","47","-7","11:42","9","0","0","0","0","0"
"YV","12/19/2021","5750","N924FJ","PHX","10:05","10:03","63","54","-2","10:16","13","0","0","0","0","0"
"YV","12/19/2022","5905","N905J","PHX","11:40","11:39","55","77","-1","11:49","10","0","0","21","0","0"
"YV","12/20/2022","5781","N925FJ","PHX","19:19","19:14","55","61","-5","19:29","15","0","0","0","0","0"
