Detailed Statistics Departures  
Origin Airport: Yuma, AZ: Yuma MCAS/Yuma International (YUM)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3067","N766SK","DFW","07:31","07:25","162","155","-6","07:36","11","0","0","0","0","0"
"OO","12/01/2021","3200","N762SK","PHX","19:37","19:37","55","57","0","19:45","8","0","0","0","0","0"
"OO","12/01/2021","3265","N722EV","PHX","14:46","14:38","54","63","-8","14:57","19","0","0","0","0","0"
"OO","12/01/2021","3272","N614SK","PHX","06:31","06:24","51","46","-7","06:34","10","0","0","0","0","0"
"OO","12/01/2021","3279","N613SK","PHX","21:15","21:06","48","51","-9","21:17","11","0","0","0","0","0"
"OO","12/01/2022","3067","N703SK","DFW","13:02","13:11","158","138","9","13:23","12","0","0","0","0","0"
"OO","12/01/2022","3255","N748EV","PHX","08:00","07:55","55","53","-5","08:10","15","0","0","0","0","0"
"OO","12/01/2022","4899","N748SK","PHX","17:45","17:35","57","64","-10","17:53","18","0","0","0","0","0"
"OO","12/01/2022","4967","N708EV","PHX","11:07","10:55","53","52","-12","11:10","15","0","0","0","0","0"
"OO","12/01/2023","3172","N713SK","PHX","06:30","06:31","58","53","1","06:48","17","0","0","0","0","0"
"OO","12/01/2023","3205","N724SK","DFW","07:00","06:50","162","164","-10","07:13","23","0","0","0","0","0"
"OO","12/01/2023","4834","N708SK","PHX","14:51","17:14","57","69","143","17:37","23","0","0","12","0","143"
"OO","12/01/2023","4848","N770SK","PHX","12:51","12:42","57","75","-9","13:09","27","0","0","0","0","0"
"OO","12/02/2021","3067","N732SK","DFW","07:31","07:26","162","160","-5","07:41","15","0","0","0","0","0"
"OO","12/02/2021","3200","N766SK","PHX","19:37","19:33","55","51","-4","19:41","8","0","0","0","0","0"
"OO","12/02/2022","3067","N719SK","DFW","13:02","13:15","158","145","13","13:29","14","0","0","0","0","0"
"OO","12/02/2022","3255","N718SK","PHX","08:00","07:50","55","49","-10","08:05","15","0","0","0","0","0"
"OO","12/02/2022","4899","N778SK","PHX","17:45","17:39","57","58","-6","17:53","14","0","0","0","0","0"
"OO","12/02/2022","4967","N718SK","PHX","11:07","10:59","53","52","-8","11:14","15","0","0","0","0","0"
"OO","12/02/2023","3205","N614QX","DFW","07:00","06:50","162","155","-10","07:15","25","0","0","0","0","0"
"OO","12/02/2023","4834","N709EV","PHX","14:51","15:33","57","64","42","15:49","16","0","42","7","0","0"
