Detailed Statistics Departures  
Origin Airport: Aberdeen, SD: Aberdeen Regional (ABR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4244","N923EV","MSP","17:28","18:53","81","58","85","19:03","10","62","0","0","0","0"
"OO","12/01/2021","4255","N878AS","MSP","05:35","05:31","83","79","-4","05:52","21","0","0","0","0","0"
"OO","12/01/2022","4255","N459SW","MSP","19:01","18:51","78","78","-10","18:58","7","0","0","0","0","0"
"OO","12/01/2022","4299","N936EV","MSP","07:00","06:58","78","64","-2","07:05","7","0","0","0","0","0"
"OO","12/01/2023","4238","N712EV","MSP","06:46","06:39","86","76","-7","07:00","21","0","0","0","0","0"
"OO","12/01/2023","4262","N604SK","MSP","16:28","16:25","85","60","-3","16:32","7","0","0","0","0","0"
"OO","12/02/2021","4244","N919EV","MSP","17:28","17:22","81","62","-6","17:30","8","0","0","0","0","0"
"OO","12/02/2021","4255","N922EV","MSP","05:35","05:35","83","67","0","05:44","9","0","0","0","0","0"
"OO","12/02/2022","4299","N878AS","MSP","06:50","07:00","88","71","10","07:17","17","0","0","0","0","0"
"OO","12/02/2023","4238","N738SK","MSP","06:46","06:46","86","63","0","06:56","10","0","0","0","0","0"
"OO","12/02/2023","4262","N603SK","MSP","16:28","16:20","85","65","-8","16:27","7","0","0","0","0","0"
"OO","12/03/2021","4244","N439SW","MSP","17:28","17:25","81","62","-3","17:32","7","0","0","0","0","0"
"OO","12/03/2021","4255","N922EV","MSP","05:35","05:31","83","56","-4","05:37","6","0","0","0","0","0"
"OO","12/03/2022","4255","N702BR","MSP","19:01","18:50","78","61","-11","19:04","14","0","0","0","0","0"
"OO","12/03/2022","4299","N459SW","MSP","07:00","06:59","78","75","-1","07:17","18","0","0","0","0","0"
"OO","12/03/2023","4238","N832SK","MSP","06:46","06:54","86","72","8","07:12","18","0","0","0","0","0"
"OO","12/03/2023","4262","N641CA","MSP","16:28","16:38","85","59","10","16:47","9","0","0","0","0","0"
"OO","12/04/2021","4244","N702BR","MSP","17:28","17:28","81","83","0","18:01","33","0","0","0","0","0"
"OO","12/04/2021","4255","N702BR","MSP","05:35","05:59","83","61","24","06:05","6","0","0","0","0","0"
"OO","12/04/2022","4255","N506CA","MSP","19:01","18:51","78","62","-10","18:54","3","0","0","0","0","0"
"OO","12/04/2022","4299","N702BR","MSP","07:00","07:16","78","79","16","07:49","33","17","0","0","0","0"
"OO","12/04/2023","4238","N604SK","MSP","06:46","06:46","86","69","0","07:03","17","0","0","0","0","0"
"OO","12/04/2023","4262","N767SK","MSP","16:28","17:00","85","59","32","17:08","8","0","0","0","0","0"
"OO","12/05/2021","4244","N498CA","MSP","17:31","17:25","84","78","-6","17:42","17","0","0","0","0","0"
"OO","12/05/2021","4255","N498CA","MSP","05:35","05:46","85","74","11","05:57","11","0","0","0","0","0"
"OO","12/05/2022","4255","N873AS","MSP","19:01","18:50","78","70","-11","19:01","11","0","0","0","0","0"
"OO","12/05/2022","4299","N506CA","MSP","07:00","06:55","78","64","-5","07:05","10","0","0","0","0","0"
"OO","12/05/2023","4238","N604SK","MSP","06:46","06:42","86","89","-4","07:06","24","0","0","0","0","0"
